contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,Partij van de Arbeid (P.v.d.A.),Gemeente Belangen,Democraten 66 (D66),SP (Socialistische Partij),GROENLINKS
,Hof van Twente,GR2018_HofvanTwente,Gemeenteraad Hof van Twente 2018,1735,Hof van Twente,2018-03-21,Stembureau Gemeentehuis Hof van Twente,1735::SB1,7471 DK,1281,1298,13,5,0,1,0,1204,111,0,1,0,0,0,1315,307,243,294,106,156,111,81
,Hof van Twente,GR2018_HofvanTwente,Gemeenteraad Hof van Twente 2018,1735,Hof van Twente,2018-03-21,Stembureau Zorgcentrum de Stoevelaar,1735::SB2,7471 AB,1240,724,2,5,0,0,0,681,50,0,0,0,0,0,731,153,120,173,65,100,83,30
,Hof van Twente,GR2018_HofvanTwente,Gemeenteraad Hof van Twente 2018,1735,Hof van Twente,2018-03-21,"Stembureau o.b.s. De Whee, locatie de Wiekslag",1735::SB3,7471 EL,1251,766,2,2,0,0,0,709,61,0,0,0,0,0,770,179,55,185,68,103,144,32
,Hof van Twente,GR2018_HofvanTwente,Gemeenteraad Hof van Twente 2018,1735,Hof van Twente,2018-03-21,Stembureau SG De Waerdenborch,1735::SB4,7471 EP,1300,494,4,0,0,0,0,470,28,0,0,0,0,0,498,103,55,133,42,58,74,29
,Hof van Twente,GR2018_HofvanTwente,Gemeenteraad Hof van Twente 2018,1735,Hof van Twente,2018-03-21,Stembureau Zalencentr. De Bebsel,1735::SB5,7471 CH,1152,646,4,2,0,0,0,591,60,0,1,0,1,0,651,221,78,154,45,38,76,34
,Hof van Twente,GR2018_HofvanTwente,Gemeenteraad Hof van Twente 2018,1735,Hof van Twente,2018-03-21,"Stembureau Villa 70, 't Gijminkhuis",1735::SB6,7471 KP,1296,647,1,3,0,0,0,586,65,0,0,0,0,0,651,150,43,176,67,75,97,39
,Hof van Twente,GR2018_HofvanTwente,Gemeenteraad Hof van Twente 2018,1735,Hof van Twente,2018-03-21,Stembureau Kantine sporthal de Mossendam,1735::SB7,7471 SE,1424,743,2,3,0,0,0,693,55,0,0,0,0,0,748,213,144,139,56,75,86,30
,Hof van Twente,GR2018_HofvanTwente,Gemeenteraad Hof van Twente 2018,1735,Hof van Twente,2018-03-21,Stembureau WOZOCO/woon- zorgcentrum,1735::SB8,7478 XN,1095,767,0,3,0,0,0,726,44,0,0,0,0,0,770,163,83,127,233,94,43,24
,Hof van Twente,GR2018_HofvanTwente,Gemeenteraad Hof van Twente 2018,1735,Hof van Twente,2018-03-21,Stembureau Cultureel centrum het Beaufort,1735::SB9,7475 AG,1533,907,3,0,0,0,0,910,0,0,0,0,0,0,910,215,198,133,225,67,33,36
,Hof van Twente,GR2018_HofvanTwente,Gemeenteraad Hof van Twente 2018,1735,Hof van Twente,2018-03-21,Stembureau Gebouw  'n Veern hof,1735::SB10,7475 BW,1216,705,4,1,0,0,0,642,68,0,0,0,0,0,710,165,166,86,177,54,27,30
,Hof van Twente,GR2018_HofvanTwente,Gemeenteraad Hof van Twente 2018,1735,Hof van Twente,2018-03-21,Stembureau Buurtgebouw Stokkum,1735::SB11,7475 MV,615,428,2,1,0,0,0,375,56,0,0,0,0,0,431,128,63,72,107,26,18,14
,Hof van Twente,GR2018_HofvanTwente,Gemeenteraad Hof van Twente 2018,1735,Hof van Twente,2018-03-21,Stembureau OBS Elserike,1735::SB12,7475 TT,640,438,3,3,0,1,0,391,52,0,1,0,0,0,443,203,87,39,61,30,11,7
,Hof van Twente,GR2018_HofvanTwente,Gemeenteraad Hof van Twente 2018,1735,Hof van Twente,2018-03-21,Stembureau obs Brookschole,1735::SB13,7475 PW,428,340,2,0,0,0,0,310,32,0,0,0,0,0,342,89,90,29,95,13,9,15
