contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,SP (Socialistische Partij),VVD-Leefbaar Uden,Jong Uden,CDA,Gewoon Uden,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),UdenPlus,GROENLINKS
,Uden,GR2018_Uden,Gemeenteraad Uden 2018,0856,Uden,2018-03-21,Stembureau Gemeentehuis Uden,0856::SB1,5401 EJ,1701,1157,4,2,0,0,0,1067,96,0,0,0,0,0,1163,167,152,215,114,145,52,45,201,66
,Uden,GR2018_Uden,Gemeenteraad Uden 2018,0856,Uden,2018-03-21,Stembureau Wijkcentrum Balans,0856::SB2,5401 CT,1567,784,4,0,0,3,0,719,72,0,0,3,0,0,791,150,80,123,89,96,35,44,105,62
,Uden,GR2018_Uden,Gemeenteraad Uden 2018,0856,Uden,2018-03-21,Stembureau OBS De Brinck,0856::SB3,5404 MA,1666,921,3,0,0,0,0,842,83,1,0,1,0,0,925,121,126,158,86,146,40,47,125,72
,Uden,GR2018_Uden,Gemeenteraad Uden 2018,0856,Uden,2018-03-21,Stembureau RK Basisschool De Springplank,0856::SB4,5403 AG,1130,782,2,5,0,0,0,719,69,0,1,0,1,0,788,140,81,181,59,116,29,30,104,42
,Uden,GR2018_Uden,Gemeenteraad Uden 2018,0856,Uden,2018-03-21,Stembureau OBS Camelot,0856::SB5,5403 XD,1496,812,3,1,0,0,0,739,77,0,0,0,0,0,816,184,80,154,79,119,29,34,77,56
,Uden,GR2018_Uden,Gemeenteraad Uden 2018,0856,Uden,2018-03-21,Stembureau Tennis- en Squashvereniging Park Hoeven,0856::SB6,5403 NA,1911,1012,9,1,0,0,0,912,110,0,0,0,0,0,1022,146,133,164,94,133,59,54,150,79
,Uden,GR2018_Uden,Gemeenteraad Uden 2018,0856,Uden,2018-03-21,Stembureau Udens College,0856::SB7,5403 GA,1474,681,6,1,0,0,0,619,71,2,0,2,1,0,690,128,57,144,52,93,26,45,72,64
,Uden,GR2018_Uden,Gemeenteraad Uden 2018,0856,Uden,2018-03-21,Stembureau OBS de Klimboom,0856::SB8,5402 XD,2070,911,3,11,0,1,0,832,92,0,1,0,0,0,924,171,90,137,115,148,20,31,148,51
,Uden,GR2018_Uden,Gemeenteraad Uden 2018,0856,Uden,2018-03-21,Stembureau Zorgcentrum Sint Jan,0856::SB9,5401 BE,1455,732,12,4,0,0,0,692,56,0,0,0,0,0,748,100,72,92,178,83,31,39,112,25
,Uden,GR2018_Uden,Gemeenteraad Uden 2018,0856,Uden,2018-03-21,Stembureau Wijkgebouw De Nieuwe Pit,0856::SB10,5401 ZG,1402,553,4,3,0,0,0,521,39,0,0,0,0,0,560,135,42,95,42,84,26,40,54,35
,Uden,GR2018_Uden,Gemeenteraad Uden 2018,0856,Uden,2018-03-21,Stembureau De Maashorst School,0856::SB11,5402 HA,1501,803,2,1,0,1,0,726,81,0,0,1,0,0,807,126,84,121,128,144,26,38,97,39
,Uden,GR2018_Uden,Gemeenteraad Uden 2018,0856,Uden,2018-03-21,Stembureau Stichting Eigen Herd,0856::SB12,5401 AT,1496,933,1,2,0,0,0,859,77,0,0,0,0,0,936,116,102,135,170,154,51,30,139,36
,Uden,GR2018_Uden,Gemeenteraad Uden 2018,0856,Uden,2018-03-21,Stembureau Ontmoetingsplein Muzerijk,0856::SB13,5402 BE,1668,1259,7,6,0,3,0,1163,112,0,0,3,0,0,1275,268,131,208,89,179,38,54,189,103
,Uden,GR2018_Uden,Gemeenteraad Uden 2018,0856,Uden,2018-03-21,Stembureau BS De Vlonder,0856::SB14,5403 LV,1416,939,7,3,0,0,0,854,95,0,0,0,0,0,949,128,146,165,83,129,64,49,128,47
,Uden,GR2018_Uden,Gemeenteraad Uden 2018,0856,Uden,2018-03-21,Stembureau Kindcentrum Kidion,0856::SB15,5408 XL,1465,753,9,0,0,0,0,667,95,0,0,0,0,0,762,106,248,79,187,46,18,17,35,17
,Uden,GR2018_Uden,Gemeenteraad Uden 2018,0856,Uden,2018-03-21,Stembureau Zorgcentrum Sint Antonius,0856::SB16,5408 BK,1409,856,7,5,0,3,0,760,111,0,0,3,0,0,871,106,218,87,268,50,18,36,54,19
,Uden,GR2018_Uden,Gemeenteraad Uden 2018,0856,Uden,2018-03-21,Stembureau Terra Victa,0856::SB17,5409 AB,1608,930,13,0,0,0,0,842,101,0,0,0,0,0,943,81,51,50,626,48,14,11,35,14
,Uden,GR2018_Uden,Gemeenteraad Uden 2018,0856,Uden,2018-03-21,Stembureau OBS De Cirkel,0856::SB18,5406 AC,1500,1092,2,2,0,0,0,970,126,0,0,0,0,0,1096,60,196,245,134,210,60,34,99,54
,Uden,GR2018_Uden,Gemeenteraad Uden 2018,0856,Uden,2018-03-21,Stembureau Speelleercentrum De Wijde Wereld,0856::SB19,5406 DK,2404,1038,1,1,0,1,0,914,125,0,1,0,0,0,1039,89,145,295,95,204,51,21,76,62
,Uden,GR2018_Uden,Gemeenteraad Uden 2018,0856,Uden,2018-03-21,Stembureau Ziekenhuis Bernhoven,0856::SB20,5406 PT,1553,430,1,1,0,1,0,382,51,0,0,1,0,0,433,68,66,83,49,62,11,12,49,30
,Uden,GR2018_Uden,Gemeenteraad Uden 2018,0856,Uden,2018-03-21,Stembureau Retraitehuis,0856::SB21,5405 NA,1366,677,1,2,0,0,0,597,83,0,0,0,0,0,680,48,117,108,117,101,35,26,88,37
,Uden,GR2018_Uden,Gemeenteraad Uden 2018,0856,Uden,2018-03-21,Stembureau Mobiel stembureau,0856::SB22,,0,186,1,2,0,0,0,176,13,0,0,0,0,0,189,22,22,47,17,28,12,10,21,7
