contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,H&G,Valkenswaard Lokaal,CDA,Partij van de Arbeid (P.v.d.A.),VVD,Democraten 66 (D66),Samen voor Valkenswaard,Vitaal Valkenswaard
,Valkenswaard,GR2018_Valkenswaard,Gemeenteraad Valkenswaard 2018,0858,Valkenswaard,2018-03-21,Stembureau Zorgcentrum Kempenhof,0858::SB1,5554 JV,1908,1191,4,2,0,0,0,1061,136,0,0,0,0,0,1197,282,228,236,109,110,62,87,77
,Valkenswaard,GR2018_Valkenswaard,Gemeenteraad Valkenswaard 2018,0858,Valkenswaard,2018-03-21,Stembureau Buurtgebouw De Horizon,0858::SB2,5554 PA,1362,593,3,1,0,0,0,548,49,0,0,0,0,0,597,159,88,117,52,48,23,49,57
,Valkenswaard,GR2018_Valkenswaard,Gemeenteraad Valkenswaard 2018,0858,Valkenswaard,2018-03-21,Stembureau St. Franciscusconvent,0858::SB3,5554 RD,1678,695,4,4,0,0,0,632,71,0,0,0,0,0,703,134,139,144,63,55,22,67,71
,Valkenswaard,GR2018_Valkenswaard,Gemeenteraad Valkenswaard 2018,0858,Valkenswaard,2018-03-21,Stembureau Buurthuis de Hijskraan 't Gegraaf,0858::SB4,5552 NL,1339,743,4,8,0,0,0,701,54,0,0,0,0,0,755,171,110,100,75,42,35,131,79
,Valkenswaard,GR2018_Valkenswaard,Gemeenteraad Valkenswaard 2018,0858,Valkenswaard,2018-03-21,Stembureau TafeltennisVereniging Valkenswaard,0858::SB5,5552 KK,1775,730,4,1,0,0,0,653,81,0,1,0,1,0,734,161,141,88,98,84,30,65,63
,Valkenswaard,GR2018_Valkenswaard,Gemeenteraad Valkenswaard 2018,0858,Valkenswaard,2018-03-21,Stembureau Carolus gebouw,0858::SB6,5554 AG,1953,1047,9,5,2,0,0,956,107,0,0,2,0,0,1063,176,254,173,106,70,51,122,95
,Valkenswaard,GR2018_Valkenswaard,Gemeenteraad Valkenswaard 2018,0858,Valkenswaard,2018-03-21,Stembureau Trefcentrum D'n Turfberg,0858::SB7,5553 EL,1610,1098,5,4,0,0,0,1003,104,0,0,0,0,0,1107,248,143,267,98,97,52,87,106
,Valkenswaard,GR2018_Valkenswaard,Gemeenteraad Valkenswaard 2018,0858,Valkenswaard,2018-03-21,Stembureau Gemeentehuis,0858::SB8,5554 DA,1929,848,12,5,0,0,0,767,98,0,0,0,0,0,865,209,130,156,95,91,40,92,35
,Valkenswaard,GR2018_Valkenswaard,Gemeenteraad Valkenswaard 2018,0858,Valkenswaard,2018-03-21,Stembureau Gemeentehuis,0858::SB9,5554 DA,1885,964,7,4,0,0,0,860,113,0,2,0,2,0,973,201,179,179,97,106,54,101,47
,Valkenswaard,GR2018_Valkenswaard,Gemeenteraad Valkenswaard 2018,0858,Valkenswaard,2018-03-21,Stembureau Zorgcentrum Taxandria,0858::SB10,5555 KL,1678,963,1,7,0,0,0,856,115,0,0,0,0,0,971,219,182,202,102,64,36,91,67
,Valkenswaard,GR2018_Valkenswaard,Gemeenteraad Valkenswaard 2018,0858,Valkenswaard,2018-03-21,Stembureau Parochiezaal H. Martinuskerk,0858::SB11,5551 AW,1282,695,3,2,0,0,0,626,74,0,0,0,0,0,700,185,94,160,72,65,38,53,28
,Valkenswaard,GR2018_Valkenswaard,Gemeenteraad Valkenswaard 2018,0858,Valkenswaard,2018-03-21,Stembureau Dommelsche Bierbrouwerij,0858::SB12,5551 AE,1409,669,8,4,0,0,0,619,62,0,0,0,0,0,681,225,88,107,80,49,34,49,37
,Valkenswaard,GR2018_Valkenswaard,Gemeenteraad Valkenswaard 2018,0858,Valkenswaard,2018-03-21,Stembureau Sporthal de Belleman,0858::SB13,5551 EV,1540,1038,12,2,0,0,0,944,107,0,1,0,1,0,1051,276,138,168,124,90,48,120,74
,Valkenswaard,GR2018_Valkenswaard,Gemeenteraad Valkenswaard 2018,0858,Valkenswaard,2018-03-21,Stembureau Basisschool Schepelweijen,0858::SB14,5551 PN,1458,675,6,2,0,0,0,628,55,0,0,0,0,0,683,160,109,109,75,32,48,84,58
,Valkenswaard,GR2018_Valkenswaard,Gemeenteraad Valkenswaard 2018,0858,Valkenswaard,2018-03-21,Stembureau Clubgebouw  't Heike V.V. Dommelen,0858::SB15,5551 TE,1636,696,3,2,0,0,0,628,73,0,0,0,0,0,701,194,91,102,63,58,48,87,53
,Valkenswaard,GR2018_Valkenswaard,Gemeenteraad Valkenswaard 2018,0858,Valkenswaard,2018-03-21,Stembureau Het Dorpshuis,0858::SB16,5556 VL,890,545,6,1,0,0,0,478,74,0,0,0,0,0,552,120,36,236,25,36,14,14,64
