contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Kern'75,Gemeentebelang,CDA,Partij van de Arbeid (P.v.d.A.),VVD,Democraten 66 (D66)
,Gilze en Rijen,GR2018_GilzeenRijen,Gemeenteraad Gilze en Rijen 2018,0784,Gilze en Rijen,2018-03-21,Stembureau De Regent,0784::SB1,5121 CM,2055,964,12,5,0,0,0,890,91,0,0,0,0,0,981,104,308,182,136,156,78
,Gilze en Rijen,GR2018_GilzeenRijen,Gemeenteraad Gilze en Rijen 2018,0784,Gilze en Rijen,2018-03-21,Stembureau De Boodschap,0784::SB2,5121 BC,1718,913,19,2,0,3,0,849,82,0,3,0,0,0,931,83,354,121,120,165,70
,Gilze en Rijen,GR2018_GilzeenRijen,Gemeenteraad Gilze en Rijen 2018,0784,Gilze en Rijen,2018-03-21,Stembureau Burg. van Mierloschool,0784::SB3,5121 HT,1539,732,6,4,0,0,0,672,72,2,0,2,0,0,744,57,223,160,101,123,68
,Gilze en Rijen,GR2018_GilzeenRijen,Gemeenteraad Gilze en Rijen 2018,0784,Gilze en Rijen,2018-03-21,Stembureau School De Brakken,0784::SB4,5121 EM,2278,1222,9,8,0,0,0,1106,133,0,0,0,0,0,1239,121,390,236,138,225,112
,Gilze en Rijen,GR2018_GilzeenRijen,Gemeenteraad Gilze en Rijen 2018,0784,Gilze en Rijen,2018-03-21,Stembureau Sint Jozefschool,0784::SB5,5121 EG,2290,1185,10,5,0,0,0,1101,99,0,0,0,0,0,1200,107,445,215,117,200,101
,Gilze en Rijen,GR2018_GilzeenRijen,Gemeenteraad Gilze en Rijen 2018,0784,Gilze en Rijen,2018-03-21,Stembureau Hal NS-station,0784::SB6,5121 EA,2309,1388,15,5,0,0,0,1294,114,0,0,0,0,0,1408,140,387,224,145,361,131
,Gilze en Rijen,GR2018_GilzeenRijen,Gemeenteraad Gilze en Rijen 2018,0784,Gilze en Rijen,2018-03-21,Stembureau Woonstichting Leystromen,0784::SB7,5121 LN,1054,548,0,4,0,0,0,480,72,0,0,0,0,0,552,50,134,110,61,148,45
,Gilze en Rijen,GR2018_GilzeenRijen,Gemeenteraad Gilze en Rijen 2018,0784,Gilze en Rijen,2018-03-21,Stembureau Zorgcentrum Sint Franciscus,0784::SB8,5126 GC,1926,1093,5,7,0,1,0,1013,93,0,0,1,0,0,1106,466,40,211,138,120,118
,Gilze en Rijen,GR2018_GilzeenRijen,Gemeenteraad Gilze en Rijen 2018,0784,Gilze en Rijen,2018-03-21,Stembureau Sporthal Achter de Tuintjes,0784::SB9,5126 HA,2006,1257,11,8,0,1,0,1156,121,0,0,1,0,0,1277,555,29,228,104,182,159
,Gilze en Rijen,GR2018_GilzeenRijen,Gemeenteraad Gilze en Rijen 2018,0784,Gilze en Rijen,2018-03-21,Stembureau Heemkring Molenheide,0784::SB10,5126 CE,2172,1031,10,1,0,1,0,948,95,0,0,1,0,0,1043,460,30,140,169,107,125
,Gilze en Rijen,GR2018_GilzeenRijen,Gemeenteraad Gilze en Rijen 2018,0784,Gilze en Rijen,2018-03-21,Stembureau De Molenwiek,0784::SB11,5124 RM,1024,629,1,1,0,0,0,572,59,0,0,0,0,0,631,237,47,207,40,69,29
,Gilze en Rijen,GR2018_GilzeenRijen,Gemeenteraad Gilze en Rijen 2018,0784,Gilze en Rijen,2018-03-21,Stembureau The Chump,0784::SB12,5125 NL,306,180,2,0,0,0,0,160,22,0,0,0,0,0,182,44,22,70,11,22,11
