contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),GB Heerenveen,CDA,VVD,Democraten 66 (D66),FNP,ChristenUnie,GROENLINKS,9,SP (Socialistische Partij)
,Heerenveen,GR2018_Heerenveen,Gemeenteraad Heerenveen 2018,0074,Heerenveen,2018-03-21,Stembureau Gemeentehuis,0074::SB1,8441 ES,1107,911,2,5,0,0,0,849,69,0,0,0,0,0,918,186,92,99,118,78,83,52,90,53,60
,Heerenveen,GR2018_Heerenveen,Gemeenteraad Heerenveen 2018,0074,Heerenveen,2018-03-21,Stembureau Zorgcentrum Mariënbosch,0074::SB2,8441 BN,1360,618,6,1,0,0,0,592,33,0,0,0,0,0,625,123,53,92,95,43,59,43,44,23,43
,Heerenveen,GR2018_Heerenveen,Gemeenteraad Heerenveen 2018,0074,Heerenveen,2018-03-21,Stembureau Obs van Maasdijkschool,0074::SB3,8441 CP,1321,800,7,0,0,0,0,734,73,0,0,0,0,0,807,158,90,71,121,69,82,34,88,43,44
,Heerenveen,GR2018_Heerenveen,Gemeenteraad Heerenveen 2018,0074,Heerenveen,2018-03-21,Stembureau Gymnastieklokaal OBS De Optimist,0074::SB4,8447 BS,1275,583,2,2,0,0,0,551,36,0,0,0,0,0,587,123,59,76,82,38,49,31,58,29,38
,Heerenveen,GR2018_Heerenveen,Gemeenteraad Heerenveen 2018,0074,Heerenveen,2018-03-21,Stembureau Gymnastieklokaal OBS De Optimist,0074::SB5,8447 BS,1309,781,3,2,0,1,0,787,0,0,0,1,0,0,787,150,70,101,125,55,48,62,90,32,48
,Heerenveen,GR2018_Heerenveen,Gemeenteraad Heerenveen 2018,0074,Heerenveen,2018-03-21,Stembureau Wijkcentrum de As,0074::SB6,8446 SC,1076,541,2,1,0,7,0,519,32,0,0,7,0,0,551,115,60,57,66,37,53,37,55,27,34
,Heerenveen,GR2018_Heerenveen,Gemeenteraad Heerenveen 2018,0074,Heerenveen,2018-03-21,Stembureau Wijkcentrum de As,0074::SB7,8446 SC,1250,666,1,4,0,18,0,620,33,0,18,0,0,0,653,153,84,62,68,45,55,52,61,41,45
,Heerenveen,GR2018_Heerenveen,Gemeenteraad Heerenveen 2018,0074,Heerenveen,2018-03-21,Stembureau De Rinkelbom,0074::SB8,8446 KS,1125,460,2,1,0,0,0,422,41,0,0,0,0,0,463,113,42,67,52,32,20,40,31,33,30
,Heerenveen,GR2018_Heerenveen,Gemeenteraad Heerenveen 2018,0074,Heerenveen,2018-03-21,Stembureau de Buitenkans,0074::SB9,8446 MD,1037,570,2,1,0,0,0,525,48,0,0,0,0,0,573,109,36,79,49,41,41,76,67,25,47
,Heerenveen,GR2018_Heerenveen,Gemeenteraad Heerenveen 2018,0074,Heerenveen,2018-03-21,Stembureau Coornhertstate,0074::SB10,8446 KE,1173,716,2,3,0,0,0,677,44,0,0,0,0,0,721,168,83,84,65,56,68,56,61,19,56
,Heerenveen,GR2018_Heerenveen,Gemeenteraad Heerenveen 2018,0074,Heerenveen,2018-03-21,Stembureau Kantine HHC Quick Stick,0074::SB11,8445 PZ,1372,938,0,1,1,0,0,848,90,0,1,0,0,0,938,132,52,152,296,107,51,40,74,21,13
,Heerenveen,GR2018_Heerenveen,Gemeenteraad Heerenveen 2018,0074,Heerenveen,2018-03-21,Stembureau MFA De Akkers,0074::SB12,8443 AJ,1252,749,3,2,0,0,0,696,58,0,0,0,0,0,754,174,76,104,93,52,63,42,68,30,47
,Heerenveen,GR2018_Heerenveen,Gemeenteraad Heerenveen 2018,0074,Heerenveen,2018-03-21,Stembureau Zorgcentrum Heremastate,0074::SB13,8444 AN,1293,590,1,2,0,0,0,554,39,0,0,0,0,0,593,111,64,89,75,35,74,23,56,16,47
,Heerenveen,GR2018_Heerenveen,Gemeenteraad Heerenveen 2018,0074,Heerenveen,2018-03-21,Stembureau Serviceflat Oranjewoud,0074::SB14,8443 EL,1100,559,5,0,0,1,0,532,31,0,1,0,0,0,563,125,50,65,88,37,55,47,51,17,24
