contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Onafhankelijke Partij Alkmaar (OPA),Partij van de Arbeid (P.v.d.A.),VVD,CDA,Democraten 66 (D66),GROENLINKS,Leefbaar Alkmaar,SeniorenPartij Alkmaar (SPA) ouderen,Democratische Partij Alkmaar,B.A.S.,DENK,Partij voor Iedereen,ChristenUnie,Partij voor de Dieren
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau Stadhuis,0361::SB1,,1352,1456,13,5,0,0,0,1361,113,0,0,0,0,0,1474,221,91,234,112,248,234,51,41,13,91,4,11,24,81
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau Doopsgezinde Gemeente,0361::SB2,,1465,527,2,1,0,0,0,491,39,0,0,0,0,0,530,72,49,95,47,49,66,23,37,5,36,0,3,12,33
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau De Sociëteit,0361::SB3,,1590,935,3,2,0,2,0,869,69,0,2,0,0,0,938,114,95,94,42,117,186,59,27,12,125,2,2,12,48
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau Wijkcentrum Thuis in Overdie,0361::SB4,,1646,1074,2,11,0,0,0,988,103,0,0,4,0,0,1091,174,92,88,64,78,107,66,55,8,106,130,34,17,55
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau Wijkcentrum Overdie Ontmoet,0361::SB5,,1705,731,5,3,0,0,0,626,113,0,0,0,0,0,739,58,63,20,30,27,36,134,30,5,83,172,49,2,22
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau Buurthuis Oud Overdie,0361::SB6,,1508,634,3,1,0,0,0,591,47,0,0,0,0,0,638,129,59,48,27,30,76,35,67,3,96,16,14,2,32
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau Zorgspectrum Westerhout,0361::SB7,,1571,1082,3,2,0,3,0,989,101,0,0,3,0,0,1090,134,90,166,99,153,192,76,59,3,51,0,4,15,40
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau Wijkboerderij Alkmaar,0361::SB8,,1664,506,2,1,0,2,0,466,45,0,0,2,0,0,511,85,59,83,37,58,50,29,29,4,35,8,2,8,19
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau De Palatijn,0361::SB9,,1672,678,0,2,0,0,0,621,59,0,0,0,0,0,680,99,80,87,86,67,95,26,37,7,53,8,0,12,21
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau Appartementcomplex Druckerstraat 1,0361::SB10,,1365,681,3,2,0,0,0,661,25,0,0,0,0,0,686,120,65,61,46,52,99,38,29,11,71,11,6,13,59
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau Buurthuis De Blekerij,0361::SB11,,1293,706,5,1,0,0,0,663,49,0,0,0,0,0,712,129,58,86,39,65,129,35,26,7,60,4,5,6,57
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau Zorgcentrum De Nieuwpoort,0361::SB12,,1499,815,6,5,0,0,0,750,76,0,0,0,0,0,826,122,88,93,103,83,85,53,53,10,39,24,11,18,33
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau Nicolaas Beetsschool Nr.2,0361::SB13,,1155,613,0,0,0,0,0,546,66,0,1,0,0,1,612,82,81,99,37,79,98,14,25,5,35,0,3,14,41
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau Portakabin Station NS,0361::SB14,,1386,1236,8,0,0,0,0,1176,68,0,0,0,0,0,1244,158,112,119,42,184,322,31,19,18,61,17,7,26,120
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau Murmellius Gymnasium,0361::SB15,,1250,1038,2,3,0,1,0,965,79,0,0,1,0,0,1044,130,95,121,82,172,222,33,26,11,56,4,4,31,51
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau Sociëteit K.B.O.,0361::SB16,,1270,715,6,2,0,10,0,671,62,0,0,10,0,0,733,90,75,105,67,77,150,17,17,3,62,0,1,13,38
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau Noordwest Ziekenhuisgroep,0361::SB17,,1383,951,2,0,0,0,0,873,80,0,0,0,0,0,953,117,81,191,103,125,129,41,33,9,43,6,6,17,50
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau Kunstuitleen,0361::SB18,,1297,461,0,0,0,0,0,432,29,0,0,0,0,0,461,61,58,49,31,50,98,14,23,5,18,3,3,13,35
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau De Vrijheidskerk,0361::SB19,,1537,1063,4,5,0,0,0,996,76,0,0,0,0,0,1072,171,114,111,103,99,210,50,59,11,55,7,3,23,47
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau De Vleugels,0361::SB20,,1697,1136,5,5,0,0,0,1068,78,0,0,0,0,0,1146,181,96,138,98,106,128,73,93,4,82,39,22,30,46
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau De Middentogt,0361::SB21,,1558,674,2,1,0,0,0,631,46,0,0,0,0,0,677,102,80,88,73,51,83,44,46,6,33,5,8,23,32
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau Speeltuin De Hoef,0361::SB22,,1677,553,2,1,0,2,0,515,43,0,0,2,0,0,558,91,46,54,49,46,61,50,19,3,41,39,8,14,32
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau Nicolaas Beetsschool Nr.1,0361::SB23,,1150,977,3,1,0,0,0,903,78,0,0,0,0,0,981,150,109,170,93,106,148,39,35,6,51,2,4,20,44
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau Buurthuis de Wachter,0361::SB24,,1326,605,2,2,0,0,0,558,51,0,0,0,0,0,609,119,58,63,27,42,105,21,49,9,60,5,3,2,42
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau MFA Vroonermeer Nr.1,0361::SB25,,1221,671,1,1,0,1,0,615,57,0,1,0,0,0,672,118,53,139,47,81,75,26,16,15,40,0,6,26,29
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau Speeltuin OKB,0361::SB26,,1241,709,3,0,3,0,0,648,61,0,3,0,0,0,709,88,83,112,43,79,116,23,44,13,55,6,6,11,30
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau MFA Vroonermeer Nr.2,0361::SB27,,1176,571,0,0,0,0,0,518,53,0,0,0,0,0,571,103,46,103,60,76,60,20,15,3,35,8,0,20,22
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau Wijkcentrum De Oever,0361::SB28,,1407,1223,5,1,0,4,0,1141,92,0,0,4,0,0,1233,188,154,131,86,117,170,62,73,14,89,36,18,31,54
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau Leger des Heils,0361::SB29,,1538,919,2,6,0,0,0,853,74,0,0,0,0,0,927,170,83,117,50,80,137,74,64,10,35,7,3,34,55
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau DURV! school Tochtwaard,0361::SB30,,1509,886,2,2,0,0,0,825,65,0,0,0,0,0,890,154,120,66,62,100,146,36,66,17,39,8,5,21,46
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau Basisschool Jules Verne,0361::SB31,,1561,533,3,0,0,0,0,478,58,0,0,0,0,0,536,118,50,54,22,49,92,13,37,8,38,7,9,9,27
,Alkmaar,GR2018_Alkmaar,Gemeenteraad Alkmaar 2018,0361,Alkmaar,2018-03-21,Stembureau Wijkcentrum Wijkwaard,0361::SB32,,1530,1011,5,6,0,0,0,938,85,1,0,1,0,0,1023,192,116,90,88,74,89,78,147,9,46,7,4,24,47
