contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Heemsteeds Burger Belang,Democraten 66 (D66),VVD,CDA,GROENLINKS,Partij van de Arbeid (P.v.d.A.)
,Heemstede,GR2018_Heemstede,Gemeenteraad Heemstede 2018,0397,Heemstede,2018-03-21,Stembureau Raadhuis,0397::SB1,2101 HA,1212,1439,7,6,0,0,0,1321,130,0,1,0,1,0,1451,411,230,361,155,165,117
,Heemstede,GR2018_Heemstede,Gemeenteraad Heemstede 2018,0397,Heemstede,2018-03-21,Stembureau Gymzaal Offenbachlaan,0397::SB2,2102 ZL,1215,746,0,3,0,0,0,693,56,0,0,0,0,0,749,243,88,199,74,89,53
,Heemstede,GR2018_Heemstede,Gemeenteraad Heemstede 2018,0397,Heemstede,2018-03-21,Stembureau Nicolaas Beetsschool,0397::SB3,2103 VR,1167,577,0,1,0,0,0,522,56,0,0,0,0,0,578,195,95,131,31,76,49
,Heemstede,GR2018_Heemstede,Gemeenteraad Heemstede 2018,0397,Heemstede,2018-03-21,Stembureau Huize Bosbeek,0397::SB4,2104 WG,1122,684,0,2,0,0,0,626,60,0,0,0,0,0,686,228,83,93,108,107,65
,Heemstede,GR2018_Heemstede,Gemeenteraad Heemstede 2018,0397,Heemstede,2018-03-21,Stembureau Princehof,0397::SB5,2104 AH,2146,1104,4,1,0,0,0,1006,103,0,0,0,0,0,1109,383,128,184,120,185,104
,Heemstede,GR2018_Heemstede,Gemeenteraad Heemstede 2018,0397,Heemstede,2018-03-21,Stembureau Portocabin parkeerplaats Amstellaan,0397::SB6,,1460,945,2,8,0,0,0,884,71,0,0,0,0,0,955,347,127,131,81,189,70
,Heemstede,GR2018_Heemstede,Gemeenteraad Heemstede 2018,0397,Heemstede,2018-03-21,Stembureau School 'De Evenaar',0397::SB7,2105 TC,1392,934,3,1,0,0,0,860,79,1,0,1,0,0,939,306,111,156,96,185,80
,Heemstede,GR2018_Heemstede,Gemeenteraad Heemstede 2018,0397,Heemstede,2018-03-21,Stembureau De Luifel,0397::SB8,2101 MP,1153,746,6,3,0,0,0,680,75,0,0,0,0,0,755,242,86,165,100,85,68
,Heemstede,GR2018_Heemstede,Gemeenteraad Heemstede 2018,0397,Heemstede,2018-03-21,Stembureau Bibliotheek / Portcabin Eikenlaan,0397::SB9,2101 ZA,1345,941,2,1,0,0,0,831,113,0,0,0,0,0,944,351,156,218,52,105,59
,Heemstede,GR2018_Heemstede,Gemeenteraad Heemstede 2018,0397,Heemstede,2018-03-21,Stembureau Kennemerduin,0397::SB10,2101 MS,1435,662,3,5,0,0,0,602,68,0,0,0,0,0,670,195,95,151,88,73,60
,Heemstede,GR2018_Heemstede,Gemeenteraad Heemstede 2018,0397,Heemstede,2018-03-21,Stembureau Crayenesterschool,0397::SB11,2101 AN,1230,875,0,1,0,0,0,780,96,0,0,0,0,0,876,181,230,261,75,84,44
,Heemstede,GR2018_Heemstede,Gemeenteraad Heemstede 2018,0397,Heemstede,2018-03-21,Stembureau Bosch en Hovenschool,0397::SB12,2101 AJ,1063,723,4,2,0,0,0,630,99,0,0,0,0,0,729,185,157,208,54,82,37
,Heemstede,GR2018_Heemstede,Gemeenteraad Heemstede 2018,0397,Heemstede,2018-03-21,"Stembureau Station, Roemer Visscherplein",0397::SB13,,1232,1124,2,1,0,0,2,1009,115,0,1,0,1,0,1126,261,219,302,69,183,90
,Heemstede,GR2018_Heemstede,Gemeenteraad Heemstede 2018,0397,Heemstede,2018-03-21,Stembureau Voorwegschool,0397::SB14,2103 ST,1399,743,2,1,0,0,0,675,71,0,0,0,0,0,746,228,120,154,71,119,51
,Heemstede,GR2018_Heemstede,Gemeenteraad Heemstede 2018,0397,Heemstede,2018-03-21,Stembureau Spaarne Gasthuis,0397::SB15,2102 CW,1126,941,4,0,0,0,0,812,133,0,0,0,0,0,945,206,213,288,81,107,46
,Heemstede,GR2018_Heemstede,Gemeenteraad Heemstede 2018,0397,Heemstede,2018-03-21,Stembureau Welzijn Ouderen Heemstede,0397::SB16,2101 VE,1383,570,1,2,0,0,0,516,57,0,0,0,0,0,573,177,85,134,52,78,44
,Heemstede,GR2018_Heemstede,Gemeenteraad Heemstede 2018,0397,Heemstede,2018-03-21,Stembureau Mobiel stembureau,0397::SB17,,0,4,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,1,3,0,0
