contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Inwoners Partij Lelystad,Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),Democraten 66 (D66),ChristenUnie,CDA,GROENLINKS,Leefbaar Lelystad,Lelystads Belang,DENK,PVV (Partij voor de Vrijheid),JongLelystad,Forum voor de Ouderen
,Lelystad,GR2018_Lelystad,Gemeenteraad Lelystad 2018,0995,Lelystad,2018-03-21,Stembureau Woonzorgcentrum De Hoven,0995::SB1,8233 BK,1143,465,2,1,0,0,0,413,55,0,0,0,0,0,468,69,29,35,25,23,40,74,21,55,15,2,41,7,29
,Lelystad,GR2018_Lelystad,Gemeenteraad Lelystad 2018,0995,Lelystad,2018-03-21,Stembureau Woonzorgcentrum De Uiterton,0995::SB2,8224 MA,1945,866,4,7,0,0,0,879,0,2,0,2,0,0,879,108,72,93,55,36,73,104,53,72,24,16,90,27,43
,Lelystad,GR2018_Lelystad,Gemeenteraad Lelystad 2018,0995,Lelystad,2018-03-21,Stembureau School Laetare,0995::SB3,8223 ZR,1636,686,4,2,0,0,0,599,93,0,0,0,0,0,692,88,34,64,36,38,44,27,67,46,18,87,69,62,6
,Lelystad,GR2018_Lelystad,Gemeenteraad Lelystad 2018,0995,Lelystad,2018-03-21,Stembureau Wijkcentrum Zuiderzee,0995::SB4,8223 CL,1405,577,0,2,0,0,0,520,59,0,0,0,0,0,579,43,47,48,37,25,49,21,37,63,18,37,63,68,21
,Lelystad,GR2018_Lelystad,Gemeenteraad Lelystad 2018,0995,Lelystad,2018-03-21,Stembureau Atolplaza,0995::SB5,8224 CM,1798,874,3,14,0,0,0,772,119,0,0,0,0,0,891,36,36,51,39,16,49,25,75,56,14,332,69,69,7
,Lelystad,GR2018_Lelystad,Gemeenteraad Lelystad 2018,0995,Lelystad,2018-03-21,Stembureau Kerkcentrum Ontmoetingskerk,0995::SB6,8224 CM,1566,720,0,2,1,0,0,664,57,0,1,0,0,0,721,53,55,79,46,25,56,42,48,51,12,87,97,42,27
,Lelystad,GR2018_Lelystad,Gemeenteraad Lelystad 2018,0995,Lelystad,2018-03-21,Stembureau School De Wingerd,0995::SB7,8212 CA,1608,1045,0,2,0,1,0,934,112,0,1,0,0,0,1046,182,82,85,31,89,130,109,83,114,29,5,53,35,18
,Lelystad,GR2018_Lelystad,Gemeenteraad Lelystad 2018,0995,Lelystad,2018-03-21,Stembureau School Arcus,0995::SB8,8224 KR,1257,575,2,2,0,0,0,509,71,0,0,1,0,0,580,72,77,59,40,41,60,24,51,62,8,4,36,31,10
,Lelystad,GR2018_Lelystad,Gemeenteraad Lelystad 2018,0995,Lelystad,2018-03-21,Stembureau Buurtvereniging Het Palet,0995::SB9,8212 CA,1728,1136,2,1,0,0,0,1041,98,0,0,0,0,0,1139,161,125,107,56,71,100,59,100,140,33,7,93,52,32
,Lelystad,GR2018_Lelystad,Gemeenteraad Lelystad 2018,0995,Lelystad,2018-03-21,Stembureau Verpleeg- en behandelcentrum Laarstaete,0995::SB10,8225 CB,1590,459,1,1,0,0,0,410,50,0,1,0,1,0,460,37,99,36,35,20,43,30,28,50,16,4,38,14,9
,Lelystad,GR2018_Lelystad,Gemeenteraad Lelystad 2018,0995,Lelystad,2018-03-21,Stembureau School De Driemaster,0995::SB11,8225 AG,1769,793,4,6,0,0,0,726,77,0,0,0,0,0,803,75,88,74,65,35,57,55,49,113,22,13,78,60,9
,Lelystad,GR2018_Lelystad,Gemeenteraad Lelystad 2018,0995,Lelystad,2018-03-21,Stembureau School 't Schrijverke,0995::SB12,8225 AZ,1515,616,2,4,0,0,0,581,41,0,0,0,0,0,622,63,70,57,33,35,54,35,52,83,17,10,39,62,6
,Lelystad,GR2018_Lelystad,Gemeenteraad Lelystad 2018,0995,Lelystad,2018-03-21,Stembureau Buurtcentrum De Brink,0995::SB13,8225 SX,1439,973,6,12,0,0,0,912,79,0,0,0,0,0,991,77,143,89,84,47,52,35,63,89,23,38,127,83,23
,Lelystad,GR2018_Lelystad,Gemeenteraad Lelystad 2018,0995,Lelystad,2018-03-21,Stembureau School De Poolster,0995::SB14,8226 BA,1792,476,2,10,0,0,0,461,25,0,2,0,1,0,486,22,29,31,36,16,24,30,32,61,22,30,82,54,7
,Lelystad,GR2018_Lelystad,Gemeenteraad Lelystad 2018,0995,Lelystad,2018-03-21,Stembureau School Driestromenland,0995::SB15,8226 KA,2166,1076,3,22,0,1,0,990,109,0,2,0,0,0,1099,118,49,103,73,42,95,41,159,96,47,48,96,78,31
,Lelystad,GR2018_Lelystad,Gemeenteraad Lelystad 2018,0995,Lelystad,2018-03-21,Stembureau Apollo Hotel Lelystad,0995::SB16,8224 BZ,1330,480,3,2,0,0,0,449,36,0,0,0,0,0,485,44,30,45,40,36,25,28,45,69,20,6,47,28,17
,Lelystad,GR2018_Lelystad,Gemeenteraad Lelystad 2018,0995,Lelystad,2018-03-21,Stembureau Kerkcentrum Het Anker,0995::SB17,8231 BH,1605,1089,7,1,0,0,0,1017,82,2,0,2,0,0,1099,162,86,129,50,91,114,105,67,122,32,0,75,36,20
,Lelystad,GR2018_Lelystad,Gemeenteraad Lelystad 2018,0995,Lelystad,2018-03-21,Stembureau School De Boeier,0995::SB18,8242 VS,1348,1096,0,1,0,0,0,985,112,0,0,0,0,0,1097,235,98,111,35,93,66,66,87,130,35,3,58,46,33
,Lelystad,GR2018_Lelystad,Gemeenteraad Lelystad 2018,0995,Lelystad,2018-03-21,Stembureau KBS De Toermalijn Noord,0995::SB19,8242 GN,2237,661,2,7,0,0,0,610,60,0,0,0,0,0,670,84,65,48,39,27,44,34,39,104,27,12,77,38,23
,Lelystad,GR2018_Lelystad,Gemeenteraad Lelystad 2018,0995,Lelystad,2018-03-21,Stembureau School De Albatros,0995::SB20,8242 AL,2255,1029,2,3,0,2,0,914,122,0,0,2,0,0,1036,272,104,73,43,68,42,47,48,130,21,6,96,56,23
,Lelystad,GR2018_Lelystad,Gemeenteraad Lelystad 2018,0995,Lelystad,2018-03-21,Stembureau Dans- en Partycentrum Overeem,0995::SB21,8242 BA,1848,876,4,6,0,1,0,820,67,0,0,1,0,0,887,80,77,80,75,39,41,36,51,131,32,24,105,72,33
,Lelystad,GR2018_Lelystad,Gemeenteraad Lelystad 2018,0995,Lelystad,2018-03-21,Stembureau Kindcentrum Warande,0995::SB22,8245 HW,1391,856,3,3,0,1,0,758,105,0,0,1,0,0,863,226,56,62,20,61,50,54,75,122,17,11,35,67,0
,Lelystad,GR2018_Lelystad,Gemeenteraad Lelystad 2018,0995,Lelystad,2018-03-21,Stembureau Woonzorgcentrum Hanzeborg,0995::SB23,8232 DC,2330,1293,0,10,0,0,0,1180,123,0,0,0,0,0,1303,155,102,131,88,77,58,64,108,184,27,49,108,100,42
,Lelystad,GR2018_Lelystad,Gemeenteraad Lelystad 2018,0995,Lelystad,2018-03-21,Stembureau Kerkcentrum 't Lichtschip,0995::SB24,8243 BW,1728,940,4,4,0,0,0,877,71,0,0,0,0,0,948,111,100,67,68,48,69,70,71,131,21,7,86,56,35
,Lelystad,GR2018_Lelystad,Gemeenteraad Lelystad 2018,0995,Lelystad,2018-03-21,Stembureau School De Toermalijn,0995::SB25,8243 LR,1709,753,1,7,0,0,0,676,85,0,0,0,0,0,761,94,67,78,48,48,48,33,52,103,11,11,93,50,17
,Lelystad,GR2018_Lelystad,Gemeenteraad Lelystad 2018,0995,Lelystad,2018-03-21,Stembureau Kerkcentrum Petruskerk,0995::SB26,8243 KA,1535,736,1,4,0,1,0,674,66,0,1,0,0,0,740,94,78,85,36,44,45,46,38,87,21,14,88,36,24
,Lelystad,GR2018_Lelystad,Gemeenteraad Lelystad 2018,0995,Lelystad,2018-03-21,Stembureau School De Tjalk,0995::SB27,8232 LT,1597,753,2,2,0,0,0,686,71,0,0,0,0,0,757,80,67,51,50,43,64,42,40,118,31,4,86,41,36
,Lelystad,GR2018_Lelystad,Gemeenteraad Lelystad 2018,0995,Lelystad,2018-03-21,Stembureau School De Triangel,0995::SB28,8243 KW,1696,734,1,0,0,1,0,676,58,0,1,0,0,0,734,106,87,55,42,44,44,44,50,105,22,2,73,43,17
