contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),Burgerbelangen Enschede (BBE),SP (Socialistische Partij),CDA,VVD,GROENLINKS,ChristenUnie,OPA,EnschedeAnders.nl,DENK,PVV (Partij voor de Vrijheid),Democratisch Platform Enschede,Liberaal053
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau Gemeentehuis,0153::SB1,,1941,1458,13,7,0,3,0,1386,95,0,0,3,0,0,1481,265,137,163,97,135,176,285,54,19,39,13,37,35,3
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau OBS Het Zeggelt,0153::SB2,,1283,912,4,2,0,0,0,839,79,0,0,0,0,0,918,172,101,88,39,79,132,170,41,5,23,3,38,18,3
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau OBS La Res,0153::SB3,,1779,738,4,2,0,0,0,684,60,0,0,0,0,0,744,105,61,95,63,51,84,94,49,14,23,31,50,15,3
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau OBS Freinet,0153::SB4,,1758,786,4,8,0,1,0,737,60,0,1,0,0,0,797,121,80,77,89,58,46,140,36,7,33,40,37,20,2
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,"Stembureau Liberein, locatie De Eschpoort",0153::SB5,,1605,835,7,4,0,0,0,777,69,0,0,0,0,0,846,70,106,131,51,125,115,49,84,17,26,6,39,16,0
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau De Wedemhoff,0153::SB6,,1230,578,1,0,0,0,0,544,35,0,0,0,0,0,579,62,72,80,35,59,85,77,29,7,25,0,40,5,2
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau Speeltuin Hoogeland,0153::SB7,,1738,754,3,2,0,1,0,703,55,0,1,0,0,0,758,86,61,85,75,61,68,101,49,12,27,51,55,21,2
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau Zuider Speeltuin,0153::SB8,,1646,1107,9,6,0,0,0,1015,107,0,0,0,0,0,1122,135,119,206,88,87,88,135,41,19,41,37,71,39,1
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau Medisch Spectrum Twente,0153::SB9,,1779,971,3,0,0,0,0,891,83,0,0,0,0,0,974,169,101,140,67,83,119,116,39,15,22,42,37,17,4
,Enschede,GR2018_Enschede,Gemeenteraad Enschede 2018,0153,Enschede,2018-03-21,Stembureau International School Twente,0153::SB10,,1859,796,5,1,0,4,0,734,72,0,0,4,0,0,806,107,91,115,87,53,76,95,46,14,30,17,44,21,0
