contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,ChristenUnie,CDA,Staatkundig Gereformeerde Partij (SGP),VVD,Christelijke Arbeiders Partij (CAP),SVP
,Bunschoten,GR2018_Bunschoten,Gemeenteraad Bunschoten 2018,0313,Bunschoten,2018-03-21,Stembureau Basisschool De Ark,0313::SB1,3751 VK,1734,1006,2,4,0,0,0,883,129,0,0,0,0,0,1012,296,164,121,315,84,26
,Bunschoten,GR2018_Bunschoten,Gemeenteraad Bunschoten 2018,0313,Bunschoten,2018-03-21,Stembureau Immanuel kerk,0313::SB2,3752 PE,1336,1050,3,2,0,0,0,950,105,0,0,0,0,0,1055,380,155,92,262,120,41
,Bunschoten,GR2018_Bunschoten,Gemeenteraad Bunschoten 2018,0313,Bunschoten,2018-03-21,Stembureau Het Talent,0313::SB3,3752 XK,1516,743,0,4,0,0,0,666,81,0,0,0,0,0,747,241,120,82,213,70,17
,Bunschoten,GR2018_Bunschoten,Gemeenteraad Bunschoten 2018,0313,Bunschoten,2018-03-21,Stembureau Gemeentehuis,0313::SB4,3752 CL,1539,1133,4,6,0,0,0,1018,125,0,0,0,0,0,1143,337,152,116,364,130,34
,Bunschoten,GR2018_Bunschoten,Gemeenteraad Bunschoten 2018,0313,Bunschoten,2018-03-21,Stembureau 't  Kruisrak,0313::SB5,3752 KV,1385,832,7,1,7,0,0,750,97,0,0,7,0,0,847,277,109,94,241,72,39
,Bunschoten,GR2018_Bunschoten,Gemeenteraad Bunschoten 2018,0313,Bunschoten,2018-03-21,Stembureau Mr Gr. van Prinstererschool,0313::SB6,3752 GW,1301,1003,2,1,0,1,0,881,124,0,1,0,0,0,1005,360,153,117,259,87,27
,Bunschoten,GR2018_Bunschoten,Gemeenteraad Bunschoten 2018,0313,Bunschoten,2018-03-21,Stembureau Noorderkerk,0313::SB7,3751 AR,1808,1143,1,1,0,0,0,1007,138,0,0,0,0,0,1145,400,138,126,312,140,27
,Bunschoten,GR2018_Bunschoten,Gemeenteraad Bunschoten 2018,0313,Bunschoten,2018-03-21,Stembureau Zorg en wooncentrum De Haven,0313::SB8,3752 GM,1641,1076,4,3,0,0,0,957,126,0,0,0,0,0,1083,425,153,162,222,89,25
,Bunschoten,GR2018_Bunschoten,Gemeenteraad Bunschoten 2018,0313,Bunschoten,2018-03-21,Stembureau De Westerkerk,0313::SB9,3752 GP,1600,927,3,2,0,0,0,811,121,0,0,0,0,0,932,295,133,133,237,88,41
,Bunschoten,GR2018_Bunschoten,Gemeenteraad Bunschoten 2018,0313,Bunschoten,2018-03-21,Stembureau School met de Bijbel,0313::SB10,3754 NA,640,506,2,0,0,0,0,463,45,0,0,0,0,0,508,186,121,65,104,23,7
,Bunschoten,GR2018_Bunschoten,Gemeenteraad Bunschoten 2018,0313,Bunschoten,2018-03-21,Stembureau Maranathakerk,0313::SB11,3751 CP,1669,938,2,0,0,0,0,847,93,0,0,0,0,0,940,372,142,111,194,91,28
