contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Beuningen Nu & Morgen,Democraten 66 (D66),CDA,VVD,GROENLINKS,Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij)
,Beuningen,GR2018_Beuningen,Gemeenteraad Beuningen 2018,0209,Beuningen,2018-03-21,Stembureau Zorgcentrum Alde Steeg,0209::SB1,6641BG,1377,501,3,2,0,1,0,464,41,0,1,0,0,0,505,135,43,97,68,59,50,49
,Beuningen,GR2018_Beuningen,Gemeenteraad Beuningen 2018,0209,Beuningen,2018-03-21,Stembureau Theater De Molen,0209::SB2,6641BK,1528,944,5,4,0,0,0,856,97,0,0,0,0,0,953,287,85,214,137,95,57,69
,Beuningen,GR2018_Beuningen,Gemeenteraad Beuningen 2018,0209,Beuningen,2018-03-21,Stembureau School de Dromedaris,0209::SB3,6642CM,1934,1118,2,4,0,0,0,1002,122,0,0,0,0,0,1124,290,148,205,274,91,58,52
,Beuningen,GR2018_Beuningen,Gemeenteraad Beuningen 2018,0209,Beuningen,2018-03-21,Stembureau School de Peppel,0209::SB4,6642AB,1620,1029,9,4,0,0,0,919,123,0,0,0,0,0,1042,277,129,160,186,138,61,78
,Beuningen,GR2018_Beuningen,Gemeenteraad Beuningen 2018,0209,Beuningen,2018-03-21,Stembureau School Klavervier,0209::SB5,6641ST,1741,638,2,1,0,0,0,585,56,0,0,0,0,0,641,174,70,88,66,97,42,101
,Beuningen,GR2018_Beuningen,Gemeenteraad Beuningen 2018,0209,Beuningen,2018-03-21,Stembureau School de Vuurvlinder,0209::SB6,6641LT,1686,700,5,2,0,0,0,645,62,0,0,0,0,0,707,193,80,103,113,86,55,70
,Beuningen,GR2018_Beuningen,Gemeenteraad Beuningen 2018,0209,Beuningen,2018-03-21,Stembureau Verpleeghuis Waelwick,0209::SB7,6644CP,1566,764,3,1,0,0,0,704,64,0,0,0,0,0,768,339,60,114,82,74,29,66
,Beuningen,GR2018_Beuningen,Gemeenteraad Beuningen 2018,0209,Beuningen,2018-03-21,Stembureau MFA 't Hart,0209::SB8,6644EA,1499,819,4,2,0,0,0,745,80,0,0,0,0,0,825,325,43,152,104,61,23,111
,Beuningen,GR2018_Beuningen,Gemeenteraad Beuningen 2018,0209,Beuningen,2018-03-21,Stembureau Sporthal-Dorpshuis de Kloosterhof,0209::SB9,6551EB,912,608,1,0,0,0,0,569,40,0,0,0,0,0,609,191,28,96,65,152,11,65
,Beuningen,GR2018_Beuningen,Gemeenteraad Beuningen 2018,0209,Beuningen,2018-03-21,Stembureau Muziekcentrum Ulto,0209::SB10,6645AD,897,476,3,2,0,0,0,450,31,0,0,0,0,0,481,273,23,41,50,31,46,12
,Beuningen,GR2018_Beuningen,Gemeenteraad Beuningen 2018,0209,Beuningen,2018-03-21,Stembureau School de Hoeven,0209::SB11,6641WR,1188,624,1,3,0,0,0,565,63,0,0,0,0,0,628,144,83,125,78,83,45,66
,Beuningen,GR2018_Beuningen,Gemeenteraad Beuningen 2018,0209,Beuningen,2018-03-21,Stembureau De Lèghe Polder,0209::SB12,6641DC,1418,774,3,1,0,0,0,671,107,0,0,0,0,0,778,232,101,157,80,81,49,74
,Beuningen,GR2018_Beuningen,Gemeenteraad Beuningen 2018,0209,Beuningen,2018-03-21,Stembureau Sporthal Tinnegieter,0209::SB13,6641DH,1396,827,7,5,0,0,0,767,72,0,0,0,0,0,839,252,79,115,99,126,57,99
,Beuningen,GR2018_Beuningen,Gemeenteraad Beuningen 2018,0209,Beuningen,2018-03-21,Stembureau Zaal 't Centrum,0209::SB14,6551ZN,1158,522,3,1,0,0,0,487,39,0,0,0,0,0,526,124,31,82,83,154,19,29
,Beuningen,GR2018_Beuningen,Gemeenteraad Beuningen 2018,0209,Beuningen,2018-03-21,Stembureau De Paulus,0209::SB15,6645BT,760,612,1,0,0,0,0,550,63,0,0,0,0,0,613,330,25,61,46,32,72,46
