contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Roerstreek Lokaal!,CDA,Ons Roerdalen,Democraten Roerdalen,VVD,Partij van de Arbeid (P.v.d.A.)
,Roerdalen,GR2018_Roerdalen,Gemeenteraad Roerdalen 2018,1669,Roerdalen,2018-03-21,Stembureau C.C. De Beuk,1669::SB1,6061 EG,1721,976,10,3,0,0,0,894,95,0,0,0,0,0,989,268,278,67,148,62,153
,Roerdalen,GR2018_Roerdalen,Gemeenteraad Roerdalen 2018,1669,Roerdalen,2018-03-21,Stembureau Hotel-Restaurant Roerdalen,1669::SB2,6061 AG,1680,728,4,3,0,0,0,667,68,0,0,0,0,0,735,239,208,41,89,28,123
,Roerdalen,GR2018_Roerdalen,Gemeenteraad Roerdalen 2018,1669,Roerdalen,2018-03-21,Stembureau Woonzorgcentrum Bergh,1669::SB3,6077 BK,1400,817,3,4,0,0,0,757,67,0,0,0,0,0,824,324,159,106,57,105,66
,Roerdalen,GR2018_Roerdalen,Gemeenteraad Roerdalen 2018,1669,Roerdalen,2018-03-21,Stembureau MFC de Roerparel,1669::SB4,6077 CG,1435,708,5,4,0,0,0,636,81,0,0,0,0,0,717,255,158,85,61,96,53
,Roerdalen,GR2018_Roerdalen,Gemeenteraad Roerdalen 2018,1669,Roerdalen,2018-03-21,Stembureau Seniorenhof  De Vaert,1669::SB5,6065 CX,1263,718,4,5,0,0,0,650,79,0,0,2,0,0,729,194,255,48,117,39,65
,Roerdalen,GR2018_Roerdalen,Gemeenteraad Roerdalen 2018,1669,Roerdalen,2018-03-21,Stembureau Zaal onder de Kerk,1669::SB6,6065 AS,1299,770,6,5,0,0,0,674,107,0,0,0,0,0,781,196,195,66,191,43,79
,Roerdalen,GR2018_Roerdalen,Gemeenteraad Roerdalen 2018,1669,Roerdalen,2018-03-21,Stembureau Andreasheem,1669::SB7,6074 BB,1585,802,2,6,0,0,0,729,81,0,0,0,0,0,810,329,104,57,154,96,62
,Roerdalen,GR2018_Roerdalen,Gemeenteraad Roerdalen 2018,1669,Roerdalen,2018-03-21,Stembureau Apollohal,1669::SB8,6074 EH,1357,802,4,5,0,0,0,732,79,0,0,0,0,0,811,300,124,36,152,109,81
,Roerdalen,GR2018_Roerdalen,Gemeenteraad Roerdalen 2018,1669,Roerdalen,2018-03-21,Stembureau Brede School De Berensprong,1669::SB9,6075 CW,1781,895,6,4,0,0,0,813,92,0,0,0,0,0,905,206,71,246,217,88,67
,Roerdalen,GR2018_Roerdalen,Gemeenteraad Roerdalen 2018,1669,Roerdalen,2018-03-21,Stembureau Woonzorgcentrum Bosscherhof,1669::SB10,6075 HE,1761,938,8,4,0,0,0,857,93,0,0,0,0,0,950,187,114,249,262,56,70
,Roerdalen,GR2018_Roerdalen,Gemeenteraad Roerdalen 2018,1669,Roerdalen,2018-03-21,Stembureau Zaal Roerzicht,1669::SB11,6063 AL,1119,505,6,3,0,0,0,456,58,0,0,0,0,0,514,59,240,67,80,32,27
,Roerdalen,GR2018_Roerdalen,Gemeenteraad Roerdalen 2018,1669,Roerdalen,2018-03-21,Stembureau Basisschool St. Martinus,1669::SB12,6063 BW,893,446,5,1,0,0,0,399,53,0,0,0,0,0,452,67,204,46,85,22,22
