contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Leefbaar Schouwen-Duiveland,VVD,CDA,Staatkundig Gereformeerde Partij (SGP),SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Democraten 66 (D66),GROENLINKS
,Schouwen-Duiveland,GR2018_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2018,1676,Schouwen-Duiveland,2018-03-21,Stembureau Verpleeghuis Cornelia,1676::SB1,4301 NW,1096,704,3,2,0,0,0,638,71,0,0,0,0,0,709,131,115,131,48,54,31,52,45,97
,Schouwen-Duiveland,GR2018_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2018,1676,Schouwen-Duiveland,2018-03-21,Stembureau het Tonnenmagazijn,1676::SB2,4318 AC,1118,676,1,2,0,0,0,620,59,0,0,0,0,0,679,180,53,59,16,81,83,58,52,94
,Schouwen-Duiveland,GR2018_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2018,1676,Schouwen-Duiveland,2018-03-21,Stembureau Dorpshuis Dreischor,1676::SB3,4315 AA,799,529,5,5,0,0,0,500,39,0,0,0,0,0,539,115,89,40,30,63,29,24,39,100
,Schouwen-Duiveland,GR2018_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2018,1676,Schouwen-Duiveland,2018-03-21,Stembureau Dorpshuis Noordgouwe,1676::SB4,4317 BA,665,474,0,0,0,0,0,421,53,0,0,0,0,0,474,95,71,81,28,44,22,26,40,67
,Schouwen-Duiveland,GR2018_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2018,1676,Schouwen-Duiveland,2018-03-21,Stembureau Dorpshuis Zonnemaire,1676::SB5,4316 AB,632,434,1,1,0,0,0,394,42,0,0,0,0,0,436,112,68,45,21,56,27,25,31,49
,Schouwen-Duiveland,GR2018_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2018,1676,Schouwen-Duiveland,2018-03-21,Stembureau 't Durps'uus Bruinisse,1676::SB6,4311 ED,1501,1003,0,2,0,1,0,894,112,0,0,1,0,0,1006,240,153,206,205,33,44,42,40,40
,Schouwen-Duiveland,GR2018_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2018,1676,Schouwen-Duiveland,2018-03-21,Stembureau Hervormde Kerk,1676::SB7,4311 AS,1507,943,4,4,0,2,0,822,131,0,0,2,0,0,953,257,76,176,250,26,33,77,21,27
,Schouwen-Duiveland,GR2018_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2018,1676,Schouwen-Duiveland,2018-03-21,Stembureau Verenigingsgebouw Ons Dorpshuis,1676::SB8,4306 CA,946,716,1,0,0,0,0,632,85,0,0,0,0,0,717,128,53,64,322,17,18,57,14,43
,Schouwen-Duiveland,GR2018_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2018,1676,Schouwen-Duiveland,2018-03-21,Stembureau Woonservicecentrum Steenzwaenshof,1676::SB9,4306 CW,1044,690,1,4,0,0,0,630,65,0,0,0,0,0,695,112,62,93,180,43,36,71,44,49
,Schouwen-Duiveland,GR2018_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2018,1676,Schouwen-Duiveland,2018-03-21,Stembureau Dorpshuis Oosterland,1676::SB10,4307 AR,858,642,0,2,0,2,0,569,77,0,0,2,0,0,646,109,33,43,316,27,10,60,20,24
,Schouwen-Duiveland,GR2018_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2018,1676,Schouwen-Duiveland,2018-03-21,Stembureau De Saele,1676::SB11,4307 LL,926,540,1,2,0,2,0,484,61,0,0,2,0,0,545,96,29,44,250,26,17,41,12,25
,Schouwen-Duiveland,GR2018_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2018,1676,Schouwen-Duiveland,2018-03-21,Stembureau Dorpshuis Ouwerkerk,1676::SB12,4305 AH,496,368,1,1,0,0,0,338,33,1,0,1,0,0,371,119,56,21,14,46,30,31,26,25
,Schouwen-Duiveland,GR2018_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2018,1676,Schouwen-Duiveland,2018-03-21,Stembureau Verenigingsgebouw Sirjansland,1676::SB13,4308 AE,288,228,2,0,0,0,0,201,29,0,0,0,0,0,230,51,30,28,57,17,10,9,2,24
,Schouwen-Duiveland,GR2018_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2018,1676,Schouwen-Duiveland,2018-03-21,Stembureau Dorpshuis de Putmeet,1676::SB14,4322 BS,1094,678,1,5,0,0,0,619,65,0,0,0,0,0,684,140,79,57,30,132,50,34,66,90
,Schouwen-Duiveland,GR2018_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2018,1676,Schouwen-Duiveland,2018-03-21,Stembureau Dorpsuus Ellemeet,1676::SB15,4323 LE,296,196,0,0,0,0,0,176,20,0,0,0,0,0,196,54,25,18,3,16,19,12,28,21
,Schouwen-Duiveland,GR2018_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2018,1676,Schouwen-Duiveland,2018-03-21,Stembureau Dorpshuis 't Zuudende,1676::SB16,4321 AP,785,552,0,2,0,0,0,499,56,0,0,1,0,0,555,86,65,65,104,48,22,81,27,54
,Schouwen-Duiveland,GR2018_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2018,1676,Schouwen-Duiveland,2018-03-21,Stembureau Gereformeerde Kerk Haamstede,1676::SB18,4328 EA,1743,945,1,5,0,0,0,853,98,0,0,0,0,0,951,261,181,116,31,51,49,40,109,107
,Schouwen-Duiveland,GR2018_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2018,1676,Schouwen-Duiveland,2018-03-21,Stembureau De Schutse,1676::SB19,4328 AS,902,728,1,1,0,0,0,661,69,0,0,0,0,0,730,211,100,71,33,91,55,24,44,99
,Schouwen-Duiveland,GR2018_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2018,1676,Schouwen-Duiveland,2018-03-21,Stembureau Revasa,1676::SB20,4328 LJ,1023,710,6,3,0,0,0,650,69,0,0,0,0,0,719,201,123,64,16,49,34,44,72,107
,Schouwen-Duiveland,GR2018_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2018,1676,Schouwen-Duiveland,2018-03-21,Stembureau Dorpshuis Noordwelle,1676::SB21,4326 AE,275,177,0,0,0,0,0,158,19,0,0,0,0,0,177,56,26,13,2,19,8,18,13,22
,Schouwen-Duiveland,GR2018_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2018,1676,Schouwen-Duiveland,2018-03-21,Stembureau Dorpshuis Renesse,1676::SB22,4325 BX,1320,869,4,3,0,1,0,775,102,0,0,1,0,0,877,240,232,70,15,85,50,10,61,106
,Schouwen-Duiveland,GR2018_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2018,1676,Schouwen-Duiveland,2018-03-21,Stembureau Dorpshuis Serooskerke,1676::SB23,4327 AG,247,168,0,0,0,0,0,152,16,0,0,0,0,0,168,63,22,10,3,22,4,2,14,28
,Schouwen-Duiveland,GR2018_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2018,1676,Schouwen-Duiveland,2018-03-21,Stembureau Verenigingsgebouw Chr.Ger.Kerk,1676::SB24,4301 EZ,1148,674,2,4,0,0,0,618,62,0,0,0,0,0,680,103,65,100,49,73,55,69,47,113
,Schouwen-Duiveland,GR2018_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2018,1676,Schouwen-Duiveland,2018-03-21,Stembureau De Veste,1676::SB25,4301 BK,1090,657,2,0,0,0,0,565,94,0,0,0,0,0,659,99,56,106,15,75,85,37,67,117
,Schouwen-Duiveland,GR2018_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2018,1676,Schouwen-Duiveland,2018-03-21,Stembureau Zorgcentrum De Wieken,1676::SB26,4301 KB,964,726,3,4,0,0,0,658,75,0,0,0,0,0,733,105,84,165,46,64,40,48,63,111
,Schouwen-Duiveland,GR2018_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2018,1676,Schouwen-Duiveland,2018-03-21,Stembureau Appartementengebouw Valletta,1676::SB27,4301 LM,1258,648,3,3,0,0,0,609,45,0,0,0,0,0,654,96,43,99,60,93,70,43,44,100
,Schouwen-Duiveland,GR2018_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2018,1676,Schouwen-Duiveland,2018-03-21,Stembureau Zorgcentrum Borrendamme,1676::SB28,4301 VD,1739,1233,0,17,0,2,0,1120,128,0,2,0,0,0,1248,231,152,196,49,139,128,97,84,157
,Schouwen-Duiveland,GR2018_SchouwenDuiveland,Gemeenteraad Schouwen-Duiveland 2018,1676,Schouwen-Duiveland,2018-03-21,Stembureau Campus Cultura,1676::SB29,4301 XC,1864,1014,1,4,0,3,0,924,98,0,0,3,0,0,1022,220,68,111,36,156,103,66,69,185
