contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,SGP-ChristenUnie,Lokale Partij Borsele,Partij van de Arbeid (P.v.d.A.),VVD,Democraten 66 (D66),OPA Borsele
,Borsele,GR2018_Borsele,Gemeenteraad Borsele 2018,0654,Borsele,2018-03-21,Stembureau Heinkenszand (Trouwzaal),0654::SB1,4451 KB,1110,775,4,2,0,0,0,696,85,0,0,0,0,0,781,199,32,107,136,106,96,99
,Borsele,GR2018_Borsele,Gemeenteraad Borsele 2018,0654,Borsele,2018-03-21,Stembureau Heinkenszand (Raadzaal),0654::SB2,4451 KB,949,700,0,1,0,0,0,631,70,0,0,0,0,0,701,178,25,89,94,99,126,89
,Borsele,GR2018_Borsele,Gemeenteraad Borsele 2018,0654,Borsele,2018-03-21,Stembureau Heinkenszand (Dijkstede A),0654::SB3,4451 LA,1173,497,1,1,0,0,0,453,46,0,0,0,0,0,499,155,16,69,67,71,75,44
,Borsele,GR2018_Borsele,Gemeenteraad Borsele 2018,0654,Borsele,2018-03-21,Stembureau Heinkenszand (Dijkstede B),0654::SB4,4451 LA,1223,460,1,0,0,0,0,408,53,0,0,0,0,0,461,163,16,60,58,66,51,46
,Borsele,GR2018_Borsele,Gemeenteraad Borsele 2018,0654,Borsele,2018-03-21,Stembureau Lewedorp (A),0654::SB5,4456 AL,692,361,1,1,0,0,0,339,24,0,0,0,0,0,363,123,31,61,43,32,29,42
,Borsele,GR2018_Borsele,Gemeenteraad Borsele 2018,0654,Borsele,2018-03-21,Stembureau Nieuwdorp,0654::SB6,4455 TL,937,550,0,1,0,0,0,481,70,0,0,0,0,0,551,69,208,141,42,35,31,24
,Borsele,GR2018_Borsele,Gemeenteraad Borsele 2018,0654,Borsele,2018-03-21,Stembureau 's-Heerenhoek (Zaal A),0654::SB7,4453 BE,786,377,2,1,0,0,0,342,38,0,0,0,0,0,380,91,8,74,80,76,21,27
,Borsele,GR2018_Borsele,Gemeenteraad Borsele 2018,0654,Borsele,2018-03-21,Stembureau Borssele,0654::SB8,4454 AS,1022,684,2,2,0,1,0,625,64,0,0,1,0,0,689,48,421,84,41,32,39,19
,Borsele,GR2018_Borsele,Gemeenteraad Borsele 2018,0654,Borsele,2018-03-21,Stembureau Driewegen,0654::SB9,4438 AH,458,271,0,0,0,0,0,243,28,0,0,0,0,0,271,53,20,68,35,41,27,27
,Borsele,GR2018_Borsele,Gemeenteraad Borsele 2018,0654,Borsele,2018-03-21,Stembureau Ellewoutsdijk,0654::SB10,4437 AE,309,159,2,1,0,0,0,156,6,0,0,0,0,0,162,39,7,32,32,11,24,14
