contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),PVV (Partij voor de Vrijheid),Partij van de Arbeid (P.v.d.A.),Haagse Stadspartij,VVD,CDA,Groep de Mos / Hart voor Den Haag,SP (Socialistische Partij),GROENLINKS,Islam Democraten,Partij van de Eenheid,ChristenUnie-SGP,Partij voor de Dieren,14,50PLUS,NIDA,Dynamo Den Haag,Bond voor Studenten Actie,Haagse Toekomst,Samen070
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Duinhage Florence,0518::SB101,2566 AW,914,754,1,2,0,2,0,700,59,0,0,2,0,0,759,90,32,45,32,133,53,151,14,72,2,5,13,62,1,45,0,1,0,3,0
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Dalton Den Haag,0518::SB102,2555 GA,1397,1019,1,2,0,0,0,934,88,0,0,0,0,0,1022,132,36,58,67,224,43,187,17,133,1,0,26,63,0,28,0,3,0,1,0
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Inspecteur S. de Vriesschool,0518::SB103,2555 MA,1173,526,7,3,0,1,0,488,47,0,1,0,0,0,535,30,30,23,22,62,42,176,21,33,4,1,15,38,0,22,5,1,0,0,1
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Haags Centrum voor Onderwijsbegeleiding,0518::SB104,2554 EM,928,662,1,5,0,0,0,597,72,1,0,1,0,0,669,79,30,28,20,153,49,154,11,44,1,0,18,46,1,25,0,0,0,2,1
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Wijk- en dienstencentrum De Wiekslag,0518::SB105,2553 GR,1041,1114,3,1,0,3,0,1018,103,0,0,3,0,0,1121,90,72,54,60,151,90,338,24,78,2,1,32,64,2,44,0,1,3,6,2
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau WoonZorgPark Loosduinen,0518::SB106,2552 BR,1577,849,4,4,0,0,0,785,74,2,0,2,0,0,859,53,53,46,29,90,107,293,31,44,1,0,41,35,0,22,2,1,0,1,0
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Parnassia,0518::SB107,2553 RH,1954,846,0,3,0,0,0,747,102,0,0,0,0,0,849,82,31,48,37,206,75,157,17,76,0,1,27,59,5,19,2,1,2,1,0
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Stadsdeelkantoor Loosduinen,0518::SB109,2553 CV,2132,1370,6,16,0,9,0,1263,138,0,0,9,0,0,1401,83,121,76,58,124,103,442,53,98,15,12,53,63,5,40,14,1,0,1,8
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau HFCC Racing,0518::SB110,2544 EK,1889,409,1,2,0,0,0,363,49,0,0,0,0,0,412,35,28,18,9,91,20,122,8,17,4,1,6,19,1,24,2,0,2,2,0
,'s-Gravenhage,GR2018_sGravenhage,Gemeenteraad 's-Gravenhage 2018,0518,'s-Gravenhage,2018-03-21,Stembureau Koos Meindertsschool,0518::SB112,2552 HW,1407,633,3,5,0,2,0,570,69,0,2,0,0,0,639,42,38,32,20,81,46,216,21,44,4,2,21,22,1,30,8,1,0,1,3
