contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Politieke Partij DOE!,DeurneNU,VVD,CDA,PROGRESSIEF AKKOORD/GROENLINKS,Transparant Deurne,Partij van de Arbeid (P.v.d.A.)
,Deurne,GR2018_Deurne,Gemeenteraad Deurne 2018,0762,Deurne,2018-03-21,Stembureau Gemeentehuis 1,0762::SB1,5751 BE,2168,1478,4,8,0,2,0,1343,149,0,0,2,0,0,1492,441,151,214,177,191,228,76
,Deurne,GR2018_Deurne,Gemeenteraad Deurne 2018,0762,Deurne,2018-03-21,Stembureau Verzorgingshuis De Nieuwenhof,0762::SB2,5751 BL,1872,1030,5,3,0,0,0,908,130,0,0,0,0,0,1038,283,130,114,239,94,111,59
,Deurne,GR2018_Deurne,Gemeenteraad Deurne 2018,0762,Deurne,2018-03-21,Stembureau Wijkhuis D'n Houtenhoek,0762::SB3,5751 ES,2608,1139,10,4,0,0,0,1015,137,0,1,0,1,0,1152,349,141,130,167,142,138,72
,Deurne,GR2018_Deurne,Gemeenteraad Deurne 2018,0762,Deurne,2018-03-21,Stembureau Wijkcentrum De Heiakker,0762::SB4,5754 DV,1754,937,4,0,0,0,0,841,101,1,0,1,0,0,942,371,99,94,92,104,124,53
,Deurne,GR2018_Deurne,Gemeenteraad Deurne 2018,0762,Deurne,2018-03-21,Stembureau Gerardushuis,0762::SB5,5752 AP,1614,1066,6,0,0,0,0,950,122,0,0,0,0,0,1072,262,170,151,188,78,186,31
,Deurne,GR2018_Deurne,Gemeenteraad Deurne 2018,0762,Deurne,2018-03-21,Stembureau Openbare basisschool De Bron,0762::SB6,5751 WJ,1547,691,6,2,0,0,0,636,63,0,0,0,0,0,699,184,75,89,82,120,71,70
,Deurne,GR2018_Deurne,Gemeenteraad Deurne 2018,0762,Deurne,2018-03-21,Stembureau Hofke van Marijke,0762::SB7,5753 BE,1601,974,9,4,0,0,0,852,135,0,0,0,0,0,987,250,208,146,157,65,101,47
,Deurne,GR2018_Deurne,Gemeenteraad Deurne 2018,0762,Deurne,2018-03-21,Stembureau MFA 't Huis Vlierden,0762::SB8,5756 AM,1133,797,4,2,0,0,0,691,112,0,0,0,0,0,803,80,153,234,188,58,55,29
,Deurne,GR2018_Deurne,Gemeenteraad Deurne 2018,0762,Deurne,2018-03-21,Stembureau Peuterspeelzaal Op Stap De Piramide,0762::SB9,5751 VJ,1505,732,5,4,0,0,0,676,65,0,0,0,0,0,741,166,86,66,106,125,110,73
,Deurne,GR2018_Deurne,Gemeenteraad Deurne 2018,0762,Deurne,2018-03-21,Stembureau S.C.C. Den Draai,0762::SB10,5754 AV,2194,1337,5,3,0,0,0,1125,220,0,0,0,0,0,1345,209,211,146,452,114,145,60
,Deurne,GR2018_Deurne,Gemeenteraad Deurne 2018,0762,Deurne,2018-03-21,Stembureau Gemeenschapshuis De Kastanje,0762::SB11,5757 AP,1530,992,5,4,0,0,0,847,154,0,0,0,0,0,1001,105,288,281,150,70,68,30
,Deurne,GR2018_Deurne,Gemeenteraad Deurne 2018,0762,Deurne,2018-03-21,Stembureau Ontmoetingsruimte 'de Gasterij',0762::SB12,5757 DZ,1135,550,1,0,0,0,0,463,88,0,0,0,0,0,551,73,143,173,77,48,31,5
,Deurne,GR2018_Deurne,Gemeenteraad Deurne 2018,0762,Deurne,2018-03-21,Stembureau Gemeenschapshuis De Moost,0762::SB13,5758 RX,1484,892,1,1,0,0,0,767,127,0,0,0,0,0,894,106,422,115,170,32,27,20
,Deurne,GR2018_Deurne,Gemeenteraad Deurne 2018,0762,Deurne,2018-03-21,Stembureau Gemeenschapshuis De Gouden Helm,0762::SB14,5759 PA,780,450,3,0,0,0,0,401,52,0,0,0,0,0,453,118,222,23,56,15,11,5
,Deurne,GR2018_Deurne,Gemeenteraad Deurne 2018,0762,Deurne,2018-03-21,Stembureau Basisschool D'n Heiakker,0762::SB15,5754 DJ,1713,689,6,1,0,0,0,627,69,0,0,0,0,0,696,236,97,49,57,96,101,53
,Deurne,GR2018_Deurne,Gemeenteraad Deurne 2018,0762,Deurne,2018-03-21,Stembureau brede school d'n Bogerd,0762::SB16,5753 GN,1266,518,5,0,0,0,0,465,58,0,0,0,0,0,523,121,104,58,74,43,92,26
,Deurne,GR2018_Deurne,Gemeenteraad Deurne 2018,0762,Deurne,2018-03-21,Stembureau NS Station,0762::SB18,5751 JN,0,246,1,1,0,0,0,224,24,0,0,0,0,0,248,76,33,29,20,46,27,15
