contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Baarnse Onafhankelijke Partij (BOP),VVD,Democraten 66 (D66),CDA,GROENLINKS,Partij van de Arbeid (P.v.d.A.),LTS (Lijst Tinus Snyders),ChristenUnie-SGP,VoorBaarn
,Baarn,GR2018_Baarn,Gemeenteraad Baarn 2018,0308,Baarn,2018-03-21,Stembureau Gemeentehuis Baarn ing Laanstraat 1,0308::SB1,3743 BA,1565,1373,9,2,0,0,0,1250,137,0,0,3,0,3,1387,102,376,228,191,163,84,22,68,139
,Baarn,GR2018_Baarn,Gemeenteraad Baarn 2018,0308,Baarn,2018-03-21,Stembureau Basisschool De Uitkijck,0308::SB2,3742 RC,1701,882,2,1,0,1,0,808,76,0,1,0,0,0,884,75,170,141,112,101,76,9,67,131
,Baarn,GR2018_Baarn,Gemeenteraad Baarn 2018,0308,Baarn,2018-03-21,Stembureau Maria Koningin Kerk,0308::SB3,3742 XM,1330,767,1,3,0,0,0,703,68,0,0,0,0,0,771,99,88,81,112,129,64,8,57,129
,Baarn,GR2018_Baarn,Gemeenteraad Baarn 2018,0308,Baarn,2018-03-21,Stembureau Guido de Bresschool ing Maatkampweg,0308::SB4,3742 TG,1289,760,4,2,0,0,0,699,68,1,0,1,0,0,767,73,115,87,93,96,66,9,69,152
,Baarn,GR2018_Baarn,Gemeenteraad Baarn 2018,0308,Baarn,2018-03-21,Stembureau Gebouw De Pool,0308::SB5,3742 RL,1321,620,6,1,0,0,0,553,72,0,2,0,2,0,625,58,59,70,58,141,36,10,52,136
,Baarn,GR2018_Baarn,Gemeenteraad Baarn 2018,0308,Baarn,2018-03-21,Stembureau Gebouw Elan,0308::SB6,3742 SJ,1510,702,4,3,0,0,0,639,70,0,0,0,0,0,709,59,150,109,80,100,41,11,51,101
,Baarn,GR2018_Baarn,Gemeenteraad Baarn 2018,0308,Baarn,2018-03-21,Stembureau NS station,0308::SB7,3743 KM,1252,1177,2,3,0,2,0,1067,113,0,2,0,0,0,1180,82,419,164,159,119,65,17,67,85
,Baarn,GR2018_Baarn,Gemeenteraad Baarn 2018,0308,Baarn,2018-03-21,Stembureau Gebouw Brandpunt,0308::SB8,3743 KN,1279,791,1,3,2,0,0,707,90,0,0,2,0,0,797,82,269,133,99,79,28,15,33,53
,Baarn,GR2018_Baarn,Gemeenteraad Baarn 2018,0308,Baarn,2018-03-21,Stembureau Rest. Greenfield's ingang  Chopinln,0308::SB9,3741 GS,1882,926,2,4,0,0,0,841,91,0,0,0,0,0,932,77,296,126,143,72,56,9,71,76
,Baarn,GR2018_Baarn,Gemeenteraad Baarn 2018,0308,Baarn,2018-03-21,Stembureau Dorpshuis de Furs,0308::SB10,3749 AA,355,236,2,2,0,1,0,209,30,0,1,0,0,0,239,13,49,16,15,45,23,35,18,22
,Baarn,GR2018_Baarn,Gemeenteraad Baarn 2018,0308,Baarn,2018-03-21,Stembureau Verzorgingstehuis De Blinkert,0308::SB11,3741 BE,1457,796,4,8,0,8,8,747,61,0,0,8,0,0,816,94,138,90,113,98,49,18,67,129
,Baarn,GR2018_Baarn,Gemeenteraad Baarn 2018,0308,Baarn,2018-03-21,Stembureau Brandweerkazerne,0308::SB12,3741 WE,1668,1070,8,3,0,0,0,994,87,0,0,0,0,0,1081,86,243,162,88,154,98,13,58,168
,Baarn,GR2018_Baarn,Gemeenteraad Baarn 2018,0308,Baarn,2018-03-21,Stembureau Woon- en zorgcentrum Santvoorde,0308::SB13,3741 VJ,1570,779,7,2,0,2,0,727,63,0,0,2,0,0,790,88,100,122,110,79,69,19,61,131
,Baarn,GR2018_Baarn,Gemeenteraad Baarn 2018,0308,Baarn,2018-03-21,Stembureau De Speeldoos,0308::SB14,3741 TA,1436,1043,4,1,0,0,0,952,96,0,0,0,0,0,1048,81,181,160,167,155,88,20,55,136
