contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Leefbaar Ridderkerk,Staatkundig Gereformeerde Partij (SGP),Echt voor Ridderkerk (EVR),CDA,Partij van de Arbeid (P.v.d.A.),ChristenUnie,VVD,Partij 18PLUS,Democraten 66 (D66),GROENLINKS,Burger op 1
,Ridderkerk,GR2018_Ridderkerk,Gemeenteraad Ridderkerk 2018,0597,Ridderkerk,2018-03-21,Stembureau Gemeentehuis,0597::SB1,2981 EA,1205,979,5,4,0,0,0,890,99,1,0,1,0,0,989,91,108,108,84,121,80,55,188,43,72,29
,Ridderkerk,GR2018_Ridderkerk,Gemeenteraad Ridderkerk 2018,0597,Ridderkerk,2018-03-21,Stembureau Sint Jorisparochie,0597::SB2,2982 PE,1091,453,3,3,0,0,0,417,42,0,0,0,0,0,459,43,47,58,41,59,29,14,102,15,26,19
,Ridderkerk,GR2018_Ridderkerk,Gemeenteraad Ridderkerk 2018,0597,Ridderkerk,2018-03-21,Stembureau Oudheidkamer,0597::SB3,2981 EH,1029,376,1,0,0,0,0,325,52,0,0,0,0,0,377,23,83,25,37,31,53,23,58,11,21,11
,Ridderkerk,GR2018_Ridderkerk,Gemeenteraad Ridderkerk 2018,0597,Ridderkerk,2018-03-21,Stembureau Gasterij de Ontmoeting,0597::SB4,2982 BD,1241,878,7,2,0,0,0,804,83,0,0,0,0,0,887,66,177,150,106,97,60,34,108,24,17,39
,Ridderkerk,GR2018_Ridderkerk,Gemeenteraad Ridderkerk 2018,0597,Ridderkerk,2018-03-21,Stembureau Kantine HV Saturnus,0597::SB5,2982 CM,1275,400,0,0,0,0,0,352,48,0,0,0,0,0,400,40,54,59,45,33,29,20,65,23,18,14
,Ridderkerk,GR2018_Ridderkerk,Gemeenteraad Ridderkerk 2018,0597,Ridderkerk,2018-03-21,Stembureau Kerk de Levensbron,0597::SB6,2985 BV,1257,856,1,0,0,0,0,766,89,0,2,0,2,0,855,61,152,106,96,58,101,59,113,46,30,34
,Ridderkerk,GR2018_Ridderkerk,Gemeenteraad Ridderkerk 2018,0597,Ridderkerk,2018-03-21,Stembureau OBS de Noord,0597::SB7,2985 XB,1441,656,1,0,1,0,0,579,79,0,0,1,0,0,658,77,69,89,63,107,41,19,106,27,36,22
,Ridderkerk,GR2018_Ridderkerk,Gemeenteraad Ridderkerk 2018,0597,Ridderkerk,2018-03-21,Stembureau CBS de Wingerd,0597::SB8,2985 BC,1682,1130,2,4,0,0,0,1020,115,0,1,0,0,0,1135,86,209,164,99,81,109,79,179,37,30,57
,Ridderkerk,GR2018_Ridderkerk,Gemeenteraad Ridderkerk 2018,0597,Ridderkerk,2018-03-21,Stembureau Wilhelminakerk,0597::SB9,2983 SH,1567,547,3,2,0,0,0,504,48,0,0,0,0,0,552,48,72,41,53,46,45,32,144,29,22,15
,Ridderkerk,GR2018_Ridderkerk,Gemeenteraad Ridderkerk 2018,0597,Ridderkerk,2018-03-21,Stembureau CBS de Driemaster,0597::SB10,2983 AL,1017,553,0,1,0,0,0,485,69,0,0,0,0,0,554,39,94,48,41,36,98,40,90,41,19,7
,Ridderkerk,GR2018_Ridderkerk,Gemeenteraad Ridderkerk 2018,0597,Ridderkerk,2018-03-21,Stembureau Muziekvereniging Harmonie Slikkerveer,0597::SB11,2983 CL,1204,934,2,0,0,0,0,848,88,0,0,0,0,0,936,71,126,93,81,90,84,50,201,45,55,38
,Ridderkerk,GR2018_Ridderkerk,Gemeenteraad Ridderkerk 2018,0597,Ridderkerk,2018-03-21,Stembureau Irenekerk,0597::SB12,2983 GV,1160,844,2,2,0,0,0,764,88,4,0,4,0,0,852,70,135,53,69,59,87,81,188,53,32,17
,Ridderkerk,GR2018_Ridderkerk,Gemeenteraad Ridderkerk 2018,0597,Ridderkerk,2018-03-21,Stembureau Boezemkerk,0597::SB13,2987 AK,1496,414,2,0,2,0,0,377,37,0,2,0,0,0,414,52,40,50,26,42,28,31,85,11,29,20
,Ridderkerk,GR2018_Ridderkerk,Gemeenteraad Ridderkerk 2018,0597,Ridderkerk,2018-03-21,Stembureau WVC Bolnes,0597::SB14,2987 CR,1863,1004,5,6,0,0,0,928,84,0,3,0,0,0,1012,154,66,118,88,115,57,91,167,42,70,36
,Ridderkerk,GR2018_Ridderkerk,Gemeenteraad Ridderkerk 2018,0597,Ridderkerk,2018-03-21,Stembureau Sporthal de Beverbol,0597::SB15,2987 CA,1591,837,1,10,0,0,0,770,79,0,0,1,0,0,849,91,48,158,41,126,55,39,150,38,53,38
,Ridderkerk,GR2018_Ridderkerk,Gemeenteraad Ridderkerk 2018,0597,Ridderkerk,2018-03-21,Stembureau Kerk Bolnes,0597::SB16,2987 AK,1508,743,6,1,1,0,0,677,72,0,1,0,0,0,749,86,39,114,73,74,39,73,126,45,39,35
,Ridderkerk,GR2018_Ridderkerk,Gemeenteraad Ridderkerk 2018,0597,Ridderkerk,2018-03-21,Stembureau De Korenbloem,0597::SB17,2989 AW,519,317,2,0,0,0,0,275,44,0,0,0,0,0,319,14,114,22,19,20,26,27,23,12,10,30
,Ridderkerk,GR2018_Ridderkerk,Gemeenteraad Ridderkerk 2018,0597,Ridderkerk,2018-03-21,Stembureau Dislocatie de Klimop,0597::SB18,2988 XD,1003,639,0,1,0,0,0,570,70,0,0,0,0,0,640,27,108,101,93,40,55,46,71,23,23,52
,Ridderkerk,GR2018_Ridderkerk,Gemeenteraad Ridderkerk 2018,0597,Ridderkerk,2018-03-21,Stembureau Kerk Rijsoord,0597::SB19,2988 BA,1350,830,1,1,0,0,0,731,101,0,0,0,0,0,832,27,167,189,63,42,99,65,61,33,14,70
,Ridderkerk,GR2018_Ridderkerk,Gemeenteraad Ridderkerk 2018,0597,Ridderkerk,2018-03-21,Stembureau CBS de Bongerd,0597::SB20,2986 CA,1537,812,1,1,0,4,0,730,88,0,0,4,0,0,818,85,71,129,75,85,53,46,157,44,40,27
,Ridderkerk,GR2018_Ridderkerk,Gemeenteraad Ridderkerk 2018,0597,Ridderkerk,2018-03-21,Stembureau Sionskerk,0597::SB21,2984 BW,449,137,0,0,0,0,0,123,14,0,0,0,0,0,137,11,25,18,12,8,6,13,27,9,8,0
,Ridderkerk,GR2018_Ridderkerk,Gemeenteraad Ridderkerk 2018,0597,Ridderkerk,2018-03-21,Stembureau WZC Reijerheem,0597::SB22,2986 GB,1076,514,2,4,0,0,0,482,38,0,0,0,0,0,520,62,40,77,45,84,41,13,103,10,20,19
,Ridderkerk,GR2018_Ridderkerk,Gemeenteraad Ridderkerk 2018,0597,Ridderkerk,2018-03-21,Stembureau Verpleeghuis Salem,0597::SB23,2986 AZ,1178,685,2,1,0,0,0,654,34,0,0,0,0,0,688,75,146,74,48,66,70,34,91,20,17,44
,Ridderkerk,GR2018_Ridderkerk,Gemeenteraad Ridderkerk 2018,0597,Ridderkerk,2018-03-21,Stembureau 't Ronde Sant,0597::SB24,2984 GK,1650,1149,2,1,0,0,0,1017,135,0,0,0,0,0,1152,127,104,170,115,115,80,76,226,54,55,27
,Ridderkerk,GR2018_Ridderkerk,Gemeenteraad Ridderkerk 2018,0597,Ridderkerk,2018-03-21,Stembureau OBS de Piramide,0597::SB25,2981 AJ,1154,586,2,1,0,0,0,506,83,0,0,0,0,0,589,38,149,64,43,52,50,22,96,25,28,19
,Ridderkerk,GR2018_Ridderkerk,Gemeenteraad Ridderkerk 2018,0597,Ridderkerk,2018-03-21,Stembureau Christus is Koningkerk,0597::SB26,2983 HK,1614,861,3,3,0,0,0,867,0,0,0,0,0,0,867,63,152,74,79,82,101,52,164,22,41,31
,Ridderkerk,GR2018_Ridderkerk,Gemeenteraad Ridderkerk 2018,0597,Ridderkerk,2018-03-21,Stembureau Ichthuskerk,0597::SB27,2986 GH,2884,1525,7,3,0,1,0,1357,177,0,1,0,0,0,1534,134,150,261,140,150,144,111,205,61,75,94
,Ridderkerk,GR2018_Ridderkerk,Gemeenteraad Ridderkerk 2018,0597,Ridderkerk,2018-03-21,Stembureau De Klimop,0597::SB28,2982 VN,1209,493,4,0,0,0,0,445,52,0,0,0,0,0,497,35,81,54,61,42,46,28,87,18,21,20
