contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Roosendaalse Lijst,CDA,SP (Socialistische Partij),VRIJE LIBERALE PARTIJ (V.L.P.),VVD,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),Nieuwe Democraten (ND),GROENLINKS,Pleijdooi Voor Cultuur (PVC),ChristenUnie
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,Stembureau Parrotia,1674::SB1,4701 PA,1383,929,2,4,0,0,0,845,90,0,0,0,0,0,935,188,80,64,125,191,59,45,36,91,20,30
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,"Stembureau Centrum voor de Kunsten, de Suite",1674::SB2,4701 EK,1804,780,4,8,0,0,0,710,82,0,0,0,0,0,792,184,85,55,115,106,49,41,27,84,10,24
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,Stembureau Buurthuis Keijenburg,1674::SB3,4702 CG,1667,771,4,3,0,0,0,701,77,0,0,0,0,0,778,127,72,72,193,89,44,56,26,68,9,15
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,Stembureau Recreatiezaal Mimosaflat,1674::SB4,4702 BR,1670,692,3,4,0,0,0,628,71,0,0,0,0,0,699,109,63,76,198,84,25,41,13,55,4,24
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,"Stembureau Zoomvliet College, ingang Doctor Schaepmanlaan",1674::SB5,4702 GN,1656,646,2,5,0,0,0,598,55,0,0,0,0,0,653,120,58,55,116,50,36,58,48,85,3,17
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,Stembureau Wiekendael,1674::SB6,4702 ZB,1476,521,4,5,0,0,0,472,57,0,1,0,1,0,529,87,50,70,86,67,36,26,19,61,4,15
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,"Stembureau Buurtcentrum Kalsdonk, ingang Rector Hellemonsstraat",1674::SB7,4702 NS,2128,723,0,9,0,0,0,628,108,0,0,0,0,0,736,110,66,56,120,56,33,81,81,99,4,17
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,"Stembureau Buurtcentrum Kalsdonk, ingang Rector Hellemonsstraat",1674::SB8,4702 NS,1975,654,3,11,0,1,0,569,100,0,0,1,0,0,669,111,33,61,102,51,29,72,60,108,8,19
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,Stembureau St. Elisabeth ingang Wouwseweg 21,1674::SB9,4703 AK,1620,772,2,2,0,0,0,696,81,0,0,0,0,0,777,151,119,61,166,82,34,37,26,68,8,20
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,Stembureau Huis van de Westrand,1674::SB10,4703 HX,1623,410,1,5,0,0,0,370,46,0,0,0,0,0,416,88,29,45,76,45,15,43,26,33,2,8
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,Stembureau Kellebeek College,1674::SB11,4704 AD,1536,284,0,3,0,0,0,264,23,0,0,0,0,0,287,52,29,27,49,36,22,27,10,22,3,7
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,Stembureau Appartementencomplex Waterland,1674::SB12,4707 DC,1758,682,2,2,0,0,0,629,58,0,0,0,0,0,687,150,100,48,135,107,23,42,23,37,4,13
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,Stembureau De Brink,1674::SB13,4707 HP,1278,692,0,4,0,0,0,624,73,1,0,1,0,0,697,179,83,60,117,47,38,50,25,68,0,25
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,Stembureau De Wildenborch ingang Genestetlaan,1674::SB14,4707 LT,1417,571,0,3,0,0,0,524,50,0,0,0,0,0,574,136,85,67,95,40,29,39,11,52,3,14
,Roosendaal,GR2018_Roosendaal,Gemeenteraad Roosendaal 2018,1674,Roosendaal,2018-03-21,Stembureau De Watermolen,1674::SB15,4707 JE,1491,526,1,6,0,0,0,474,59,0,0,0,0,0,533,85,75,63,77,57,30,45,20,61,0,13
