contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Eijsden Margraten Lokaal (PGE-M & SVM),Partij van de Arbeid (P.v.d.A.),VVD,Democraten 66 (D66),GROENLINKS
,Eijsden-Margraten,GR2018_EijsdenMargraten,Gemeenteraad Eijsden-Margraten 2018,1903,Eijsden-Margraten,2018-03-21,Stembureau Gemeenschapshuis Bemelen,1903::SB1,6268 NE,484,332,2,2,0,0,0,300,36,0,0,0,0,0,336,102,91,14,32,42,51
,Eijsden-Margraten,GR2018_EijsdenMargraten,Gemeenteraad Eijsden-Margraten 2018,1903,Eijsden-Margraten,2018-03-21,Stembureau Harmoniezaal Banholt,1903::SB2,6262 NX,833,609,0,0,0,0,0,533,76,0,0,0,0,0,609,338,153,34,25,21,38
,Eijsden-Margraten,GR2018_EijsdenMargraten,Gemeenteraad Eijsden-Margraten 2018,1903,Eijsden-Margraten,2018-03-21,Stembureau Harmoniezaal Mheer,1903::SB3,6261 NH,760,572,5,1,0,0,0,510,68,0,0,0,0,0,578,319,70,67,29,24,63
,Eijsden-Margraten,GR2018_EijsdenMargraten,Gemeenteraad Eijsden-Margraten 2018,1903,Eijsden-Margraten,2018-03-21,Stembureau Paviljoen Berggalm,1903::SB4,6255 AH,911,630,3,1,0,0,0,556,77,0,1,0,1,0,633,358,66,36,60,37,73
,Eijsden-Margraten,GR2018_EijsdenMargraten,Gemeenteraad Eijsden-Margraten 2018,1903,Eijsden-Margraten,2018-03-21,Stembureau Fanfarezaal,1903::SB5,6265 AK,1160,848,1,1,0,0,0,726,124,0,0,0,0,0,850,479,186,34,39,34,76
,Eijsden-Margraten,GR2018_EijsdenMargraten,Gemeenteraad Eijsden-Margraten 2018,1903,Eijsden-Margraten,2018-03-21,Stembureau Harmoniezaal Eckelrade,1903::SB6,6251 NB,578,385,7,2,0,0,0,337,57,0,0,0,0,0,394,119,88,21,47,62,48
,Eijsden-Margraten,GR2018_EijsdenMargraten,Gemeenteraad Eijsden-Margraten 2018,1903,Eijsden-Margraten,2018-03-21,Stembureau Gemeenschapshuis Scheulder,1903::SB7,6307 PC,280,210,0,1,0,0,0,192,19,0,0,0,0,0,211,93,47,24,21,9,16
,Eijsden-Margraten,GR2018_EijsdenMargraten,Gemeenteraad Eijsden-Margraten 2018,1903,Eijsden-Margraten,2018-03-21,Stembureau Zaal-café Riékelt,1903::SB8,6247 AN,554,344,2,0,0,0,0,313,33,0,0,0,0,0,346,101,119,30,65,8,21
,Eijsden-Margraten,GR2018_EijsdenMargraten,Gemeenteraad Eijsden-Margraten 2018,1903,Eijsden-Margraten,2018-03-21,Stembureau Feesthoeve De Laathof,1903::SB9,6245 KK,352,264,0,0,0,0,0,233,31,0,0,0,0,0,264,87,101,19,23,8,26
,Eijsden-Margraten,GR2018_EijsdenMargraten,Gemeenteraad Eijsden-Margraten 2018,1903,Eijsden-Margraten,2018-03-21,Stembureau Gemeentehuis,1903::SB10,6269 DA,3093,2170,12,11,0,0,1,1907,285,0,0,0,0,0,2193,795,538,403,217,91,126
,Eijsden-Margraten,GR2018_EijsdenMargraten,Gemeenteraad Eijsden-Margraten 2018,1903,Eijsden-Margraten,2018-03-21,Stembureau 't Keerhoes,1903::SB11,6267 CG,2833,1714,6,0,0,0,0,1526,194,0,0,0,0,0,1720,695,474,77,141,132,195
,Eijsden-Margraten,GR2018_EijsdenMargraten,Gemeenteraad Eijsden-Margraten 2018,1903,Eijsden-Margraten,2018-03-21,Stembureau M.F.A. Gronsveld,1903::SB12,6247 CM,1957,1091,5,3,0,0,0,989,111,1,0,1,0,0,1100,267,330,116,241,45,92
,Eijsden-Margraten,GR2018_EijsdenMargraten,Gemeenteraad Eijsden-Margraten 2018,1903,Eijsden-Margraten,2018-03-21,Stembureau Brede School Op de Cour,1903::SB13,6245 RE,2033,1046,14,2,0,0,0,937,125,0,0,0,0,0,1062,249,448,46,115,82,106
,Eijsden-Margraten,GR2018_EijsdenMargraten,Gemeenteraad Eijsden-Margraten 2018,1903,Eijsden-Margraten,2018-03-21,Stembureau Basisschool St. Jozef,1903::SB14,6245 LN,758,523,3,0,0,0,0,436,90,0,0,0,0,0,526,285,125,28,18,15,52
,Eijsden-Margraten,GR2018_EijsdenMargraten,Gemeenteraad Eijsden-Margraten 2018,1903,Eijsden-Margraten,2018-03-21,Stembureau Cultureel Centrum,1903::SB15,6245 EG,1933,1319,1,1,0,1,0,1169,153,0,0,1,0,0,1322,356,504,77,208,66,108
,Eijsden-Margraten,GR2018_EijsdenMargraten,Gemeenteraad Eijsden-Margraten 2018,1903,Eijsden-Margraten,2018-03-21,Stembureau Zaal K.O.H.,1903::SB16,6245 BH,2444,1298,4,9,0,0,0,1136,175,0,0,0,0,0,1311,281,593,79,166,87,92
