contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Gemeentebelangen,Partij van de Arbeid (P.v.d.A.),Protestants Christelijke Groepering,Democraten 66 (D66),CDA,Partij voor de Dieren
,Buren,GR2018_Buren,Gemeenteraad Buren 2018,0214,Buren,2018-03-21,Stembureau Verzorgingshuis Oranjehof,0214::SB1,4116 DJ,1367,844,5,1,0,0,0,769,81,0,0,0,0,0,850,158,229,133,51,74,118,81
,Buren,GR2018_Buren,Gemeenteraad Buren 2018,0214,Buren,2018-03-21,Stembureau Dorpshuis  Erichem,0214::SB2,4117 GJ,1343,691,2,0,0,1,0,630,62,0,1,0,0,0,692,151,193,77,53,52,84,81
,Buren,GR2018_Buren,Gemeenteraad Buren 2018,0214,Buren,2018-03-21,Stembureau Dorpshuis  't Ecksternest,0214::SB3,4024 HM,1362,748,4,0,0,1,0,668,85,0,0,1,0,0,753,147,276,52,79,55,57,82
,Buren,GR2018_Buren,Gemeenteraad Buren 2018,0214,Buren,2018-03-21,Stembureau Dorpshuis De Hoekenburg Rijswijk,0214::SB4,4023 AV,408,267,0,0,0,0,0,235,32,0,0,0,0,0,267,34,136,13,3,29,20,32
,Buren,GR2018_Buren,Gemeenteraad Buren 2018,0214,Buren,2018-03-21,Stembureau Dorpshuis De Rozenhoek Ravenswaaij,0214::SB5,4119 LW,434,301,1,0,0,0,0,251,51,0,0,0,0,0,302,62,109,24,14,27,34,31
,Buren,GR2018_Buren,Gemeenteraad Buren 2018,0214,Buren,2018-03-21,Stembureau Dorpshuis Kerk-Avezaath,0214::SB6,4012 BC,1132,730,1,1,0,0,0,667,65,0,0,0,0,0,732,145,243,82,27,60,88,85
,Buren,GR2018_Buren,Gemeenteraad Buren 2018,0214,Buren,2018-03-21,Stembureau Dorpshuis de Oude School Zoelen,0214::SB7,4011 EM,1326,752,0,2,0,0,0,663,91,0,0,0,0,0,754,148,264,109,39,54,56,82
,Buren,GR2018_Buren,Gemeenteraad Buren 2018,0214,Buren,2018-03-21,Stembureau Dorpshuis 't Zoetzand  Beusichem,0214::SB8,4112 JL,1399,896,4,1,0,1,0,815,87,0,0,1,0,0,902,271,216,88,79,85,74,83
,Buren,GR2018_Buren,Gemeenteraad Buren 2018,0214,Buren,2018-03-21,Stembureau Gemeentehuis Maurik,0214::SB9,4021 VZ,1652,821,1,1,0,0,0,732,91,0,0,0,0,0,823,167,373,74,48,52,57,50
,Buren,GR2018_Buren,Gemeenteraad Buren 2018,0214,Buren,2018-03-21,Stembureau O.b.s. de Klepper,0214::SB10,4111 LD,770,412,1,2,0,0,0,374,41,0,0,0,0,0,415,96,98,61,26,61,22,48
,Buren,GR2018_Buren,Gemeenteraad Buren 2018,0214,Buren,2018-03-21,Stembureau Het Gildehuis,0214::SB11,4033 GP,1872,1094,1,4,0,0,0,961,138,0,0,0,0,0,1099,147,386,82,330,27,54,68
,Buren,GR2018_Buren,Gemeenteraad Buren 2018,0214,Buren,2018-03-21,Stembureau Verzorgingshuis de Valentijn Maurik,0214::SB12,4021 HN,1773,829,4,2,0,1,0,747,89,0,0,1,0,0,836,159,372,105,44,40,65,44
,Buren,GR2018_Buren,Gemeenteraad Buren 2018,0214,Buren,2018-03-21,Stembureau Meentschool Ommeren,0214::SB13,4032 NA,1475,805,1,0,0,0,0,685,121,0,0,0,0,0,806,147,317,42,169,24,52,54
,Buren,GR2018_Buren,Gemeenteraad Buren 2018,0214,Buren,2018-03-21,Stembureau O.b.s. Prins Willem-Alexander,0214::SB14,4112 JT,827,478,3,0,0,0,0,435,46,0,0,0,0,0,481,141,129,66,22,34,36,50
,Buren,GR2018_Buren,Gemeenteraad Buren 2018,0214,Buren,2018-03-21,Stembureau Dorpshuis Asch,0214::SB15,4115 RT,311,185,1,1,0,0,0,164,23,0,0,0,0,0,187,37,52,21,14,17,15,29
,Buren,GR2018_Buren,Gemeenteraad Buren 2018,0214,Buren,2018-03-21,"Stembureau Dorpshuis ""In de Gaard"" Ingen",0214::SB16,4031 MB,1719,899,0,1,0,0,0,819,81,0,0,0,0,0,900,157,357,92,96,48,48,101
,Buren,GR2018_Buren,Gemeenteraad Buren 2018,0214,Buren,2018-03-21,Stembureau Zaal Torenzicht Lienden,0214::SB17,4033 EC,1807,992,1,1,0,3,0,860,131,0,3,0,0,0,991,99,297,101,362,27,48,58
