contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,CDA,LOKAAL BELANG,Democraten 66 (D66),GROENLINKS
,Brummen,GR2018_Brummen,Gemeenteraad Brummen 2018,0213,Brummen,2018-03-21,Stembureau Gemeentehuis,0213::SB1,6971 BV,1516,1008,5,7,0,0,0,940,80,0,0,0,0,0,1020,112,244,145,229,106,172
,Brummen,GR2018_Brummen,Gemeenteraad Brummen 2018,0213,Brummen,2018-03-21,Stembureau Woonzorgcentrum Tolzicht,0213::SB2,6971 CC,1348,715,9,2,0,0,0,674,52,0,0,0,0,0,726,102,119,123,183,58,130
,Brummen,GR2018_Brummen,Gemeenteraad Brummen 2018,0213,Brummen,2018-03-21,"Stembureau Seniorencomplex ""de Molenhorst""",0213::SB3,6971 CV,1381,619,7,5,0,0,0,610,21,0,0,0,0,0,631,94,86,83,191,68,97
,Brummen,GR2018_Brummen,Gemeenteraad Brummen 2018,0213,Brummen,2018-03-21,Stembureau Kindcentrum Het P@rk,0213::SB4,6971 CN,1120,691,4,2,0,0,0,647,50,0,0,0,0,0,697,113,102,77,186,70,143
,Brummen,GR2018_Brummen,Gemeenteraad Brummen 2018,0213,Brummen,2018-03-21,Stembureau Het Buurthuis Leuvenheim,0213::SB5,6974 AH,547,350,2,0,0,0,0,324,28,0,0,0,0,0,352,37,79,60,49,26,99
,Brummen,GR2018_Brummen,Gemeenteraad Brummen 2018,0213,Brummen,2018-03-21,"Stembureau Buitengewoon Kinderopvang, Oeken",0213::SB6,6971 KC,456,328,1,2,0,0,0,312,20,1,0,1,0,0,332,58,82,47,40,34,67
,Brummen,GR2018_Brummen,Gemeenteraad Brummen 2018,0213,Brummen,2018-03-21,"Stembureau Basisschool J.H. Isings, Empe",0213::SB7,7399 AG,729,419,5,0,0,0,0,383,41,0,0,0,0,0,424,31,110,80,59,92,47
,Brummen,GR2018_Brummen,Gemeenteraad Brummen 2018,0213,Brummen,2018-03-21,"Stembureau Gemeenschapshuis De Wheme, Hall",0213::SB8,6964 AA,757,470,0,1,0,0,0,436,35,0,0,0,0,0,471,40,83,98,146,27,76
,Brummen,GR2018_Brummen,Gemeenteraad Brummen 2018,0213,Brummen,2018-03-21,"Stembureau Woonzorgcentrum De Beekwal, Eerbeek",0213::SB9,6961 DZ,1513,835,3,2,0,2,0,758,85,1,0,3,0,0,843,152,181,140,159,88,115
,Brummen,GR2018_Brummen,Gemeenteraad Brummen 2018,0213,Brummen,2018-03-21,Stembureau Bibliotheek Eerbeek,0213::SB10,6961 EA,1511,701,7,2,0,0,0,661,49,0,0,0,0,0,710,92,128,102,161,113,105
,Brummen,GR2018_Brummen,Gemeenteraad Brummen 2018,0213,Brummen,2018-03-21,Stembureau Pater Dekkerhuis,0213::SB11,6961 XL,896,470,3,5,0,0,0,455,23,0,0,0,0,0,478,127,97,63,91,47,45
,Brummen,GR2018_Brummen,Gemeenteraad Brummen 2018,0213,Brummen,2018-03-21,"Stembureau Servicepunt, Eerbeek",0213::SB12,6961 CW,1527,626,3,4,0,0,0,596,37,0,0,0,0,0,633,133,95,99,159,55,85
,Brummen,GR2018_Brummen,Gemeenteraad Brummen 2018,0213,Brummen,2018-03-21,Stembureau Rode Kruis Gebouw,0213::SB13,6961 AB,1672,872,3,3,0,0,0,800,78,0,0,0,0,0,878,151,199,120,212,91,99
,Brummen,GR2018_Brummen,Gemeenteraad Brummen 2018,0213,Brummen,2018-03-21,"Stembureau Basisschool De Enk, Eerbeek",0213::SB14,6961 XB,966,496,3,1,0,0,0,472,28,0,0,0,0,0,500,83,115,105,109,46,38
,Brummen,GR2018_Brummen,Gemeenteraad Brummen 2018,0213,Brummen,2018-03-21,Stembureau Verrij Wonen,0213::SB15,6971 GW,1071,562,6,2,0,0,0,533,37,0,0,0,0,0,570,99,126,68,125,40,104
