contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,LIJST HARRY BAKKER,Combinatie Algemeen Belang,VVD,Groen Drimmelen (VP/D66),CDA,Partij van de Arbeid (P.v.d.A.),Gemeentebelangen
,Drimmelen,GR2018_Drimmelen,Gemeenteraad Drimmelen 2018,1719,Drimmelen,2018-03-21,"Stembureau Gemeentehuis, Park 1 Made",1719::SB1,4921 BV,1778,1116,13,5,0,0,0,1017,117,0,0,0,0,0,1134,268,107,299,198,92,71,81
,Drimmelen,GR2018_Drimmelen,Gemeenteraad Drimmelen 2018,1719,Drimmelen,2018-03-21,"Stembureau Cultureel Centrum De Mayboom, Kerkstraat 10 Made",1719::SB2,4921 BB ,2063,1226,4,3,0,0,0,1094,139,0,0,0,0,0,1233,259,125,322,191,131,107,91
,Drimmelen,GR2018_Drimmelen,Gemeenteraad Drimmelen 2018,1719,Drimmelen,2018-03-21,"Stembureau Zorgcentrum De Wijngaerd, Cyclaamstraat 2A Made",1719::SB3,4921 JC,1788,972,6,2,0,0,0,892,88,0,0,0,0,0,980,270,86,208,182,80,73,73
,Drimmelen,GR2018_Drimmelen,Gemeenteraad Drimmelen 2018,1719,Drimmelen,2018-03-21,"Stembureau De Duinpan, Romboutsstraat 78 Made",1719::SB4,4921 EJ,1516,585,2,2,0,0,0,528,61,0,0,0,0,0,589,159,70,137,90,43,36,50
,Drimmelen,GR2018_Drimmelen,Gemeenteraad Drimmelen 2018,1719,Drimmelen,2018-03-21,"Stembureau Sporthal de Amerhal, Lignestraat 56 Made",1719::SB5,4921 EV,1625,771,1,4,0,0,0,705,71,0,0,0,0,0,776,222,79,158,100,76,76,60
,Drimmelen,GR2018_Drimmelen,Gemeenteraad Drimmelen 2018,1719,Drimmelen,2018-03-21,"Stembureau Basisschool De Stuifhoek, Norbartstraat 55 Made",1719::SB6,4921 EB,1194,498,3,1,0,0,0,433,68,0,1,0,1,0,501,146,62,86,94,48,35,27
,Drimmelen,GR2018_Drimmelen,Gemeenteraad Drimmelen 2018,1719,Drimmelen,2018-03-21,"Stembureau Ons Dorpshuys, 't Fort 1 Drimmelen",1719::SB7,4924 ER,552,339,6,0,0,0,0,297,48,0,0,0,0,0,345,69,21,115,68,42,11,13
,Drimmelen,GR2018_Drimmelen,Gemeenteraad Drimmelen 2018,1719,Drimmelen,2018-03-21,"Stembureau Ontmoetingscentrum De Zonzeel, Poolsestraat 13 Hooge Zwaluwe",1719::SB8,4927 BD,1401,794,4,2,0,0,0,706,94,0,0,0,0,0,800,158,235,156,92,64,22,67
,Drimmelen,GR2018_Drimmelen,Gemeenteraad Drimmelen 2018,1719,Drimmelen,2018-03-21,"Stembureau Zorgcentrum De Ganshoek, Ds Jamesstraat 18 Lage Zwaluwe",1719::SB9,4926 BK,1706,988,3,4,0,0,0,913,82,0,0,0,0,0,995,82,508,120,79,87,87,25
,Drimmelen,GR2018_Drimmelen,Gemeenteraad Drimmelen 2018,1719,Drimmelen,2018-03-21,"Stembureau Jeugdhuis Ons Belang, Kerkstraat 47 Lage Zwaluwe",1719::SB10,4926 CV,1564,937,2,1,0,0,0,830,110,0,0,0,0,0,940,35,557,169,65,45,54,12
,Drimmelen,GR2018_Drimmelen,Gemeenteraad Drimmelen 2018,1719,Drimmelen,2018-03-21,"Stembureau Gemeenschapshuis Plexat, Kerkstraat 22 Wagenberg",1719::SB11,4845 ED,1771,1018,5,2,0,0,0,936,89,0,0,0,0,0,1025,385,79,192,120,74,66,102
,Drimmelen,GR2018_Drimmelen,Gemeenteraad Drimmelen 2018,1719,Drimmelen,2018-03-21,"Stembureau Verzorgingstehuis Antonius Abt, Dorpsplein 1 Terheijden",1719::SB12,4844 CM,1766,1118,0,0,0,0,0,1012,106,0,0,0,0,0,1118,672,44,127,159,62,45,9
,Drimmelen,GR2018_Drimmelen,Gemeenteraad Drimmelen 2018,1719,Drimmelen,2018-03-21,"Stembureau Basisschool De Zeggewijzer, Biezelaar 59 Terheijden",1719::SB13,4844 RD,1845,1071,6,3,0,0,0,992,88,0,0,0,0,0,1080,622,54,109,165,67,39,15
,Drimmelen,GR2018_Drimmelen,Gemeenteraad Drimmelen 2018,1719,Drimmelen,2018-03-21,"Stembureau Basisschool De Windhoek, Abtslaan 15 Terheijden",1719::SB14,4844 SL,1512,784,1,0,0,0,0,702,83,0,0,0,0,0,785,496,35,72,93,53,25,10
