contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Kernachtig Druten,Welzijn Druten,Dorpslijst Puiflijk/Druten-Zuid,Dorpslijst Afferden,Dorpslijst Deest,Dorpslijst Horssen,Sociaal Maas en Waal,CDA
,Druten,GR2018_Druten,Gemeenteraad Druten 2018,0225,Druten,2018-03-21,Stembureau Gemeentehuis,0225::SB1,6651 DA,1360,1061,9,2,0,0,0,970,102,0,0,0,0,0,1072,563,168,133,18,10,8,85,76
,Druten,GR2018_Druten,Gemeenteraad Druten 2018,0225,Druten,2018-03-21,Stembureau 's Heeren Loo,0225::SB2,6651 AM,1480,459,5,1,0,0,0,434,31,0,0,0,0,0,465,224,66,48,14,6,8,55,38
,Druten,GR2018_Druten,Gemeenteraad Druten 2018,0225,Druten,2018-03-21,Stembureau Bondsgebouw,0225::SB3,6651 AL,1491,1211,12,2,0,0,0,1084,141,0,0,0,0,0,1225,764,154,66,20,4,11,124,68
,Druten,GR2018_Druten,Gemeenteraad Druten 2018,0225,Druten,2018-03-21,"Stembureau Wijkcentrum ""De Doorkijk""",0225::SB4,6651 HZ,1463,832,6,7,0,0,0,763,82,0,0,0,0,0,845,174,190,334,5,2,4,95,28
,Druten,GR2018_Druten,Gemeenteraad Druten 2018,0225,Druten,2018-03-21,Stembureau Kulturhus De Meent,0225::SB5,6654 BX,1327,926,2,1,0,0,0,817,112,0,0,0,0,0,929,83,14,4,759,3,2,32,29
,Druten,GR2018_Druten,Gemeenteraad Druten 2018,0225,Druten,2018-03-21,Stembureau Dorpshuis 't Trefpunt,0225::SB6,6653 BJ,1487,827,3,0,0,0,0,754,76,0,0,0,0,0,830,32,10,7,6,684,1,48,39
,Druten,GR2018_Druten,Gemeenteraad Druten 2018,0225,Druten,2018-03-21,Stembureau Dorpshuis De Lier,0225::SB7,6655 AC,1665,964,1,8,0,0,0,884,89,0,0,0,0,0,973,152,63,583,5,3,3,98,57
,Druten,GR2018_Druten,Gemeenteraad Druten 2018,0225,Druten,2018-03-21,Stembureau Dorpshuis Horssen,0225::SB8,6631 AT,1314,913,1,0,0,0,0,795,119,0,0,0,0,0,914,44,9,13,1,0,664,88,94
,Druten,GR2018_Druten,Gemeenteraad Druten 2018,0225,Druten,2018-03-21,Stembureau Basisschool De Appelhof,0225::SB9,6652 BE,1618,1035,4,4,0,0,0,916,127,0,0,0,0,0,1043,336,157,379,7,5,4,109,38
,Druten,GR2018_Druten,Gemeenteraad Druten 2018,0225,Druten,2018-03-21,Stembureau D'n Bogerd,0225::SB10,6651 KH,1653,489,3,0,0,0,0,432,60,0,0,0,1,0,492,253,75,75,9,4,6,47,20
