contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Burgerbelangen Bodegraven-Reeuwijk,CDA,VVD,Staatkundig Gereformeerde Partij (SGP),ChristenUnie,Democraten 66 (D66),GROENLINKS,Partij van de Arbeid (P.v.d.A.)
,Bodegraven-Reeuwijk,GR2018_BodegravenReeuwijk,Gemeenteraad Bodegraven-Reeuwijk 2018,1901,Bodegraven-Reeuwijk,2018-03-21,Stembureau Gemeentehuis,1901::SB1,2411 BD,2061,1573,13,6,0,0,0,1428,164,0,0,0,0,0,1592,245,349,384,152,133,68,164,78
,Bodegraven-Reeuwijk,GR2018_BodegravenReeuwijk,Gemeenteraad Bodegraven-Reeuwijk 2018,1901,Bodegraven-Reeuwijk,2018-03-21,Stembureau 'Vijverhof',1901::SB2,2411 AP,1936,836,5,0,0,0,0,758,83,0,0,0,0,0,841,140,213,161,101,79,30,60,52
,Bodegraven-Reeuwijk,GR2018_BodegravenReeuwijk,Gemeenteraad Bodegraven-Reeuwijk 2018,1901,Bodegraven-Reeuwijk,2018-03-21,Stembureau bij Everts,1901::SB3,2411 CV,1642,1107,2,5,0,0,0,1006,108,0,0,0,0,0,1114,178,197,243,138,128,57,110,56
,Bodegraven-Reeuwijk,GR2018_BodegravenReeuwijk,Gemeenteraad Bodegraven-Reeuwijk 2018,1901,Bodegraven-Reeuwijk,2018-03-21,Stembureau Parochiehuis,1901::SB4,2411 DS,1541,772,1,1,0,1,0,706,69,0,0,1,0,0,775,124,196,215,70,54,24,57,32
,Bodegraven-Reeuwijk,GR2018_BodegravenReeuwijk,Gemeenteraad Bodegraven-Reeuwijk 2018,1901,Bodegraven-Reeuwijk,2018-03-21,Stembureau Dienstencentrum 'Rijngaarde',1901::SB5,2411 EV,1547,1092,6,1,0,0,0,1017,82,0,0,0,0,0,1099,159,288,201,125,115,51,95,58
,Bodegraven-Reeuwijk,GR2018_BodegravenReeuwijk,Gemeenteraad Bodegraven-Reeuwijk 2018,1901,Bodegraven-Reeuwijk,2018-03-21,Stembureau Voetbalvereniging ESTO,1901::SB6,2411 LL,1505,729,4,0,0,0,0,654,79,0,0,0,0,0,733,101,149,167,90,86,27,62,47
,Bodegraven-Reeuwijk,GR2018_BodegravenReeuwijk,Gemeenteraad Bodegraven-Reeuwijk 2018,1901,Bodegraven-Reeuwijk,2018-03-21,Stembureau Goede Herderschool,1901::SB7,2411 JL,1973,738,3,7,0,0,0,663,85,0,0,0,0,0,748,106,124,137,117,88,35,82,49
,Bodegraven-Reeuwijk,GR2018_BodegravenReeuwijk,Gemeenteraad Bodegraven-Reeuwijk 2018,1901,Bodegraven-Reeuwijk,2018-03-21,Stembureau sporthal 'De Sporthoeve',1901::SB8,2411 LG,1593,1316,9,2,0,0,0,1204,123,0,0,0,0,0,1327,209,262,287,132,113,65,156,92
,Bodegraven-Reeuwijk,GR2018_BodegravenReeuwijk,Gemeenteraad Bodegraven-Reeuwijk 2018,1901,Bodegraven-Reeuwijk,2018-03-21,Stembureau 'Hollandse Boerderij',1901::SB9,2411 PK,312,207,1,1,0,0,0,185,24,0,0,0,0,0,209,19,105,17,10,4,14,30,8
,Bodegraven-Reeuwijk,GR2018_BodegravenReeuwijk,Gemeenteraad Bodegraven-Reeuwijk 2018,1901,Bodegraven-Reeuwijk,2018-03-21,Stembureau 't Wierickehuis,1901::SB10,2415 AW,1370,781,0,2,0,0,0,694,89,0,0,0,0,0,783,88,348,103,70,51,52,47,22
