contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,ChristenUnie,Gemeentebelangen Dantumadiel,FNP,Staatkundig Gereformeerde Partij (SGP),Sociaal Links,VVD
,Dantumadiel,GR2018_Dantumadiel,Gemeenteraad Dantumadiel 2018,1891,Dantumadiel,2018-03-21,Stembureau Gemeentehuis,1891::SB1,9104 BR,1236,1024,10,4,0,0,0,920,117,0,1,0,1,0,1037,340,180,184,81,68,123,48
,Dantumadiel,GR2018_Dantumadiel,Gemeenteraad Dantumadiel 2018,1891,Dantumadiel,2018-03-21,Stembureau Gebouw Irene,1891::SB2,9104 GK,1681,773,0,0,0,1,0,772,0,0,1,0,0,0,772,265,137,102,38,97,109,25
,Dantumadiel,GR2018_Dantumadiel,Gemeenteraad Dantumadiel 2018,1891,Dantumadiel,2018-03-21,Stembureau Dorpshuis De Nije Warf,1891::SB3,9113 PA,1459,890,1,0,0,0,0,770,121,0,0,0,0,0,891,254,199,125,30,165,76,41
,Dantumadiel,GR2018_Dantumadiel,Gemeenteraad Dantumadiel 2018,1891,Dantumadiel,2018-03-21,Stembureau Nij Tjaerda,1891::SB4,9104 KA,1460,791,0,0,0,0,0,693,98,0,0,0,0,0,791,225,134,152,51,69,132,28
,Dantumadiel,GR2018_Dantumadiel,Gemeenteraad Dantumadiel 2018,1891,Dantumadiel,2018-03-21,Stembureau MFC  De Beijer,1891::SB5,9105 KG,902,535,3,1,0,0,0,481,58,0,0,0,0,0,539,239,63,75,68,19,50,21
,Dantumadiel,GR2018_Dantumadiel,Gemeenteraad Dantumadiel 2018,1891,Dantumadiel,2018-03-21,Stembureau Herberge De Trochreed,1891::SB6,9067 DM,153,126,1,1,0,0,0,108,20,0,0,0,0,0,128,41,6,25,13,0,26,15
,Dantumadiel,GR2018_Dantumadiel,Gemeenteraad Dantumadiel 2018,1891,Dantumadiel,2018-03-21,Stembureau Dorpshuis  De Pipegael,1891::SB7,9108 NE,1109,684,0,5,1,0,0,632,56,0,1,0,0,0,688,316,112,95,31,45,53,32
,Dantumadiel,GR2018_Dantumadiel,Gemeenteraad Dantumadiel 2018,1891,Dantumadiel,2018-03-21,Stembureau Kerkelijk Centrum De Mienskip,1891::SB8,9269 SW,1488,775,1,2,0,3,0,726,49,0,3,0,0,0,775,187,79,133,55,31,240,50
,Dantumadiel,GR2018_Dantumadiel,Gemeenteraad Dantumadiel 2018,1891,Dantumadiel,2018-03-21,Stembureau Zorgcentrum Talma Hoeve,1891::SB9,9269 VS,1348,831,2,0,0,0,0,768,65,0,0,0,0,0,833,222,86,122,61,15,229,96
,Dantumadiel,GR2018_Dantumadiel,Gemeenteraad Dantumadiel 2018,1891,Dantumadiel,2018-03-21,Stembureau Zorgcentrum Brugchelencamp,1891::SB10,9271 EP,1333,625,4,2,0,0,0,567,64,0,0,0,0,0,631,94,95,172,64,29,155,16
,Dantumadiel,GR2018_Dantumadiel,Gemeenteraad Dantumadiel 2018,1891,Dantumadiel,2018-03-21,Stembureau Lokaal Chr.Geref. kerk,1891::SB11,9271 CH,1548,674,0,5,0,0,0,590,89,0,0,0,0,0,679,107,102,194,83,25,132,31
,Dantumadiel,GR2018_Dantumadiel,Gemeenteraad Dantumadiel 2018,1891,Dantumadiel,2018-03-21,Stembureau Lokaal Rotondekerk,1891::SB12,9271 BV,1167,585,2,1,0,0,0,524,64,0,0,0,0,0,588,151,81,144,38,37,108,26
