contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Jongeren Akkoord Nederweert (J.A.N.),VVD,Nederweert Anders,Democraten 66 (D66)
,Nederweert,GR2018_Nederweert,Gemeenteraad Nederweert 2018,0946,Nederweert,2018-03-21,Stembureau Gemeentehuis,0946::SB1,6031VR,2221,1595,12,6,0,1,0,1455,159,0,0,1,0,0,1614,407,490,164,343,191
,Nederweert,GR2018_Nederweert,Gemeenteraad Nederweert 2018,0946,Nederweert,2018-03-21,Stembureau Zorgcentrum St. Joseph,0946::SB2,6031 BL,1768,837,8,3,0,0,0,747,101,0,0,0,0,0,848,229,282,71,174,81
,Nederweert,GR2018_Nederweert,Gemeenteraad Nederweert 2018,0946,Nederweert,2018-03-21,Stembureau Basisschool De Kerneel,0946::SB3,6031 HR,1714,847,3,2,0,0,0,760,92,0,0,0,0,0,852,212,303,69,167,96
,Nederweert,GR2018_Nederweert,Gemeenteraad Nederweert 2018,0946,Nederweert,2018-03-21,Stembureau Gemeenschapshuis De Pinnenhof,0946::SB4,6031 BX,1232,809,2,2,0,0,0,722,92,1,0,1,0,1,814,174,282,59,204,90
,Nederweert,GR2018_Nederweert,Gemeenteraad Nederweert 2018,0946,Nederweert,2018-03-21,Stembureau Gemeenschapshuis Pestoeërskoel,0946::SB5,6091 PD,867,570,0,0,0,0,0,506,64,0,0,0,0,0,570,366,60,38,89,17
,Nederweert,GR2018_Nederweert,Gemeenteraad Nederweert 2018,0946,Nederweert,2018-03-21,Stembureau Kerkelijke voorziening Budschop,0946::SB6,6031 BD,1529,899,3,2,0,0,0,820,84,0,0,0,0,0,904,315,252,94,124,114
,Nederweert,GR2018_Nederweert,Gemeenteraad Nederweert 2018,0946,Nederweert,2018-03-21,Stembureau Stichting M.F.A. Haaze-hoof,0946::SB7,6035 AS,1279,735,4,1,0,0,0,665,75,0,0,0,0,0,740,392,180,39,76,48
,Nederweert,GR2018_Nederweert,Gemeenteraad Nederweert 2018,0946,Nederweert,2018-03-21,Stembureau Basisschool De Schrank,0946::SB8,6035 BD,1463,809,3,4,0,0,0,706,110,0,0,0,0,0,816,419,211,57,88,34
,Nederweert,GR2018_Nederweert,Gemeenteraad Nederweert 2018,0946,Nederweert,2018-03-21,Stembureau Thomashuis Ospeldijk,0946::SB9,6035 RB,611,294,2,0,0,0,0,296,0,0,0,0,0,0,296,156,50,32,41,15
,Nederweert,GR2018_Nederweert,Gemeenteraad Nederweert 2018,0946,Nederweert,2018-03-21,Stembureau Gemeenschapshuis Reigershorst,0946::SB10,6034 TE,1268,852,5,5,0,0,0,767,95,0,0,0,0,0,862,434,154,41,95,128
