contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Weesper Stads Partij (WSP),Democraten 66 (D66),GROENLINKS,Partij van de Arbeid (P.v.d.A.),CDA,VVD,7,Partij van de Ouderen (PVDO)
,Weesp,GR2018_Weesp,Gemeenteraad Weesp 2018,0457,Weesp,2018-03-21,Stembureau Stadskantoor,0457::SB1,1381 BD,1407,1417,7,10,0,0,0,1304,130,0,0,0,0,0,1434,404,189,326,78,212,146,33,29
,Weesp,GR2018_Weesp,Gemeenteraad Weesp 2018,0457,Weesp,2018-03-21,Stembureau Gebouw Papelaan 99,0457::SB2,1382 RK,1646,884,15,6,0,0,0,833,72,0,0,0,0,0,905,288,81,135,101,129,100,32,18
,Weesp,GR2018_Weesp,Gemeenteraad Weesp 2018,0457,Weesp,2018-03-21,Stembureau De Hogeweyk,0457::SB3,1382 GV,1861,743,12,6,0,0,0,685,75,0,1,0,1,0,760,239,69,124,65,124,89,14,19
,Weesp,GR2018_Weesp,Gemeenteraad Weesp 2018,0457,Weesp,2018-03-21,Stembureau Vechtstede college,0457::SB4,1381 CD,1841,1081,14,15,0,0,0,990,120,0,0,0,0,0,1110,318,89,103,137,218,168,20,28
,Weesp,GR2018_Weesp,Gemeenteraad Weesp 2018,0457,Weesp,2018-03-21,Stembureau Brede school Kors Breijer,0457::SB5,1382 RP,1601,690,4,1,0,0,0,627,68,0,0,0,0,0,695,200,78,97,93,122,71,17,12
,Weesp,GR2018_Weesp,Gemeenteraad Weesp 2018,0457,Weesp,2018-03-21,Stembureau Verzorgingshuis Oversingel,0457::SB6,1381 DE,1171,842,7,3,0,0,0,780,72,0,0,0,0,0,852,247,76,134,56,198,78,23,30
,Weesp,GR2018_Weesp,Gemeenteraad Weesp 2018,0457,Weesp,2018-03-21,Stembureau Sporth. Aetsveld,0457::SB7,1383 ED,1472,983,6,2,0,1,0,904,88,0,0,1,0,0,992,283,74,125,72,196,177,33,23
,Weesp,GR2018_Weesp,Gemeenteraad Weesp 2018,0457,Weesp,2018-03-21,Stembureau Sporthal Aetsveld,0457::SB8,1383 ED,1453,855,4,3,0,9,0,799,72,0,0,9,0,0,871,289,59,120,54,196,113,4,20
,Weesp,GR2018_Weesp,Gemeenteraad Weesp 2018,0457,Weesp,2018-03-21,Stembureau Brandweerkazerne,0457::SB9,1381 CZ,1292,950,3,1,0,0,0,856,98,0,0,0,0,0,954,285,73,146,47,189,133,41,36
,Weesp,GR2018_Weesp,Gemeenteraad Weesp 2018,0457,Weesp,2018-03-21,Stembureau Svala Auto Weesp,0457::SB10,1382 LE,1421,940,8,3,0,0,0,850,102,1,0,1,0,0,952,264,147,143,62,143,157,17,7
