contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Gemeenschapslijst,HOI Werkt,VVD,CDA
,Hilvarenbeek,GR2018_Hilvarenbeek,Gemeenteraad Hilvarenbeek 2018,0798,Hilvarenbeek,2018-03-21,Stembureau Gemeentehuis,0798::SB1,5081 CA,1152,1035,7,6,0,0,0,962,87,1,0,1,0,0,1049,168,521,216,130
,Hilvarenbeek,GR2018_Hilvarenbeek,Gemeenteraad Hilvarenbeek 2018,0798,Hilvarenbeek,2018-03-21,Stembureau Hotel Brabant Hilvarenbeek,0798::SB2,5081 AG,1057,578,3,1,0,0,0,536,46,0,0,0,0,0,582,110,255,151,62
,Hilvarenbeek,GR2018_Hilvarenbeek,Gemeenteraad Hilvarenbeek 2018,0798,Hilvarenbeek,2018-03-21,Stembureau Zorgcentrum De Clossenborch,0798::SB3,5081 JV,1145,668,2,3,0,1,0,616,59,0,0,2,0,0,675,180,269,112,107
,Hilvarenbeek,GR2018_Hilvarenbeek,Gemeenteraad Hilvarenbeek 2018,0798,Hilvarenbeek,2018-03-21,Stembureau Cafe-Zaal Schuttershof Esbeek,0798::SB4,5085 EG,978,639,5,2,0,0,0,594,52,0,0,0,0,0,646,220,199,82,138
,Hilvarenbeek,GR2018_Hilvarenbeek,Gemeenteraad Hilvarenbeek 2018,0798,Hilvarenbeek,2018-03-21,Stembureau Coöperatie Biest-Houtakker u.a.,0798::SB5,5084 HG,849,534,6,0,0,0,0,489,51,0,0,0,0,0,540,212,119,42,161
,Hilvarenbeek,GR2018_Hilvarenbeek,Gemeenteraad Hilvarenbeek 2018,0798,Hilvarenbeek,2018-03-21,Stembureau Basisschool Starrebos,0798::SB6,5081 VH,1864,1200,4,2,0,0,0,1088,118,0,0,0,0,0,1206,267,557,208,168
,Hilvarenbeek,GR2018_Hilvarenbeek,Gemeenteraad Hilvarenbeek 2018,0798,Hilvarenbeek,2018-03-21,Stembureau Basisschool De Doelakkers,0798::SB7,5081 XM,1605,860,5,1,0,0,0,784,82,0,0,0,0,0,866,156,479,155,70
,Hilvarenbeek,GR2018_Hilvarenbeek,Gemeenteraad Hilvarenbeek 2018,0798,Hilvarenbeek,2018-03-21,Stembureau Restaria De Zwaan Diessen,0798::SB8,5087 BA,1409,765,2,1,0,1,0,767,2,0,0,1,0,0,769,221,228,170,146
,Hilvarenbeek,GR2018_Hilvarenbeek,Gemeenteraad Hilvarenbeek 2018,0798,Hilvarenbeek,2018-03-21,Stembureau Zaal Den Horst Haghorst,0798::SB9,5089 NK,715,487,0,1,0,0,0,434,54,0,0,0,0,0,488,220,95,58,114
,Hilvarenbeek,GR2018_Hilvarenbeek,Gemeenteraad Hilvarenbeek 2018,0798,Hilvarenbeek,2018-03-21,Stembureau Partycentrum  Hercules Diessen,0798::SB10,5087 BJ,1579,995,5,3,0,0,0,903,100,0,0,0,0,0,1003,249,313,172,261
