contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,GemeenteBelangen,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),PWF Progressief West-Friesland,PW 2010,ChristenUnie,GROENLINKS,BAMM
,Medemblik,GR2018_Medemblik,Gemeenteraad Medemblik 2018,0420,Medemblik,2018-03-21,Stembureau Wapen van Medemblik,0420::SB1,1671 AA,1731,946,3,3,0,0,0,861,91,0,0,0,0,0,952,96,292,197,38,144,114,7,8,43,7
,Medemblik,GR2018_Medemblik,Gemeenteraad Medemblik 2018,0420,Medemblik,2018-03-21,Stembureau Woonzorgcomplex Valbrug,0420::SB2,1671 CT,1536,780,3,3,0,3,0,723,66,0,0,3,0,0,789,128,197,190,29,107,73,5,15,28,8
,Medemblik,GR2018_Medemblik,Gemeenteraad Medemblik 2018,0420,Medemblik,2018-03-21,Stembureau Sporthal De Muiter,0420::SB4,1671 JA,1730,969,5,0,0,2,0,845,127,0,2,0,0,0,972,196,251,163,32,99,123,9,38,40,18
,Medemblik,GR2018_Medemblik,Gemeenteraad Medemblik 2018,0420,Medemblik,2018-03-21,Stembureau OBS de Meridiaan,0420::SB5,1671 JZ,1709,540,8,3,0,0,0,504,47,0,0,0,0,0,551,67,119,125,23,81,62,3,12,41,7
,Medemblik,GR2018_Medemblik,Gemeenteraad Medemblik 2018,0420,Medemblik,2018-03-21,Stembureau Woonzorgcentrum Koggenlandhuis,0420::SB6,1679 VH,1822,895,2,5,0,2,0,846,58,0,0,2,0,0,904,120,173,177,109,88,83,28,21,91,5
,Medemblik,GR2018_Medemblik,Gemeenteraad Medemblik 2018,0420,Medemblik,2018-03-21,Stembureau Wijksteunpunt Woudrust,0420::SB7,1678 GA,715,381,0,2,0,0,0,359,24,0,0,0,0,0,383,35,75,59,47,34,67,5,4,47,8
,Medemblik,GR2018_Medemblik,Gemeenteraad Medemblik 2018,0420,Medemblik,2018-03-21,Stembureau Dorpshuis  De Werf,0420::SB8,1691 EC,618,360,3,2,0,0,0,339,25,0,1,0,0,0,364,41,61,90,46,20,58,5,6,26,7
,Medemblik,GR2018_Medemblik,Gemeenteraad Medemblik 2018,0420,Medemblik,2018-03-21,Stembureau Dorpshuis De Vang,0420::SB9,1654 KB,1325,711,4,2,0,0,0,653,64,0,0,0,0,0,717,121,134,208,43,103,33,9,5,53,2
,Medemblik,GR2018_Medemblik,Gemeenteraad Medemblik 2018,0420,Medemblik,2018-03-21,Stembureau Dorpshuis De Nieuwe Haven,0420::SB10,1657 AH,1838,1075,1,2,0,2,0,984,96,0,0,2,0,0,1080,75,189,621,19,43,41,14,12,53,8
,Medemblik,GR2018_Medemblik,Gemeenteraad Medemblik 2018,0420,Medemblik,2018-03-21,Stembureau Dorpshuis Twisk,0420::SB11,1676 GG,838,503,4,2,0,0,0,460,49,0,0,0,0,0,509,30,138,139,31,31,36,5,21,58,14
