contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Plaatselijke Politieke Alliantie (PPA),DorpsGoed,De Gestelse Coalitie,CDA,Democraten 66 (D66),VVD,Partij van de Arbeid (P.v.d.A.),GROENLINKS
,Sint-Michielsgestel,GR2018_SintMichielsgestel,Gemeenteraad Sint-Michielsgestel 2018,0845,Sint-Michielsgestel,2018-03-21,Stembureau Zorgcentrum De Beemden,0845::SB1,5271 BH,1581,724,4,2,0,0,0,672,58,0,0,0,0,0,730,109,55,217,170,54,39,34,46
,Sint-Michielsgestel,GR2018_SintMichielsgestel,Gemeenteraad Sint-Michielsgestel 2018,0845,Sint-Michielsgestel,2018-03-21,Stembureau BINT voor welzijn & ondersteuning,0845::SB2,5271 SG,1373,717,5,1,0,0,0,640,83,0,0,0,0,0,723,107,51,205,125,80,62,32,55
,Sint-Michielsgestel,GR2018_SintMichielsgestel,Gemeenteraad Sint-Michielsgestel 2018,0845,Sint-Michielsgestel,2018-03-21,Stembureau Party's & Meetings Absoluut,0845::SB3,5271 AL,1561,886,6,7,0,0,0,806,93,0,0,0,0,0,899,144,81,247,132,82,79,41,80
,Sint-Michielsgestel,GR2018_SintMichielsgestel,Gemeenteraad Sint-Michielsgestel 2018,0845,Sint-Michielsgestel,2018-03-21,Stembureau Gemeentehuis,0845::SB4,5271 GC,1088,926,5,4,0,0,0,833,102,0,0,0,0,0,935,130,90,233,170,99,63,39,102
,Sint-Michielsgestel,GR2018_SintMichielsgestel,Gemeenteraad Sint-Michielsgestel 2018,0845,Sint-Michielsgestel,2018-03-21,Stembureau De Huif,0845::SB5,5271 GT,1124,614,3,1,0,0,0,564,54,0,0,0,0,0,618,89,39,202,110,44,41,36,53
,Sint-Michielsgestel,GR2018_SintMichielsgestel,Gemeenteraad Sint-Michielsgestel 2018,0845,Sint-Michielsgestel,2018-03-21,Stembureau Sporthal Theereheide,0845::SB6,5271 RR,1365,819,0,1,0,0,0,728,92,0,0,0,0,0,820,127,71,168,157,117,106,36,37
,Sint-Michielsgestel,GR2018_SintMichielsgestel,Gemeenteraad Sint-Michielsgestel 2018,0845,Sint-Michielsgestel,2018-03-21,Stembureau Café Zaal de Schuif,0845::SB7,5293 AN,1740,888,7,2,0,0,0,785,112,0,0,0,0,0,897,82,70,39,444,56,70,51,76
,Sint-Michielsgestel,GR2018_SintMichielsgestel,Gemeenteraad Sint-Michielsgestel 2018,0845,Sint-Michielsgestel,2018-03-21,Stembureau Café 't Trefpunt,0845::SB8,5275 JC,1812,823,1,0,0,0,0,719,105,0,0,0,0,0,824,309,254,25,105,31,38,26,35
,Sint-Michielsgestel,GR2018_SintMichielsgestel,Gemeenteraad Sint-Michielsgestel 2018,0845,Sint-Michielsgestel,2018-03-21,Stembureau Herberg De Kieppekooi,0845::SB9,5275 HA,1577,582,2,1,0,0,0,521,64,0,0,0,0,0,585,143,190,18,128,23,33,13,34
,Sint-Michielsgestel,GR2018_SintMichielsgestel,Gemeenteraad Sint-Michielsgestel 2018,0845,Sint-Michielsgestel,2018-03-21,Stembureau Litserborg,0845::SB10,5275 BV,1797,1426,5,7,0,0,0,1307,131,0,0,0,0,0,1438,349,560,49,229,67,70,36,66
,Sint-Michielsgestel,GR2018_SintMichielsgestel,Gemeenteraad Sint-Michielsgestel 2018,0845,Sint-Michielsgestel,2018-03-21,Stembureau Vivent Berlerode,0845::SB11,5258 HH,1629,667,3,3,0,0,0,620,53,0,0,0,0,0,673,351,37,6,118,24,39,57,35
,Sint-Michielsgestel,GR2018_SintMichielsgestel,Gemeenteraad Sint-Michielsgestel 2018,0845,Sint-Michielsgestel,2018-03-21,Stembureau Basisschool Theresia,0845::SB12,5258 AG,1639,1058,1,0,0,0,0,960,99,0,0,0,0,0,1059,454,53,8,169,102,109,93,70
,Sint-Michielsgestel,GR2018_SintMichielsgestel,Gemeenteraad Sint-Michielsgestel 2018,0845,Sint-Michielsgestel,2018-03-21,Stembureau Herberg De Gouden Leeuw,0845::SB13,5258 BE,1385,464,3,1,0,0,0,426,42,0,0,0,0,0,468,214,12,6,71,34,39,61,27
,Sint-Michielsgestel,GR2018_SintMichielsgestel,Gemeenteraad Sint-Michielsgestel 2018,0845,Sint-Michielsgestel,2018-03-21,Stembureau Den Durpsherd,0845::SB14,5258 KB,1588,1406,1,2,0,0,0,1271,138,0,0,0,0,0,1409,705,91,11,189,85,123,105,97
,Sint-Michielsgestel,GR2018_SintMichielsgestel,Gemeenteraad Sint-Michielsgestel 2018,0845,Sint-Michielsgestel,2018-03-21,Stembureau De Moerkoal,0845::SB15,5258 LE,1430,755,3,2,0,0,0,700,60,0,0,0,0,0,760,340,34,12,130,41,84,73,41
