contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Lokale Partij Bergeijk,GROENLINKS//Partij van de Arbeid,VVD
,Bergeijk,GR2018_Bergeijk,Gemeenteraad Bergeijk 2018,1724,Bergeijk,2018-03-21,Stembureau Gemeentehuis,1724::SB1,5571 HB,2289,1412,4,5,0,0,0,1272,147,0,2,0,0,0,1419,580,253,394,185
,Bergeijk,GR2018_Bergeijk,Gemeenteraad Bergeijk 2018,1724,Bergeijk,2018-03-21,Stembureau Basisschool Prinses Beatrix,1724::SB3,5571 EJ,1661,921,3,5,0,0,0,815,116,0,0,2,0,0,931,325,172,290,134
,Bergeijk,GR2018_Bergeijk,Gemeenteraad Bergeijk 2018,1724,Bergeijk,2018-03-21,Stembureau Gemeenschapshuis Terlo,1724::SB4,5571 KW,1181,714,1,3,0,0,0,637,81,0,0,0,0,0,718,384,118,118,94
,Bergeijk,GR2018_Bergeijk,Gemeenteraad Bergeijk 2018,1724,Bergeijk,2018-03-21,Stembureau Buurthuis 't Sant,1724::SB5,5571 XJ,588,396,3,0,0,0,0,345,54,0,0,0,0,0,399,214,53,64,65
,Bergeijk,GR2018_Bergeijk,Gemeenteraad Bergeijk 2018,1724,Bergeijk,2018-03-21,Stembureau Basisschool Beisterveld,1724::SB6,5571 RK,1849,947,0,2,0,0,0,856,93,0,0,0,0,0,949,397,179,266,105
,Bergeijk,GR2018_Bergeijk,Gemeenteraad Bergeijk 2018,1724,Bergeijk,2018-03-21,Stembureau S.C.C. De Kattendans,1724::SB7,5571 CM,1282,821,1,2,0,0,0,745,79,0,0,0,0,0,824,319,122,226,154
,Bergeijk,GR2018_Bergeijk,Gemeenteraad Bergeijk 2018,1724,Bergeijk,2018-03-21,Stembureau Den Eijkholt in de Gestelberg,1724::SB8,5575 BG,1199,691,1,0,0,0,0,628,65,0,0,1,0,0,693,363,197,84,47
,Bergeijk,GR2018_Bergeijk,Gemeenteraad Bergeijk 2018,1724,Bergeijk,2018-03-21,Stembureau Gemeenschapshuis De Rietstek,1724::SB9,5561 AC,1950,1337,1,3,0,0,0,1204,138,0,0,1,0,0,1342,405,383,252,297
,Bergeijk,GR2018_Bergeijk,Gemeenteraad Bergeijk 2018,1724,Bergeijk,2018-03-21,Stembureau Ontmoetingscentrum De Buitengaander,1724::SB10,5563 BC,1675,956,9,3,0,0,0,883,85,0,0,0,0,0,968,365,370,124,97
,Bergeijk,GR2018_Bergeijk,Gemeenteraad Bergeijk 2018,1724,Bergeijk,2018-03-21,Stembureau Den Eijkholt in de Gestelberg,1724::SB12,5575 BG,1203,696,4,1,0,0,0,629,71,0,1,0,0,0,700,379,185,86,46
