contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Gemeentebelang,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),VVD,CDA,GROENLINKS,Deventer Belang,ChristenUnie,DeventerNU,DENK,ASP (Atheïstisch Seculiere Partij),Deventer Sociaal,NIEUW-LINKS
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau Het Stadhuis,0150::SB1,,1970,1653,5,3,0,4,0,1558,99,0,4,0,0,0,1657,117,296,292,257,72,341,64,50,30,11,35,72,16
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau Groote-en Voorster Gasthuis,0150::SB2,,2001,1139,7,7,0,0,0,1083,70,0,0,0,0,0,1153,54,215,162,193,59,237,72,32,19,9,18,54,15
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau Biljartcentrum De Dam,0150::SB3,,1577,1064,4,2,0,0,0,995,75,0,0,0,0,0,1070,111,197,153,184,47,206,50,40,16,0,9,37,14
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau Buurthuis 't Hovenhuus,0150::SB4,,1807,1071,1,1,0,0,0,1006,67,0,0,0,0,0,1073,93,198,104,137,52,272,72,34,43,1,13,39,13
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau Basisschool Adwaita,0150::SB5,,1603,842,1,5,0,0,0,796,52,0,0,0,0,0,848,75,160,99,117,39,139,76,30,23,38,6,26,14
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau Speeltuinvereniging De IJssel,0150::SB6,,1793,872,3,4,0,0,0,749,130,0,0,0,0,0,879,47,165,98,81,23,177,71,35,18,71,23,41,22
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau Partycentrum De Horst,0150::SB7,,2054,1249,1,6,0,0,0,1165,91,0,0,0,0,0,1256,88,231,156,162,44,280,65,62,25,61,23,41,11
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau Cees Wilkeshuisschool,0150::SB8,,2000,971,4,2,0,0,0,903,74,0,0,0,0,0,977,93,202,81,102,40,156,119,34,34,44,10,44,12
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau Woon- en zorgcentrum St.Jurriën,0150::SB9,,1757,758,3,3,0,0,0,720,44,0,0,0,0,0,764,72,133,54,115,48,95,111,28,35,10,18,30,9
,Deventer,GR2018_Deventer,Gemeenteraad Deventer 2018,0150,Deventer,2018-03-21,Stembureau Het Enkhuis,0150::SB11,,2860,1151,2,2,0,0,0,1055,100,0,0,0,0,0,1155,38,211,111,129,39,209,86,21,36,202,13,40,16
