contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,SP (Socialistische Partij),Algemeen Belang Cuijk (ABC-CUIJK),CDA,VVD,Democraten 66 (D66),PLC (Progressief Leefbaar Cuijk),Partij van de Arbeid (P.v.d.A.),GROENLINKS,Liberaal LVC
,Cuijk,GR2018_Cuijk,Gemeenteraad Cuijk 2018,1684,Cuijk,2018-03-21,Stembureau Gemeentehuis,1684::SB1,5431 BV,1204,1225,8,3,0,0,0,1114,122,0,0,0,0,0,1236,140,123,212,106,123,51,126,68,276
,Cuijk,GR2018_Cuijk,Gemeenteraad Cuijk 2018,1684,Cuijk,2018-03-21,Stembureau Ontmoetingscentrum 't Fort,1684::SB2,5431 MC,1392,564,2,2,0,0,0,521,47,0,0,0,0,0,568,89,76,121,36,48,27,59,20,88
,Cuijk,GR2018_Cuijk,Gemeenteraad Cuijk 2018,1684,Cuijk,2018-03-21,Stembureau 't Akkertje,1684::SB3,5434 PA,1051,630,4,0,0,1,0,581,54,0,0,1,0,0,635,61,199,115,56,36,9,18,17,119
,Cuijk,GR2018_Cuijk,Gemeenteraad Cuijk 2018,1684,Cuijk,2018-03-21,Stembureau Café van Kempen,1684::SB4,5433 KA,339,243,1,0,0,0,0,230,14,0,0,0,0,0,244,28,24,73,29,23,1,12,11,42
,Cuijk,GR2018_Cuijk,Gemeenteraad Cuijk 2018,1684,Cuijk,2018-03-21,Stembureau De Agaat,1684::SB5,5435 XJ,422,272,0,0,0,0,0,245,27,0,0,0,0,0,272,12,90,56,22,13,3,25,16,35
,Cuijk,GR2018_Cuijk,Gemeenteraad Cuijk 2018,1684,Cuijk,2018-03-21,Stembureau Parochiezaal,1684::SB6,5431 AV,1289,832,12,1,0,0,0,728,117,0,0,0,0,0,845,103,113,157,22,37,89,47,34,230
,Cuijk,GR2018_Cuijk,Gemeenteraad Cuijk 2018,1684,Cuijk,2018-03-21,Stembureau Cultureel Centrum Ahmet Yesevi,1684::SB7,5431 KZ,1356,355,2,3,0,1,0,320,42,0,0,2,1,0,362,42,30,134,17,9,19,20,8,76
,Cuijk,GR2018_Cuijk,Gemeenteraad Cuijk 2018,1684,Cuijk,2018-03-21,Stembureau Het Doehuis,1684::SB8,5431 JR,1562,810,3,4,0,0,0,755,62,0,0,0,0,0,817,128,112,93,69,71,46,67,69,155
,Cuijk,GR2018_Cuijk,Gemeenteraad Cuijk 2018,1684,Cuijk,2018-03-21,Stembureau IKC Dassenburcht,1684::SB9,5431 KJ,1324,681,3,3,0,2,0,629,60,0,0,2,0,0,689,120,76,76,57,77,44,73,35,123
,Cuijk,GR2018_Cuijk,Gemeenteraad Cuijk 2018,1684,Cuijk,2018-03-21,Stembureau De Nielt,1684::SB10,5432 DW,1752,912,9,1,0,0,0,863,59,0,0,0,0,0,922,93,103,120,106,111,42,74,50,213
,Cuijk,GR2018_Cuijk,Gemeenteraad Cuijk 2018,1684,Cuijk,2018-03-21,Stembureau basisschool De Waai (bureau 1),1684::SB11,5432 DH,1753,817,6,0,0,0,0,751,72,0,0,0,0,0,823,73,69,83,131,100,35,64,39,223
,Cuijk,GR2018_Cuijk,Gemeenteraad Cuijk 2018,1684,Cuijk,2018-03-21,Stembureau sporthal De Kloosterhof,1684::SB12,5437 AS,1382,879,4,1,0,0,0,794,90,0,0,0,0,0,884,47,315,199,40,82,5,22,30,139
,Cuijk,GR2018_Cuijk,Gemeenteraad Cuijk 2018,1684,Cuijk,2018-03-21,Stembureau De Burcht,1684::SB13,5439 ND,220,170,1,0,0,0,0,153,18,0,0,0,0,0,171,8,50,23,14,39,2,11,4,19
,Cuijk,GR2018_Cuijk,Gemeenteraad Cuijk 2018,1684,Cuijk,2018-03-21,Stembureau sporthal De Stappert (bureau 1),1684::SB14,5443 BE,1157,711,1,1,0,0,0,645,68,0,0,0,0,0,713,42,242,71,18,18,14,6,10,290
,Cuijk,GR2018_Cuijk,Gemeenteraad Cuijk 2018,1684,Cuijk,2018-03-21,Stembureau Hof van Cuijk,1684::SB15,5431 EZ,1062,525,3,2,0,0,0,490,40,0,0,0,0,0,530,74,75,116,36,40,20,41,23,100
,Cuijk,GR2018_Cuijk,Gemeenteraad Cuijk 2018,1684,Cuijk,2018-03-21,Stembureau basisschool De Waai (bureau 2),1684::SB16,5432 DH,1596,704,4,0,0,0,0,628,80,0,0,0,0,0,708,63,66,80,102,83,26,69,41,174
,Cuijk,GR2018_Cuijk,Gemeenteraad Cuijk 2018,1684,Cuijk,2018-03-21,Stembureau sporthal De Stappert (bureau 2),1684::SB17,5443 BE,1173,890,1,2,0,0,0,805,88,0,0,0,0,0,893,44,306,58,36,31,10,9,22,374
