contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,ChristenUnie-SGP,CDA,Gemeentebelang-Boeren Partij (GBP),VVD,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66)/GROENLINKS
,Heerde,GR2018_Heerde,Gemeenteraad Heerde 2018,0246,Heerde,2018-03-21,Stembureau Hanzeheerd Brinkhoven,0246::SB1,8181 DB,747,675,7,9,0,1,0,629,61,0,1,0,0,0,690,154,194,74,83,96,74
,Heerde,GR2018_Heerde,Gemeenteraad Heerde 2018,0246,Heerde,2018-03-21,Stembureau Raadhuis,0246::SB2,8181 HL,1626,1078,1,2,0,0,0,973,108,0,0,0,0,0,1081,215,277,121,119,198,148
,Heerde,GR2018_Heerde,Gemeenteraad Heerde 2018,0246,Heerde,2018-03-21,Stembureau (voormalig) Wilhelminaschool,0246::SB3,8181 BA,1629,756,8,1,0,2,0,710,57,0,0,2,0,0,767,135,217,90,77,146,91
,Heerde,GR2018_Heerde,Gemeenteraad Heerde 2018,0246,Heerde,2018-03-21,Stembureau De Rhijnsberg,0246::SB4,8181 XW,1695,1067,3,5,0,1,0,971,105,0,0,1,0,0,1076,207,309,102,157,156,136
,Heerde,GR2018_Heerde,Gemeenteraad Heerde 2018,0246,Heerde,2018-03-21,Stembureau Gemeentekantoor Heerde,0246::SB5,8181 ET,1420,823,4,3,0,0,0,754,76,0,0,0,0,0,830,161,245,85,135,114,83
,Heerde,GR2018_Heerde,Gemeenteraad Heerde 2018,0246,Heerde,2018-03-21,Stembureau Christelijk College de Noordgouw,0246::SB6,8181 EW,1134,618,0,0,0,0,0,560,58,0,0,0,0,0,618,127,156,73,111,64,87
,Heerde,GR2018_Heerde,Gemeenteraad Heerde 2018,0246,Heerde,2018-03-21,Stembureau Jenaplanschool,0246::SB7,8181 LE,1130,680,6,2,0,0,0,608,80,0,0,0,0,0,688,80,156,117,134,76,117
,Heerde,GR2018_Heerde,Gemeenteraad Heerde 2018,0246,Heerde,2018-03-21,Stembureau de Boerbrink,0246::SB8,8194 LT,699,469,1,1,0,0,0,438,33,0,0,0,0,0,471,83,95,62,91,48,90
,Heerde,GR2018_Heerde,Gemeenteraad Heerde 2018,0246,Heerde,2018-03-21,Stembureau Hervormd Verenigingsgebouw,0246::SB9,8191 LV,1445,969,2,5,0,0,0,881,96,0,0,1,0,0,977,421,126,204,106,44,68
,Heerde,GR2018_Heerde,Gemeenteraad Heerde 2018,0246,Heerde,2018-03-21,"Stembureau WZU Veluwe, Rehoboth",0246::SB10,8191 JE,1621,1044,8,4,0,0,0,961,95,0,0,0,0,0,1056,308,134,253,134,88,127
,Heerde,GR2018_Heerde,Gemeenteraad Heerde 2018,0246,Heerde,2018-03-21,Stembureau Ds. van Maasschool,0246::SB11,8191 LH,1665,766,3,1,0,0,0,699,71,0,0,0,0,0,770,265,116,209,41,55,80
