contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,ChristenUnie-SGP,Politieke Unie (P.U.),VVD,SP (Socialistische Partij),ONS Noordoostpolder,Democraten 66 (D66),Partij van vrije Poldermensen (PvvP),Partij van de Arbeid (P.v.d.A.),GROENLINKS,JEZUS LEEFT
,Noordoostpolder,GR2018_Noordoostpolder,Gemeenteraad Noordoostpolder 2018,0171,Noordoostpolder,2018-03-21,Stembureau Stembureau tbv reserveleden,0171::SB0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Noordoostpolder,GR2018_Noordoostpolder,Gemeenteraad Noordoostpolder 2018,0171,Noordoostpolder,2018-03-21,Stembureau Gemeentehuis,0171::SB1,8302 BW,1504,882,5,5,0,0,0,822,70,0,0,0,0,0,892,99,118,87,99,92,109,47,32,127,70,2
,Noordoostpolder,GR2018_Noordoostpolder,Gemeenteraad Noordoostpolder 2018,0171,Noordoostpolder,2018-03-21,Stembureau De Ontmoeting,0171::SB2,8303 GK,1286,908,3,0,0,0,0,826,85,0,0,0,0,0,911,105,197,59,72,100,100,48,42,113,65,7
,Noordoostpolder,GR2018_Noordoostpolder,Gemeenteraad Noordoostpolder 2018,0171,Noordoostpolder,2018-03-21,Stembureau ROC Friese Poort Emmeloord,0171::SB3,8302 DC,1760,589,1,1,0,0,0,526,65,0,0,0,0,0,591,104,131,60,122,28,50,39,4,23,28,0
,Noordoostpolder,GR2018_Noordoostpolder,Gemeenteraad Noordoostpolder 2018,0171,Noordoostpolder,2018-03-21,Stembureau Zwembad Het Bosbad,0171::SB4,8302 AB,1062,653,2,1,0,0,0,579,77,0,0,0,0,0,656,112,70,66,142,48,73,40,11,50,33,8
,Noordoostpolder,GR2018_Noordoostpolder,Gemeenteraad Noordoostpolder 2018,0171,Noordoostpolder,2018-03-21,Stembureau MFC Nieuw Jeruzalemkerk,0171::SB5,8301 AN,1275,760,1,0,0,0,0,703,58,0,0,0,0,0,761,145,87,85,99,74,88,43,31,73,33,2
,Noordoostpolder,GR2018_Noordoostpolder,Gemeenteraad Noordoostpolder 2018,0171,Noordoostpolder,2018-03-21,Stembureau Woonzorgcentrum Hof van Smeden,0171::SB6,8301 XG,1303,534,1,2,0,0,0,506,32,1,0,1,0,0,538,143,75,28,72,42,72,12,21,46,18,5
,Noordoostpolder,GR2018_Noordoostpolder,Gemeenteraad Noordoostpolder 2018,0171,Noordoostpolder,2018-03-21,Stembureau Buurthuis Revelsant,0171::SB7,8303 BJ,1774,642,4,3,0,0,0,599,50,0,0,0,0,0,649,72,88,36,45,119,79,34,32,82,49,6
,Noordoostpolder,GR2018_Noordoostpolder,Gemeenteraad Noordoostpolder 2018,0171,Noordoostpolder,2018-03-21,"Stembureau Gereformeerde Kerk ""Pro Rege""",0171::SB8,8302 ZD,1558,579,3,0,0,0,0,543,39,0,0,0,0,0,582,77,165,25,50,72,41,26,19,69,29,6
,Noordoostpolder,GR2018_Noordoostpolder,Gemeenteraad Noordoostpolder 2018,0171,Noordoostpolder,2018-03-21,Stembureau Buurthuis Espelervaart,0171::SB9,8303 VW,1915,1256,1,4,0,0,0,1153,108,0,0,0,0,0,1261,176,304,113,98,126,146,70,29,114,76,4
,Noordoostpolder,GR2018_Noordoostpolder,Gemeenteraad Noordoostpolder 2018,0171,Noordoostpolder,2018-03-21,Stembureau Buurthuis de Brulboei,0171::SB10,8304 DZ,1352,835,3,1,0,0,0,782,57,0,0,0,0,0,839,119,132,60,87,137,95,38,19,78,66,4
,Noordoostpolder,GR2018_Noordoostpolder,Gemeenteraad Noordoostpolder 2018,0171,Noordoostpolder,2018-03-21,Stembureau Verpleeghuis Talmahof,0171::SB11,8304 GC,1326,607,2,1,0,0,0,562,48,0,0,0,0,0,610,115,99,70,57,55,91,34,16,33,37,0
,Noordoostpolder,GR2018_Noordoostpolder,Gemeenteraad Noordoostpolder 2018,0171,Noordoostpolder,2018-03-21,Stembureau Openbare Jenaplanschool De Zevensprong,0171::SB12,8302 JD,2026,1157,6,1,0,0,0,1051,113,0,0,0,0,0,1164,199,202,98,171,88,149,75,17,81,71,6
,Noordoostpolder,GR2018_Noordoostpolder,Gemeenteraad Noordoostpolder 2018,0171,Noordoostpolder,2018-03-21,Stembureau Buurthuis De Erven,0171::SB13,8302 NM,1748,1275,4,3,0,0,0,1175,107,0,0,0,0,0,1282,214,239,108,195,68,165,92,25,90,73,6
,Noordoostpolder,GR2018_Noordoostpolder,Gemeenteraad Noordoostpolder 2018,0171,Noordoostpolder,2018-03-21,Stembureau De Poldertoren,0171::SB14,8302 PT,0,923,2,2,0,0,0,846,81,0,0,0,0,0,927,131,155,96,115,72,91,64,15,83,93,8
,Noordoostpolder,GR2018_Noordoostpolder,Gemeenteraad Noordoostpolder 2018,0171,Noordoostpolder,2018-03-21,Stembureau Verenigingsgebouw de Bosfluiter,0171::SB20,8315 AV,1225,702,2,3,0,1,0,640,68,0,0,1,0,0,708,227,56,82,127,58,34,34,8,34,34,8
,Noordoostpolder,GR2018_Noordoostpolder,Gemeenteraad Noordoostpolder 2018,0171,Noordoostpolder,2018-03-21,Stembureau Verzorgingshuis Markehof,0171::SB21,8316 NJ,1466,829,5,1,0,0,0,765,70,0,0,0,0,0,835,146,120,218,92,49,67,37,15,26,58,1
,Noordoostpolder,GR2018_Noordoostpolder,Gemeenteraad Noordoostpolder 2018,0171,Noordoostpolder,2018-03-21,Stembureau CBS De Zeester,0171::SB22,8316 ZG,1441,896,3,1,0,0,0,832,68,0,0,0,0,0,900,133,126,266,103,59,57,28,19,47,53,5
,Noordoostpolder,GR2018_Noordoostpolder,Gemeenteraad Noordoostpolder 2018,0171,Noordoostpolder,2018-03-21,Stembureau PKN kerk Kraggenburg,0171::SB23,8317 AG,1147,688,1,3,0,0,0,648,44,0,0,0,0,0,692,94,77,157,76,49,49,50,15,49,69,3
,Noordoostpolder,GR2018_Noordoostpolder,Gemeenteraad Noordoostpolder 2018,0171,Noordoostpolder,2018-03-21,Stembureau Steunpunt Ens,0171::SB24,8307 BJ,1180,621,5,2,0,0,0,575,53,0,0,0,0,0,628,123,99,106,99,32,49,30,8,28,44,3
,Noordoostpolder,GR2018_Noordoostpolder,Gemeenteraad Noordoostpolder 2018,0171,Noordoostpolder,2018-03-21,Stembureau CBS Het Lichtschip,0171::SB25,8307 AW,1156,659,1,5,0,0,0,611,54,0,0,0,0,0,665,134,118,110,55,58,73,20,14,29,42,6
,Noordoostpolder,GR2018_Noordoostpolder,Gemeenteraad Noordoostpolder 2018,0171,Noordoostpolder,2018-03-21,Stembureau Museum Nagele,0171::SB26,8308 AL,1438,754,2,1,0,0,0,683,74,0,0,0,0,0,757,127,87,77,138,51,86,52,8,50,75,3
,Noordoostpolder,GR2018_Noordoostpolder,Gemeenteraad Noordoostpolder 2018,0171,Noordoostpolder,2018-03-21,Stembureau RK Parochiezaal Tollebeek,0171::SB27,8309 AG,1673,1022,4,1,0,0,0,887,140,0,0,0,0,0,1027,149,421,181,90,38,47,20,13,30,14,19
,Noordoostpolder,GR2018_Noordoostpolder,Gemeenteraad Noordoostpolder 2018,0171,Noordoostpolder,2018-03-21,Stembureau M.F.C. 't Mozaïek Espel,0171::SB28,8311 AN,1082,611,0,6,0,0,0,559,58,0,0,0,0,0,617,195,97,76,89,34,48,10,5,23,28,6
,Noordoostpolder,GR2018_Noordoostpolder,Gemeenteraad Noordoostpolder 2018,0171,Noordoostpolder,2018-03-21,Stembureau De Ontmoetingskerk,0171::SB29,8312 AS,1236,681,2,0,0,0,0,625,58,0,0,0,0,0,683,164,108,78,119,23,42,73,8,12,50,4
,Noordoostpolder,GR2018_Noordoostpolder,Gemeenteraad Noordoostpolder 2018,0171,Noordoostpolder,2018-03-21,Stembureau Cultureelcentrum De Stiepe,0171::SB30,8313 AB,1281,700,2,0,0,0,0,641,61,0,0,0,0,0,702,176,69,157,86,38,55,28,14,29,46,2
,Noordoostpolder,GR2018_Noordoostpolder,Gemeenteraad Noordoostpolder 2018,0171,Noordoostpolder,2018-03-21,Stembureau Bantsiliek,0171::SB31,8314 AA,1047,610,2,1,0,0,0,554,59,0,0,0,0,0,613,110,51,112,85,34,41,115,9,30,21,2
