contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Lokaal Belang Lingewaard,SP (Socialistische Partij),CDA,B06,lingewaard.NU,VVD,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),GROENLINKS
,Lingewaard,GR2018_Lingewaard,Gemeenteraad Lingewaard 2018,1705,Lingewaard,2018-03-21,Stembureau Gemeenschapshuis het Zand,1705::SB3,6851 GL,1259,588,3,4,0,0,0,531,64,0,0,0,0,0,595,82,38,59,113,96,116,34,14,36
,Lingewaard,GR2018_Lingewaard,Gemeenteraad Lingewaard 2018,1705,Lingewaard,2018-03-21,Stembureau Cultureel Centrum de Kinkel,1705::SB9,6681 AK,1638,938,7,5,0,0,0,851,99,0,0,0,0,0,950,87,142,110,62,40,213,97,70,117
,Lingewaard,GR2018_Lingewaard,Gemeenteraad Lingewaard 2018,1705,Lingewaard,2018-03-21,Stembureau Dorpshuis Angeren,1705::SB10,6687 BP,1268,531,4,4,0,0,0,486,53,0,0,0,0,0,539,101,58,144,38,38,82,17,16,37
,Lingewaard,GR2018_Lingewaard,Gemeenteraad Lingewaard 2018,1705,Lingewaard,2018-03-21,Stembureau RijnWaal zorggroep loc.Liduina,1705::SB11,6681 WP,1077,853,8,2,0,0,0,775,88,0,0,0,0,0,863,73,166,132,56,52,182,70,44,78
,Lingewaard,GR2018_Lingewaard,Gemeenteraad Lingewaard 2018,1705,Lingewaard,2018-03-21,Stembureau RijnWaal zorggroep loc Sancta Maria,1705::SB12,6851 BW,763,767,5,1,0,0,0,710,65,2,0,2,0,0,775,120,79,85,113,118,117,43,27,65
,Lingewaard,GR2018_Lingewaard,Gemeenteraad Lingewaard 2018,1705,Lingewaard,2018-03-21,Stembureau De Valom,1705::SB13,6851 DH,1844,850,5,2,0,0,0,775,82,0,0,0,0,0,857,96,73,80,118,169,174,51,22,67
,Lingewaard,GR2018_Lingewaard,Gemeenteraad Lingewaard 2018,1705,Lingewaard,2018-03-21,Stembureau De Valom 2,1705::SB14,6851 DH,1357,930,2,1,0,0,0,815,118,0,0,0,0,0,933,127,88,84,128,171,180,48,28,76
,Lingewaard,GR2018_Lingewaard,Gemeenteraad Lingewaard 2018,1705,Lingewaard,2018-03-21,Stembureau Voormalige raadzaal,1705::SB15,6851 BM,1992,492,2,2,0,0,0,447,49,0,0,0,0,0,496,78,49,40,76,88,65,34,23,39
,Lingewaard,GR2018_Lingewaard,Gemeenteraad Lingewaard 2018,1705,Lingewaard,2018-03-21,Stembureau Basisschool De Abacus,1705::SB16,6851 LT,2074,1213,7,4,0,0,0,1101,123,0,0,0,0,0,1224,151,147,79,201,177,155,87,83,133
,Lingewaard,GR2018_Lingewaard,Gemeenteraad Lingewaard 2018,1705,Lingewaard,2018-03-21,Stembureau Sociaal Cultureel Centrum de Brink,1705::SB17,6852 EE,2113,1422,8,4,0,0,0,1282,152,0,0,0,0,0,1434,148,175,103,225,158,174,109,91,239
