contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),VVD,Progressief Oegstgeest,Hart voor Oegstgeest,CDA,Lokaal Oegstgeest
,Oegstgeest,GR2018_Oegstgeest,Gemeenteraad Oegstgeest 2018,0579,Oegstgeest,2018-03-21,Stembureau Gemeentehuis,0579::SB1,2342 AN,1511,1235,4,7,0,2,0,1099,149,0,0,2,0,0,1248,220,371,233,149,180,82
,Oegstgeest,GR2018_Oegstgeest,Gemeenteraad Oegstgeest 2018,0579,Oegstgeest,2018-03-21,Stembureau Zorgcentrum van Wijckerslooth,0579::SB2,2341 BB,1337,755,7,2,0,0,0,680,85,1,0,1,0,0,765,138,268,104,84,141,20
,Oegstgeest,GR2018_Oegstgeest,Gemeenteraad Oegstgeest 2018,0579,Oegstgeest,2018-03-21,Stembureau Recreatiezaal Trompenburg,0579::SB3,2341 TJ,1474,848,4,0,0,0,0,764,88,0,0,0,0,0,852,141,219,171,123,147,47
,Oegstgeest,GR2018_Oegstgeest,Gemeenteraad Oegstgeest 2018,0579,Oegstgeest,2018-03-21,Stembureau Hockeyclub LOHC,0579::SB4,2341 LM,1144,761,1,1,0,0,0,761,2,0,0,0,0,0,763,161,265,147,80,79,29
,Oegstgeest,GR2018_Oegstgeest,Gemeenteraad Oegstgeest 2018,0579,Oegstgeest,2018-03-21,"Stembureau Jenaplanschool ""de Kring""",0579::SB5,2343 SR,995,871,1,1,0,1,0,791,81,0,1,0,0,0,872,182,208,207,127,110,37
,Oegstgeest,GR2018_Oegstgeest,Gemeenteraad Oegstgeest 2018,0579,Oegstgeest,2018-03-21,Stembureau Dorpscentrum Lijtweg,0579::SB6,2341 HA,1540,1306,13,4,0,0,0,1213,110,0,0,0,0,0,1323,179,300,316,171,264,76
,Oegstgeest,GR2018_Oegstgeest,Gemeenteraad Oegstgeest 2018,0579,Oegstgeest,2018-03-21,Stembureau Brandweerkazerne,0579::SB7,2343 BB,1555,867,7,3,0,0,0,813,64,0,0,0,0,0,877,114,186,194,118,205,50
,Oegstgeest,GR2018_Oegstgeest,Gemeenteraad Oegstgeest 2018,0579,Oegstgeest,2018-03-21,Stembureau Basisschool Het Dok,0579::SB8,2342 BT,1839,766,15,2,0,0,0,696,87,0,0,0,0,0,783,161,187,138,70,173,37
,Oegstgeest,GR2018_Oegstgeest,Gemeenteraad Oegstgeest 2018,0579,Oegstgeest,2018-03-21,"Stembureau Woonlocatie ""Tilly Koenen""",0579::SB9,2343 PG,1117,669,4,6,0,1,0,623,57,0,0,1,0,0,680,82,123,157,101,162,44
,Oegstgeest,GR2018_Oegstgeest,Gemeenteraad Oegstgeest 2018,0579,Oegstgeest,2018-03-21,Stembureau Recreatiezaal Boerhaaveplein,0579::SB10,2343 LW,1220,716,7,3,0,0,0,670,56,0,0,0,0,0,726,81,159,181,83,171,41
,Oegstgeest,GR2018_Oegstgeest,Gemeenteraad Oegstgeest 2018,0579,Oegstgeest,2018-03-21,Stembureau Daltonschool Oegstgeest,0579::SB11,2343 BK,1007,799,3,5,0,0,0,741,66,0,0,0,0,0,807,106,181,202,73,190,47
,Oegstgeest,GR2018_Oegstgeest,Gemeenteraad Oegstgeest 2018,0579,Oegstgeest,2018-03-21,Stembureau Verenigingsgebouw Attila,0579::SB12,2343 MA,1431,782,3,1,0,0,0,714,72,0,0,0,0,0,786,117,208,137,99,184,37
,Oegstgeest,GR2018_Oegstgeest,Gemeenteraad Oegstgeest 2018,0579,Oegstgeest,2018-03-21,Stembureau Gymzaal Poelgeest,0579::SB13,2341 PM,1057,796,5,2,0,0,0,735,68,0,0,0,0,0,803,151,176,186,71,127,85
,Oegstgeest,GR2018_Oegstgeest,Gemeenteraad Oegstgeest 2018,0579,Oegstgeest,2018-03-21,Stembureau Wellantcollege,0579::SB14,2341 KD,1129,642,8,0,0,0,0,555,95,0,0,0,0,0,650,124,180,101,55,118,64
