contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Democraten 66 (D66),GROENLINKS,SP (Socialistische Partij),BURGERBELANGEN AMSTELVEEN,Partij van de Arbeid (P.v.d.A.),CDA,Ouderen Combinatie Amstelveen (OCA),ChristenUnie,Actief voor Amstelveen
,Amstelveen,GR2018_Amstelveen,Gemeenteraad Amstelveen 2018,0362,Amstelveen,2018-03-21,Stembureau Kinderdagcentrum Nifterlake,0362::SB1,1181 CD,1444,1176,3,5,0,0,0,1067,120,3,0,3,0,0,1187,279,300,222,51,92,77,74,15,31,35
,Amstelveen,GR2018_Amstelveen,Gemeenteraad Amstelveen 2018,0362,Amstelveen,2018-03-21,Stembureau Go Centrum,0362::SB2,1181 HV,1474,750,6,5,0,1,0,679,83,0,0,1,0,0,762,175,126,134,49,79,61,49,26,29,22
,Amstelveen,GR2018_Amstelveen,Gemeenteraad Amstelveen 2018,0362,Amstelveen,2018-03-21,Stembureau Groepswonen De Bietelaar,0362::SB4,1181 XH,1546,620,1,0,0,0,0,552,69,0,0,0,0,0,621,195,125,71,32,54,38,45,19,10,31
,Amstelveen,GR2018_Amstelveen,Gemeenteraad Amstelveen 2018,0362,Amstelveen,2018-03-21,Stembureau Woonzorgcentrum Nieuw Vredeveld,0362::SB5,1181 HD,1520,1170,7,3,0,0,0,1070,110,0,0,0,0,0,1180,314,203,178,56,106,79,84,47,46,57
,Amstelveen,GR2018_Amstelveen,Gemeenteraad Amstelveen 2018,0362,Amstelveen,2018-03-21,Stembureau Wijksteunpunt Pluspunt,0362::SB9,1182 GC,1009,727,4,1,0,0,0,677,55,0,0,0,0,0,732,140,90,95,85,99,51,44,55,19,49
,Amstelveen,GR2018_Amstelveen,Gemeenteraad Amstelveen 2018,0362,Amstelveen,2018-03-21,Stembureau Raadhuis,0362::SB10,1182 JR,1752,1338,5,6,0,0,0,1193,156,0,0,0,0,0,1349,370,247,177,77,156,104,92,31,43,41
,Amstelveen,GR2018_Amstelveen,Gemeenteraad Amstelveen 2018,0362,Amstelveen,2018-03-21,Stembureau Zorgcentrum 't Huis aan de Poel,0362::SB11,1185 SE,1770,836,1,1,0,1,0,772,67,0,0,1,0,0,839,175,122,101,81,80,70,68,50,31,58
,Amstelveen,GR2018_Amstelveen,Gemeenteraad Amstelveen 2018,0362,Amstelveen,2018-03-21,Stembureau Woonzorgcentrum De Luwte,0362::SB12,1185 XJ,1645,851,4,3,0,0,0,788,69,0,1,0,1,0,857,228,130,81,64,111,59,61,43,27,47
,Amstelveen,GR2018_Amstelveen,Gemeenteraad Amstelveen 2018,0362,Amstelveen,2018-03-21,Stembureau Paaskerk,0362::SB13,1185 CN,1817,871,3,2,0,0,0,805,71,0,0,0,0,0,876,142,135,123,93,109,62,50,39,54,64
,Amstelveen,GR2018_Amstelveen,Gemeenteraad Amstelveen 2018,0362,Amstelveen,2018-03-21,Stembureau Rode Kruis gebouw,0362::SB14,1185 HH,1559,1039,3,3,0,0,0,941,104,0,0,0,0,0,1045,195,177,144,80,105,82,52,61,39,104
,Amstelveen,GR2018_Amstelveen,Gemeenteraad Amstelveen 2018,0362,Amstelveen,2018-03-21,Stembureau Wijkcentrum Noorddamcentrum,0362::SB15,1187 CM,996,820,4,1,0,1,0,750,76,0,0,1,0,0,826,184,136,119,44,110,53,57,29,26,62
,Amstelveen,GR2018_Amstelveen,Gemeenteraad Amstelveen 2018,0362,Amstelveen,2018-03-21,Stembureau Brasserie Paardenburg,0362::SB16,1184 TZ,728,341,0,0,0,0,0,288,53,0,0,0,0,0,341,106,65,53,21,19,9,27,5,24,12
,Amstelveen,GR2018_Amstelveen,Gemeenteraad Amstelveen 2018,0362,Amstelveen,2018-03-21,Stembureau Dorpshuis De Nesse,0362::SB17,1189 WD,613,401,3,0,0,0,0,367,37,0,0,0,0,0,404,84,53,69,23,55,28,52,12,17,8
,Amstelveen,GR2018_Amstelveen,Gemeenteraad Amstelveen 2018,0362,Amstelveen,2018-03-21,Stembureau Cultuurcentrum Griffioen,0362::SB18,1183 AM,2186,1467,17,2,0,0,0,1433,53,0,0,0,0,0,1486,128,599,452,40,39,110,45,3,31,20
,Amstelveen,GR2018_Amstelveen,Gemeenteraad Amstelveen 2018,0362,Amstelveen,2018-03-21,Stembureau Wijksteunpunt Middenhof 2,0362::SB19,1188 KD,1326,857,3,3,0,0,0,792,72,1,0,1,0,0,864,179,139,121,70,124,55,41,36,37,55
