contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,FNP,CDA,ChristenUnie,Gemeente Belangen Achtkarspelen GBA,Partij van de Arbeid (P.v.d.A.),VVD,GROENLINKS,PVV (Partij voor de Vrijheid)
,Achtkarspelen,GR2018_Achtkarspelen,Gemeenteraad Achtkarspelen 2018,0059,Achtkarspelen,2018-03-21,"Stembureau BP I, Cultuurcentrum De Wâldsang",0059::SB1,9285 RZ,1713,1060,3,0,0,0,0,973,90,0,0,0,0,0,1063,70,332,255,110,102,47,105,39
,Achtkarspelen,GR2018_Achtkarspelen,Gemeenteraad Achtkarspelen 2018,0059,Achtkarspelen,2018-03-21,"Stembureau BP II, Sociaal Cultureel Werk It Koartling",0059::SB2,9285 NE,1285,733,2,1,0,0,0,669,67,0,0,0,0,0,736,72,205,113,87,81,56,78,41
,Achtkarspelen,GR2018_Achtkarspelen,Gemeenteraad Achtkarspelen 2018,0059,Achtkarspelen,2018-03-21,"Stembureau BP III, Zorgcentrum Haersmahiem",0059::SB3,9285 TR,1409,1131,2,1,0,0,0,1050,84,0,0,0,0,0,1134,82,324,239,105,155,64,124,38
,Achtkarspelen,GR2018_Achtkarspelen,Gemeenteraad Achtkarspelen 2018,0059,Achtkarspelen,2018-03-21,"Stembureau SV I, Schoolgebouw De Bernebrêge",0059::SB4,9231 JJ,1541,840,3,0,0,0,0,760,83,0,0,0,0,0,843,79,215,131,192,89,34,43,57
,Achtkarspelen,GR2018_Achtkarspelen,Gemeenteraad Achtkarspelen 2018,0059,Achtkarspelen,2018-03-21,"Stembureau SV II, Zorgcentrum 't Suyderhuys",0059::SB5,9231 BB,1775,1014,5,4,0,5,0,907,121,0,0,5,0,0,1028,76,338,116,174,146,77,30,57
,Achtkarspelen,GR2018_Achtkarspelen,Gemeenteraad Achtkarspelen 2018,0059,Achtkarspelen,2018-03-21,"Stembureau SV III, Verenigingsgebouw De Lantearne",0059::SB6,9231 CA,1446,916,1,4,0,1,0,814,106,0,1,0,0,0,920,102,252,92,153,103,62,50,102
,Achtkarspelen,GR2018_Achtkarspelen,Gemeenteraad Achtkarspelen 2018,0059,Achtkarspelen,2018-03-21,"Stembureau HK I, Sporthal De Fûgelkamp",0059::SB7,9281 MA,1529,685,4,2,0,1,0,591,99,0,1,0,0,0,690,117,128,49,176,59,37,12,107
,Achtkarspelen,GR2018_Achtkarspelen,Gemeenteraad Achtkarspelen 2018,0059,Achtkarspelen,2018-03-21,"Stembureau HK II, Sociaal Cultureel Werk Clubhuis",0059::SB8,9281 RD,1754,854,4,1,0,0,0,741,118,0,0,0,0,0,859,151,157,78,221,76,30,26,115
,Achtkarspelen,GR2018_Achtkarspelen,Gemeenteraad Achtkarspelen 2018,0059,Achtkarspelen,2018-03-21,"Stembureau KT, Multifunctionele Accommodatie Tillehûs",0059::SB9,9288 AM,1885,910,4,0,0,0,0,829,85,0,0,0,0,0,914,302,132,122,137,77,36,30,74
,Achtkarspelen,GR2018_Achtkarspelen,Gemeenteraad Achtkarspelen 2018,0059,Achtkarspelen,2018-03-21,"Stembureau TH, Dorpshuis De Jister",0059::SB10,9287 LC,1396,621,1,1,0,0,0,545,78,0,0,0,0,0,623,219,125,79,49,41,25,31,52
,Achtkarspelen,GR2018_Achtkarspelen,Gemeenteraad Achtkarspelen 2018,0059,Achtkarspelen,2018-03-21,"Stembureau DH, Verenigingsgebouw De Fakkel",0059::SB11,9289 HL,1311,818,4,0,0,2,0,762,62,0,0,2,0,0,824,116,363,138,63,34,24,22,58
,Achtkarspelen,GR2018_Achtkarspelen,Gemeenteraad Achtkarspelen 2018,0059,Achtkarspelen,2018-03-21,"Stembureau SZ, Multifunctioneel Centrum De Delfeart",0059::SB12,9283 TR,1001,553,1,0,0,0,0,494,60,0,0,0,0,0,554,69,176,61,124,34,25,34,30
,Achtkarspelen,GR2018_Achtkarspelen,Gemeenteraad Achtkarspelen 2018,0059,Achtkarspelen,2018-03-21,"Stembureau AG, Seniorencomplex Nij Stiensgea",0059::SB13,9284 TL,958,521,2,1,0,0,0,457,68,1,0,1,0,0,525,111,90,48,118,58,33,17,46
,Achtkarspelen,GR2018_Achtkarspelen,Gemeenteraad Achtkarspelen 2018,0059,Achtkarspelen,2018-03-21,"Stembureau BL, Dorpshuis De Smoutte",0059::SB14,9233 KL,923,517,0,0,0,0,0,460,57,0,0,0,0,0,517,144,44,32,53,83,24,39,98
,Achtkarspelen,GR2018_Achtkarspelen,Gemeenteraad Achtkarspelen 2018,0059,Achtkarspelen,2018-03-21,"Stembureau GK, Dorpshuis Rehoboth",0059::SB15,9873 RE,852,487,1,2,0,0,0,443,47,0,0,0,0,0,490,114,180,40,59,22,18,24,30
,Achtkarspelen,GR2018_Achtkarspelen,Gemeenteraad Achtkarspelen 2018,0059,Achtkarspelen,2018-03-21,"Stembureau TW, Dorpshuis De Bining",0059::SB16,9286 EP,847,546,1,0,0,0,0,475,72,0,0,0,0,0,547,180,115,68,55,40,21,19,48
