contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,ChristenUnie/SGP,CDA,Democraten 66 (D66),SP (Socialistische Partij),P.v.d.A./GROENLINKS,Nieuw Elan Zuidplas (NEZ),Nieuwe Gemeente Politiek
,Zuidplas,GR2018_Zuidplas,Gemeenteraad Zuidplas 2018,1892,Zuidplas,2018-03-21,Stembureau Winkelcentrum de Reigerhof (v.m. Foto Klein),1892::SB1,,2097,1785,6,9,0,0,0,1623,177,0,0,0,0,0,1800,434,214,316,158,213,200,152,98
,Zuidplas,GR2018_Zuidplas,Gemeenteraad Zuidplas 2018,1892,Zuidplas,2018-03-21,Stembureau De Batavier,1892::SB2,,2148,864,2,1,0,0,0,766,101,0,0,0,0,0,867,206,152,132,80,86,99,59,50
,Zuidplas,GR2018_Zuidplas,Gemeenteraad Zuidplas 2018,1892,Zuidplas,2018-03-21,Stembureau Comenius College,1892::SB3,,1951,897,5,2,0,0,0,778,126,0,0,0,0,0,904,228,165,141,67,88,92,79,37
,Zuidplas,GR2018_Zuidplas,Gemeenteraad Zuidplas 2018,1892,Zuidplas,2018-03-21,Stembureau Brede School Esse Zoom,1892::SB4,,2132,1311,4,2,0,0,0,1165,152,0,0,0,0,0,1317,443,191,251,132,62,113,94,25
,Zuidplas,GR2018_Zuidplas,Gemeenteraad Zuidplas 2018,1892,Zuidplas,2018-03-21,Stembureau Elim School,1892::SB5,,1845,745,3,1,0,0,0,660,89,0,0,0,0,0,749,143,110,159,57,61,122,65,28
,Zuidplas,GR2018_Zuidplas,Gemeenteraad Zuidplas 2018,1892,Zuidplas,2018-03-21,Stembureau Woonzorgcentrum De Meander,1892::SB6,,1600,1166,3,3,0,0,0,1067,106,1,0,1,0,0,1173,240,181,257,72,128,149,95,44
,Zuidplas,GR2018_Zuidplas,Gemeenteraad Zuidplas 2018,1892,Zuidplas,2018-03-21,Stembureau Ringvaartkerk (voorheen de Bron),1892::SB7,,1780,1199,5,3,0,0,0,1090,117,0,0,0,0,0,1207,286,179,220,118,98,131,123,44
,Zuidplas,GR2018_Zuidplas,Gemeenteraad Zuidplas 2018,1892,Zuidplas,2018-03-21,Stembureau Basisschool de Wingerd,1892::SB8,,1644,751,5,1,0,0,0,687,70,0,0,0,0,0,757,192,99,135,68,82,78,65,32
,Zuidplas,GR2018_Zuidplas,Gemeenteraad Zuidplas 2018,1892,Zuidplas,2018-03-21,Stembureau Kerkelijk Centrum,1892::SB9,,1663,984,4,1,0,1,0,893,95,0,1,0,0,0,988,230,245,208,64,63,94,42,38
,Zuidplas,GR2018_Zuidplas,Gemeenteraad Zuidplas 2018,1892,Zuidplas,2018-03-21,Stembureau Hervormd Centrum,1892::SB11,,1713,915,4,4,0,0,0,835,89,1,0,1,0,0,924,227,114,206,65,75,128,85,15
,Zuidplas,GR2018_Zuidplas,Gemeenteraad Zuidplas 2018,1892,Zuidplas,2018-03-21,Stembureau Drive in (afvalbrengstation Zevenhuizen),1892::SB12,,0,381,4,1,0,0,0,340,46,0,0,0,0,0,386,129,76,77,30,22,19,24,4
,Zuidplas,GR2018_Zuidplas,Gemeenteraad Zuidplas 2018,1892,Zuidplas,2018-03-21,Stembureau Christelijke basisschool de Eendragt,1892::SB13,,1804,562,4,0,0,0,0,515,51,0,0,0,0,0,566,125,56,139,52,44,82,56,8
,Zuidplas,GR2018_Zuidplas,Gemeenteraad Zuidplas 2018,1892,Zuidplas,2018-03-21,Stembureau Dorpshuis Swanla  (Catgeszaal),1892::SB14,,1961,1106,4,5,0,0,0,1023,92,0,0,0,0,0,1115,316,158,290,73,76,107,64,22
,Zuidplas,GR2018_Zuidplas,Gemeenteraad Zuidplas 2018,1892,Zuidplas,2018-03-21,Stembureau De Vierkap (Oud Verlaat) 13.00-21.00 uur,1892::SB15,,452,206,1,0,0,0,0,190,17,0,0,0,0,0,207,59,27,39,25,7,22,18,9
,Zuidplas,GR2018_Zuidplas,Gemeenteraad Zuidplas 2018,1892,Zuidplas,2018-03-21,Stembureau Zorgcentrum  Beth-San,1892::SB21,,1517,1123,3,3,0,0,0,983,146,0,0,0,0,0,1129,115,738,94,31,38,55,39,13
,Zuidplas,GR2018_Zuidplas,Gemeenteraad Zuidplas 2018,1892,Zuidplas,2018-03-21,Stembureau Dorpshuis  Op Moer,1892::SB22,,1793,1030,2,1,0,4,0,892,145,0,0,4,0,0,1037,117,601,129,39,43,65,26,10
,Zuidplas,GR2018_Zuidplas,Gemeenteraad Zuidplas 2018,1892,Zuidplas,2018-03-21,Stembureau Dorpshuis in Brede School het Turfhuis,1892::SB31,,1566,1089,3,3,0,0,0,981,114,0,0,0,0,0,1095,245,153,245,94,86,122,119,25
,Zuidplas,GR2018_Zuidplas,Gemeenteraad Zuidplas 2018,1892,Zuidplas,2018-03-21,Stembureau Voetbalvereniging Moordrecht,1892::SB32,,1876,823,6,3,0,0,0,741,91,0,0,0,0,0,832,151,161,181,75,75,87,72,21
