contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Werknemersgroepering,CDA,Democraten 66 (D66),VVD,GROENLINKS,Partij van de Arbeid (P.v.d.A.)
,Oldenzaal,GR2018_Oldenzaal,Gemeenteraad Oldenzaal 2018,0173,Oldenzaal,2018-03-21,Stembureau Stadhuis,0173::SB1,7571 CD,1441,1394,6,6,0,0,0,1302,104,0,0,0,0,0,1406,340,276,93,384,190,111
,Oldenzaal,GR2018_Oldenzaal,Gemeenteraad Oldenzaal 2018,0173,Oldenzaal,2018-03-21,Stembureau Woon- en Zorgcentrum de Molenkamp,0173::SB2,7571 CW,1645,813,9,1,0,0,2,759,62,0,0,0,0,0,823,223,221,42,148,109,70
,Oldenzaal,GR2018_Oldenzaal,Gemeenteraad Oldenzaal 2018,0173,Oldenzaal,2018-03-21,Stembureau Dienstencentrum de Walgaarden,0173::SB3,7571 GA,1493,690,5,5,0,0,0,645,55,0,0,0,0,0,700,221,170,31,69,129,70
,Oldenzaal,GR2018_Oldenzaal,Gemeenteraad Oldenzaal 2018,0173,Oldenzaal,2018-03-21,Stembureau Kantine Voetbalvereniging Quick '20,0173::SB4,7572 AS,1580,733,3,3,0,0,0,684,55,0,0,0,0,0,739,196,188,44,156,83,66
,Oldenzaal,GR2018_Oldenzaal,Gemeenteraad Oldenzaal 2018,0173,Oldenzaal,2018-03-21,Stembureau Wooncentrum Mariahof,0173::SB5,7573 AB,1391,812,4,7,0,0,0,734,89,0,0,0,0,0,823,202,198,42,175,132,63
,Oldenzaal,GR2018_Oldenzaal,Gemeenteraad Oldenzaal 2018,0173,Oldenzaal,2018-03-21,Stembureau Wooncentrum Scholtenhof,0173::SB6,7573 CG,1573,1005,5,2,0,0,0,906,105,0,1,0,1,0,1011,200,246,59,332,112,56
,Oldenzaal,GR2018_Oldenzaal,Gemeenteraad Oldenzaal 2018,0173,Oldenzaal,2018-03-21,Stembureau Boerderij Stakenboer,0173::SB7,7574 AL,1513,781,4,2,0,0,0,716,71,0,0,0,0,0,787,275,192,47,101,113,53
,Oldenzaal,GR2018_Oldenzaal,Gemeenteraad Oldenzaal 2018,0173,Oldenzaal,2018-03-21,Stembureau School Breedwijs Zuid Berghuizen,0173::SB8,7574 TX,1514,801,3,1,0,0,0,749,56,0,0,0,0,0,805,327,215,46,69,96,48
,Oldenzaal,GR2018_Oldenzaal,Gemeenteraad Oldenzaal 2018,0173,Oldenzaal,2018-03-21,Stembureau Paal 12 Ontmoetingscentrum,0173::SB9,7576 AC,1245,565,4,3,0,0,0,529,43,0,0,0,0,0,572,203,119,39,73,76,55
,Oldenzaal,GR2018_Oldenzaal,Gemeenteraad Oldenzaal 2018,0173,Oldenzaal,2018-03-21,"Stembureau Woonzorgcentrum ""De Zonnestraal""",0173::SB10,7576 AV,1394,936,6,4,0,0,0,889,57,0,0,0,0,0,946,307,201,67,153,114,94
,Oldenzaal,GR2018_Oldenzaal,Gemeenteraad Oldenzaal 2018,0173,Oldenzaal,2018-03-21,Stembureau School De Wendakker,0173::SB11,7576 VR,1634,943,7,5,0,0,0,876,80,0,0,1,1,0,956,279,200,100,175,128,61
,Oldenzaal,GR2018_Oldenzaal,Gemeenteraad Oldenzaal 2018,0173,Oldenzaal,2018-03-21,Stembureau Kantine Wielerclub OWC,0173::SB12,7576 PE,1591,703,4,2,0,0,0,632,77,0,0,0,0,0,709,112,180,77,183,86,65
,Oldenzaal,GR2018_Oldenzaal,Gemeenteraad Oldenzaal 2018,0173,Oldenzaal,2018-03-21,"Stembureau Stadhuis, vergadercentrum",0173::SB13,7571 CD,1129,419,3,2,0,0,0,389,35,0,0,0,0,0,424,117,73,25,94,80,30
,Oldenzaal,GR2018_Oldenzaal,Gemeenteraad Oldenzaal 2018,0173,Oldenzaal,2018-03-21,Stembureau Sportcafé De Kolk,0173::SB14,7577 EN,1478,1250,5,6,0,0,0,1146,115,0,0,0,0,0,1261,374,267,99,253,140,117
,Oldenzaal,GR2018_Oldenzaal,Gemeenteraad Oldenzaal 2018,0173,Oldenzaal,2018-03-21,Stembureau Kantine Voetbalvereniging De Esch,0173::SB15,7577 JA,1489,813,7,3,0,0,0,763,60,0,0,0,0,0,823,205,202,53,155,116,82
,Oldenzaal,GR2018_Oldenzaal,Gemeenteraad Oldenzaal 2018,0173,Oldenzaal,2018-03-21,Stembureau Wijkgebouw Het Blikpunt,0173::SB16,7577 JA,1297,789,2,3,0,0,0,731,63,0,0,0,0,0,794,203,148,71,178,119,70
,Oldenzaal,GR2018_Oldenzaal,Gemeenteraad Oldenzaal 2018,0173,Oldenzaal,2018-03-21,Stembureau School De Bongerd,0173::SB17,7577 NR,1601,994,1,2,0,0,0,909,88,0,0,0,0,0,997,222,221,81,245,108,117
