contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Combinatie Gemeentebelangen,Partij van de Arbeid (P.v.d.A.),VVD,Democraten 66 (D66),GROENLINKS,CDA
,Aa en Hunze,GR2018_AaenHunze,Gemeenteraad Aa en Hunze 2018,1680,Aa en Hunze,2018-03-21,Stembureau Gemeentehuis Gieten,1680::SB1,9461 BH,1355,1026,7,3,0,0,0,965,71,0,0,0,0,0,1036,447,135,183,74,121,66
,Aa en Hunze,GR2018_AaenHunze,Gemeenteraad Aa en Hunze 2018,1680,Aa en Hunze,2018-03-21,Stembureau Openbare basisschool Gieten,1680::SB2,9461 DA,1437,763,0,2,0,0,0,701,64,0,0,0,0,0,765,362,98,126,54,71,52
,Aa en Hunze,GR2018_AaenHunze,Gemeenteraad Aa en Hunze 2018,1680,Aa en Hunze,2018-03-21,Stembureau Zorgcentrum 'Dekelhem' (Gieten),1680::SB3,9461 JA,1306,829,3,1,0,0,0,780,53,0,0,0,0,0,833,420,133,108,47,72,49
,Aa en Hunze,GR2018_AaenHunze,Gemeenteraad Aa en Hunze 2018,1680,Aa en Hunze,2018-03-21,Stembureau Ontmoetingscentrum Boerhoorn Rolde,1680::SB4,9451 KD,1766,1473,3,5,0,0,0,1352,129,0,0,0,0,0,1481,416,258,371,119,202,107
,Aa en Hunze,GR2018_AaenHunze,Gemeenteraad Aa en Hunze 2018,1680,Aa en Hunze,2018-03-21,Stembureau Zorgcentrum 'Hendrik Kok' (Rolde),1680::SB5,9451 CT,2125,1019,4,1,0,0,0,961,65,0,0,2,0,0,1026,352,195,203,75,144,50
,Aa en Hunze,GR2018_AaenHunze,Gemeenteraad Aa en Hunze 2018,1680,Aa en Hunze,2018-03-21,Stembureau Dorpshuis 'De Eekhof' (Ekehaar),1680::SB6,9454 PL,463,355,0,0,0,0,0,321,34,0,0,0,0,0,355,116,40,103,19,61,16
,Aa en Hunze,GR2018_AaenHunze,Gemeenteraad Aa en Hunze 2018,1680,Aa en Hunze,2018-03-21,Stembureau Het Markehuis (Grolloo),1680::SB7,9444 XE,954,595,0,0,0,0,0,535,60,0,0,0,0,0,595,282,39,160,19,72,23
,Aa en Hunze,GR2018_AaenHunze,Gemeenteraad Aa en Hunze 2018,1680,Aa en Hunze,2018-03-21,Stembureau Dorpshuis Gasselte,1680::SB8,9462 RH,1593,975,2,0,0,0,0,897,80,0,0,0,0,0,977,620,89,88,30,112,36
,Aa en Hunze,GR2018_AaenHunze,Gemeenteraad Aa en Hunze 2018,1680,Aa en Hunze,2018-03-21,Stembureau MFC De Spil Gasselternijveen,1680::SB9,9514 CA,1498,772,4,2,0,0,0,723,55,0,0,0,0,0,778,418,91,54,44,75,90
,Aa en Hunze,GR2018_AaenHunze,Gemeenteraad Aa en Hunze 2018,1680,Aa en Hunze,2018-03-21,Stembureau Dorpshuis Gasselternijveenschemond,1680::SB10,9515 PE,557,301,6,1,0,0,0,288,20,0,0,0,0,0,308,110,58,36,26,22,49
,Aa en Hunze,GR2018_AaenHunze,Gemeenteraad Aa en Hunze 2018,1680,Aa en Hunze,2018-03-21,Stembureau Dorpshuis Ous Hoes (Gieterveen),1680::SB11,9511 PM,790,469,3,9,0,0,0,449,32,0,0,0,0,0,481,176,64,104,44,43,38
,Aa en Hunze,GR2018_AaenHunze,Gemeenteraad Aa en Hunze 2018,1680,Aa en Hunze,2018-03-21,Stembureau Dorpshuis De Kiep Eexterveenscheka.,1680::SB12,9659 PL,450,164,0,8,0,0,0,161,11,0,0,0,0,0,172,67,43,18,13,16,7
,Aa en Hunze,GR2018_AaenHunze,Gemeenteraad Aa en Hunze 2018,1680,Aa en Hunze,2018-03-21,Stembureau Multifunctioneel centrum De Badde,1680::SB13,9654 PP,331,183,0,2,0,0,0,169,16,0,0,0,0,0,185,85,33,14,25,18,8
,Aa en Hunze,GR2018_AaenHunze,Gemeenteraad Aa en Hunze 2018,1680,Aa en Hunze,2018-03-21,Stembureau Gemschapshuis De Spiker N-Annerveen,1680::SB14,9657 PD,317,210,0,2,0,0,0,191,20,0,1,0,0,0,211,50,59,53,15,31,2
,Aa en Hunze,GR2018_AaenHunze,Gemeenteraad Aa en Hunze 2018,1680,Aa en Hunze,2018-03-21,Stembureau Dorpshuis 't Achterhoes Eexterveen,1680::SB15,9658 PH,445,286,1,0,0,0,0,266,21,0,0,0,0,0,287,129,18,70,31,26,12
,Aa en Hunze,GR2018_AaenHunze,Gemeenteraad Aa en Hunze 2018,1680,Aa en Hunze,2018-03-21,Stembureau Dorpshuis Annen,1680::SB16,9468 BJ,1382,980,5,2,0,0,0,899,89,0,0,1,0,0,988,426,165,159,71,108,51
,Aa en Hunze,GR2018_AaenHunze,Gemeenteraad Aa en Hunze 2018,1680,Aa en Hunze,2018-03-21,Stembureau Verzorgingstehuis 't Holthuys Annen,1680::SB17,9468 HG,1471,838,4,3,0,0,0,796,49,0,0,0,0,0,845,349,185,100,57,104,43
,Aa en Hunze,GR2018_AaenHunze,Gemeenteraad Aa en Hunze 2018,1680,Aa en Hunze,2018-03-21,Stembureau Dorpshuis Schipborg,1680::SB18,9469 PE,505,354,0,3,0,0,0,324,33,0,0,0,0,0,357,85,45,67,44,76,37
,Aa en Hunze,GR2018_AaenHunze,Gemeenteraad Aa en Hunze 2018,1680,Aa en Hunze,2018-03-21,Stembureau Cafe/Restaurant Eext,1680::SB19,9463 PC,1156,727,1,0,0,0,0,682,46,0,0,0,0,0,728,382,104,96,38,88,19
,Aa en Hunze,GR2018_AaenHunze,Gemeenteraad Aa en Hunze 2018,1680,Aa en Hunze,2018-03-21,Stembureau Dorpshuis De Gasterije (Gasteren),1680::SB20,9466 PL,374,251,0,1,0,0,0,228,24,0,0,0,0,0,252,105,21,25,18,70,12
