contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Lokaal Liberaal,Streekbelangen,Maarssen 2000,ChristenUnie-SGP,Partij van de Arbeid (P.v.d.A.),GROENLINKS,Het Vechtse Verbond,Stichtse Vecht Beweegt,LP (Libertarische Partij),PVV (Partij voor de Vrijheid)
,Stichtse Vecht,GR2018_StichtseVecht,Gemeenteraad Stichtse Vecht 2018,1904,Stichtse Vecht,2018-03-21,Stembureau Gemeentekantoor,1904::SB1,3601 GR,1509,995,2,0,0,0,0,884,113,0,0,0,0,0,997,213,93,226,27,70,53,85,168,9,8,6,37
,Stichtse Vecht,GR2018_StichtseVecht,Gemeenteraad Stichtse Vecht 2018,1904,Stichtse Vecht,2018-03-21,Stembureau De Vondel,1904::SB2,3601 EX,1393,718,5,8,0,0,0,664,67,0,0,0,0,0,731,55,85,206,21,83,43,76,67,7,2,21,52
,Stichtse Vecht,GR2018_StichtseVecht,Gemeenteraad Stichtse Vecht 2018,1904,Stichtse Vecht,2018-03-21,Stembureau Basisschool De Klaroen,1904::SB3,3601 TJ,1413,802,4,3,0,1,0,720,88,0,1,0,0,0,808,94,70,243,27,92,49,48,106,11,3,10,49
,Stichtse Vecht,GR2018_StichtseVecht,Gemeenteraad Stichtse Vecht 2018,1904,Stichtse Vecht,2018-03-21,Stembureau KBS De Pionier,1904::SB4,3601 BM,1486,945,3,3,0,1,0,855,97,0,0,1,0,0,952,178,93,249,34,76,49,66,159,9,3,4,25
,Stichtse Vecht,GR2018_StichtseVecht,Gemeenteraad Stichtse Vecht 2018,1904,Stichtse Vecht,2018-03-21,Stembureau Basisschool 't Palet(Buitenweg),1904::SB5,3602 ZK,1244,769,0,0,0,0,0,698,71,0,0,0,0,0,769,155,64,176,30,63,24,70,147,11,0,6,23
,Stichtse Vecht,GR2018_StichtseVecht,Gemeenteraad Stichtse Vecht 2018,1904,Stichtse Vecht,2018-03-21,Stembureau Restaurant Belle,1904::SB6,3611 AE,1360,845,6,3,0,3,0,731,126,0,0,3,0,0,857,303,48,135,31,35,14,70,163,8,9,8,21
,Stichtse Vecht,GR2018_StichtseVecht,Gemeenteraad Stichtse Vecht 2018,1904,Stichtse Vecht,2018-03-21,Stembureau Dorpshuis De Veenkluit,1904::SB7,3612 BH,1480,761,1,1,0,1,0,670,92,0,1,0,0,0,762,130,96,128,41,30,40,41,189,18,5,11,32
,Stichtse Vecht,GR2018_StichtseVecht,Gemeenteraad Stichtse Vecht 2018,1904,Stichtse Vecht,2018-03-21,Stembureau Basisschool Het Kompas,1904::SB8,3603 AZ,1421,883,2,4,0,0,0,788,101,0,0,0,0,0,889,209,101,182,40,73,35,46,140,14,4,13,26
,Stichtse Vecht,GR2018_StichtseVecht,Gemeenteraad Stichtse Vecht 2018,1904,Stichtse Vecht,2018-03-21,Stembureau WereldKidz Bolenstein(ingang Bolens),1904::SB9,3603 CN,1679,1097,4,3,0,0,0,977,127,0,0,0,0,0,1104,317,97,182,45,76,33,85,196,16,11,9,30
,Stichtse Vecht,GR2018_StichtseVecht,Gemeenteraad Stichtse Vecht 2018,1904,Stichtse Vecht,2018-03-21,Stembureau KBS De Wilde Wingerd,1904::SB10,3608 TK,1349,677,3,1,0,0,0,630,51,0,0,0,0,0,681,55,54,145,44,83,32,54,96,19,3,21,71
