contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Nieuw Elan,VVD,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),SP (Socialistische Partij),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),RijnGouweLokaal (RGL),Beter Alphen
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Gemeentehuis,0484::SB1,,429,964,9,3,0,0,0,872,105,0,0,1,0,0,977,109,279,143,45,104,37,37,134,11,23,42
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Groene Hart Lyceum,0484::SB2,,1070,523,1,0,0,0,0,482,42,0,0,0,0,0,524,47,130,82,24,36,30,45,56,22,17,34
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Opstandingskerk,0484::SB3,,1010,576,5,2,0,0,0,541,42,0,0,0,0,0,583,52,151,61,17,42,41,47,50,43,27,45
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau De Jozef,0484::SB4,,736,426,1,3,0,0,0,400,30,0,0,0,0,0,430,82,129,31,8,24,12,34,55,8,14,29
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Volle Evangelie Gemeente De Ark,0484::SB5,,1095,662,0,1,0,0,0,599,64,0,0,0,0,0,663,86,180,89,24,42,42,46,59,25,17,52
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Nutsgebouw Zwammerdam,0484::SB6,,1760,801,6,2,0,0,0,732,77,0,0,0,0,0,809,182,162,80,42,53,35,61,43,35,85,23
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Dorpshuis Aarlanderveen,0484::SB7,,928,603,1,1,0,0,0,539,66,0,0,0,0,0,605,164,118,101,21,32,26,51,47,15,9,19
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Basisschool De Windroos,0484::SB8,,1423,639,2,0,0,0,0,586,55,0,0,0,0,0,641,75,183,98,23,49,30,40,101,7,18,15
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Basisschool  De Rank,0484::SB9,,1339,1036,1,1,0,0,0,941,97,0,0,0,0,0,1038,113,292,119,35,66,53,73,139,20,62,64
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Gebouw De Meerkoet,0484::SB10,,1303,612,3,0,0,0,0,572,43,0,0,0,0,0,615,44,208,63,36,30,42,29,72,7,37,44
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Goede Herderkerk,0484::SB11,,1507,720,3,4,0,0,0,676,51,0,0,0,0,0,727,82,194,96,17,48,48,42,85,21,31,56
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Scala College,0484::SB12,,1684,738,2,6,0,0,0,687,59,0,0,0,0,0,746,57,191,92,70,68,47,40,86,14,32,41
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau De Verrassing van Alphen,0484::SB13,,1585,470,8,2,0,0,0,425,55,0,0,0,0,0,480,48,118,47,31,42,36,30,39,10,37,32
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Driehoorne Serviceflat,0484::SB14,,1490,803,10,3,0,0,0,758,58,0,0,0,0,0,816,131,169,96,53,67,49,57,74,16,35,56
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Alrijne Ziekenhuis,0484::SB15,,1329,651,10,2,0,0,0,606,57,0,0,0,0,0,663,81,183,99,36,52,31,34,76,9,21,29
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Wijkcentrum Ridderveld,0484::SB16,,1419,563,4,5,0,0,0,512,60,0,0,0,0,0,572,40,154,59,43,43,42,30,70,14,25,43
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Alphense Montessorischool,0484::SB17,,1030,606,5,2,0,0,0,558,55,0,0,0,0,0,613,60,161,61,33,57,61,35,68,6,37,27
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Zalencentrum De Bron (1),0484::SB18,,1283,837,3,0,0,0,0,763,78,1,0,1,0,0,841,69,213,90,61,58,52,66,119,11,45,53
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Zalencentrum De Bron (2),0484::SB19,,1377,624,6,5,0,0,0,588,47,0,0,0,0,0,635,59,171,97,30,44,43,35,67,8,31,39
,Alphen aan den Rijn,GR2018_AlphenaandenRijn,Gemeenteraad Alphen aan den Rijn 2018,0484,Alphen aan den Rijn,2018-03-21,Stembureau Bezoekerscentrum De Veenweiden,0484::SB20,,1335,630,0,2,0,1,0,573,58,0,1,0,0,0,631,64,186,64,38,51,35,47,68,10,24,43
