contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Wakker Emmen,Partij van de Arbeid (P.v.d.A.),CDA,Democraten 66 (D66),Drentse Ouderen Partij (DOP),VVD,LEF!,ChristenUnie,GROENLINKS,PVV (Partij voor de Vrijheid),Jongeren Aan Zet!,SP (Socialistische Partij),50PLUS,Senioren Belang Noord
,Emmen,GR2018_Emmen,Gemeenteraad Emmen 2018,0114,Emmen,2018-03-21,Stembureau Gemeentehuis locatie1,0114::SB1,,984,729,1,1,0,0,70,660,1,0,0,0,0,0,731,84,133,102,48,18,100,51,42,33,33,8,22,30,25
,Emmen,GR2018_Emmen,Gemeenteraad Emmen 2018,0114,Emmen,2018-03-21,Stembureau Zorgcentrum Oostermarke,0114::SB2,,980,753,7,3,0,1,0,703,61,0,0,1,0,0,764,65,127,112,60,12,116,65,56,39,29,21,18,15,18
,Emmen,GR2018_Emmen,Gemeenteraad Emmen 2018,0114,Emmen,2018-03-21,Stembureau De Goede Herderkerk,0114::SB3,,627,466,3,2,0,1,0,435,37,0,0,1,0,0,472,61,83,55,42,7,51,16,69,22,17,12,16,11,4
,Emmen,GR2018_Emmen,Gemeenteraad Emmen 2018,0114,Emmen,2018-03-21,Stembureau Zorgcentrum Holdert,0114::SB4,,761,400,2,1,0,0,0,369,34,0,0,0,0,0,403,42,86,75,17,16,31,12,25,19,21,2,24,16,14
,Emmen,GR2018_Emmen,Gemeenteraad Emmen 2018,0114,Emmen,2018-03-21,Stembureau Wijkcentrum Meerstede,0114::SB5,,1367,590,3,3,0,0,0,547,49,0,0,0,0,0,596,60,131,48,24,34,30,25,35,19,60,12,59,19,34
,Emmen,GR2018_Emmen,Gemeenteraad Emmen 2018,0114,Emmen,2018-03-21,Stembureau Ichthus,0114::SB6,,1241,754,4,1,0,0,0,701,58,0,0,0,0,0,759,82,130,108,60,13,58,42,63,42,51,19,35,32,19
,Emmen,GR2018_Emmen,Gemeenteraad Emmen 2018,0114,Emmen,2018-03-21,Stembureau R.K.b.s. St. Frans,0114::SB7,,1306,518,0,0,0,0,0,481,36,0,1,0,1,0,517,84,109,36,18,7,36,32,33,18,52,7,54,12,20
,Emmen,GR2018_Emmen,Gemeenteraad Emmen 2018,0114,Emmen,2018-03-21,Stembureau o.b.s. Emmermeer,0114::SB8,,1293,549,1,3,0,0,0,515,38,0,0,0,0,0,553,78,117,76,12,22,16,22,32,35,44,3,52,27,13
,Emmen,GR2018_Emmen,Gemeenteraad Emmen 2018,0114,Emmen,2018-03-21,Stembureau Zorgcentrum Zuidermarke,0114::SB9,,1592,922,1,4,0,0,0,852,74,0,1,0,1,0,926,112,199,98,43,40,64,32,59,29,105,17,52,46,26
,Emmen,GR2018_Emmen,Gemeenteraad Emmen 2018,0114,Emmen,2018-03-21,Stembureau AOC Terra,0114::SB10,,657,378,1,0,0,0,0,340,39,0,0,0,0,0,379,41,73,64,21,9,58,20,27,13,27,3,13,3,6
