contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Democraten 66 (D66),ChristenUnie,SP (Socialistische Partij),GROENLINKS,Partij van de Arbeid (P.v.d.A.),CDA,8,9,Culemborg Van Nu
,Culemborg,GR2018_Culemborg,Gemeenteraad Culemborg 2018,0216,Culemborg,2018-03-21,Stembureau Stadhuis,0216::SB1,,1665,1138,10,0,0,1,0,1045,102,0,1,0,0,0,1147,168,197,88,77,261,89,88,15,7,148
,Culemborg,GR2018_Culemborg,Gemeenteraad Culemborg 2018,0216,Culemborg,2018-03-21,Stembureau Koningin Beatrixschool,0216::SB2,,1773,665,9,1,0,0,0,618,56,0,1,0,1,0,674,70,119,73,27,155,46,62,11,0,102
,Culemborg,GR2018_Culemborg,Gemeenteraad Culemborg 2018,0216,Culemborg,2018-03-21,Stembureau Jenaplanschool 't Praathuis,0216::SB3,,1452,926,3,2,0,2,0,848,85,0,0,2,0,0,933,75,124,50,48,420,54,38,42,4,71
,Culemborg,GR2018_Culemborg,Gemeenteraad Culemborg 2018,0216,Culemborg,2018-03-21,Stembureau Daltonschool,0216::SB4,,1455,662,3,3,0,0,0,589,79,0,0,0,0,0,668,102,84,27,52,101,77,44,61,1,113
,Culemborg,GR2018_Culemborg,Gemeenteraad Culemborg 2018,0216,Culemborg,2018-03-21,Stembureau Verzorgingshuis Kulenburg,0216::SB6,,1656,879,7,1,0,0,0,823,65,0,0,1,0,0,888,127,130,92,63,114,64,109,16,5,159
,Culemborg,GR2018_Culemborg,Gemeenteraad Culemborg 2018,0216,Culemborg,2018-03-21,Stembureau Basisschool De Palster,0216::SB7,,1697,665,7,1,0,0,0,615,58,0,0,0,0,0,673,73,106,51,78,91,51,56,25,0,134
,Culemborg,GR2018_Culemborg,Gemeenteraad Culemborg 2018,0216,Culemborg,2018-03-21,Stembureau Koningin Julianaschool,0216::SB8,,1688,1170,4,1,0,0,0,1066,109,0,0,0,0,0,1175,213,196,127,49,168,85,108,4,0,220
,Culemborg,GR2018_Culemborg,Gemeenteraad Culemborg 2018,0216,Culemborg,2018-03-21,Stembureau Salaamander,0216::SB9,,1898,1174,5,2,0,1,0,1031,149,0,1,0,0,0,1180,148,183,100,89,189,91,84,112,2,176
,Culemborg,GR2018_Culemborg,Gemeenteraad Culemborg 2018,0216,Culemborg,2018-03-21,Stembureau Gandhi-Soos,0216::SB10,,1629,704,2,2,0,0,0,579,128,0,1,0,1,0,707,61,62,53,56,70,59,47,191,6,99
,Culemborg,GR2018_Culemborg,Gemeenteraad Culemborg 2018,0216,Culemborg,2018-03-21,Stembureau Rode Kruisgebouw,0216::SB11,,1795,1098,9,0,0,1,0,997,111,0,0,1,0,0,1108,207,191,96,60,214,61,89,17,5,158
,Culemborg,GR2018_Culemborg,Gemeenteraad Culemborg 2018,0216,Culemborg,2018-03-21,Stembureau NS Station,0216::SB12,,0,297,2,3,0,0,0,288,14,0,0,0,0,0,302,37,52,18,8,111,18,15,5,0,33
,Culemborg,GR2018_Culemborg,Gemeenteraad Culemborg 2018,0216,Culemborg,2018-03-21,Stembureau Augustinusschool,0216::SB13,,1757,785,10,4,0,0,0,711,88,0,0,0,0,0,799,170,126,57,39,117,52,59,20,3,142
,Culemborg,GR2018_Culemborg,Gemeenteraad Culemborg 2018,0216,Culemborg,2018-03-21,Stembureau BonVie,0216::SB14,,1871,1465,8,6,0,0,0,1326,153,0,0,0,0,0,1479,369,205,134,66,170,104,152,15,8,242
,Culemborg,GR2018_Culemborg,Gemeenteraad Culemborg 2018,0216,Culemborg,2018-03-21,Stembureau Oranje Nassauschool,0216::SB15,,1721,786,3,1,0,0,0,699,91,0,0,0,0,0,790,187,146,49,21,125,32,75,13,1,137
