contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Democraten 66 (D66),Dorpsbelangen Huizen,Partij van de Arbeid (P.v.d.A.),GROENLINKS,ChristenUnie,Leefbaar Huizen,Staatkundig Gereformeerde Partij (SGP),Healthy Earth
,Huizen,GR2018_Huizen,Gemeenteraad Huizen 2018,0406,Huizen,2018-03-21,Stembureau Gemeentehuis,0406::SB1,1276 KB,1353,1334,8,5,0,0,0,1212,136,1,0,1,0,0,1348,263,167,141,159,151,116,117,160,51,9
,Huizen,GR2018_Huizen,Gemeenteraad Huizen 2018,0406,Huizen,2018-03-21,Stembureau Beatrixschool,0406::SB2,1272 BP,1662,1038,2,0,0,0,0,925,115,0,0,0,0,0,1040,235,136,100,115,86,90,116,84,69,7
,Huizen,GR2018_Huizen,Gemeenteraad Huizen 2018,0406,Huizen,2018-03-21,Stembureau Plankenierstheater,0406::SB3,1272 PB,879,615,0,0,0,0,0,522,93,0,0,0,0,0,615,338,54,98,47,19,18,12,17,9,3
,Huizen,GR2018_Huizen,Gemeenteraad Huizen 2018,0406,Huizen,2018-03-21,Stembureau Voor Anker,0406::SB4,1272 KV,1570,1156,1,1,0,0,0,1036,122,0,0,0,0,0,1158,307,250,106,92,42,51,150,47,108,3
,Huizen,GR2018_Huizen,Gemeenteraad Huizen 2018,0406,Huizen,2018-03-21,Stembureau Firma Bendex,0406::SB5,1271 LW,1604,710,1,2,0,0,0,656,57,0,0,0,0,0,713,142,91,54,125,75,76,52,56,36,3
,Huizen,GR2018_Huizen,Gemeenteraad Huizen 2018,0406,Huizen,2018-03-21,Stembureau De Brassershoeve,0406::SB6,1271 RP,1780,1191,3,4,0,2,0,1065,135,0,0,2,0,0,1200,287,169,120,119,70,94,126,104,88,14
,Huizen,GR2018_Huizen,Gemeenteraad Huizen 2018,0406,Huizen,2018-03-21,Stembureau Rehobothschool,0406::SB7,1276 NA,1208,810,1,3,0,1,0,741,74,0,0,1,0,0,815,157,185,64,71,37,66,130,32,67,1
,Huizen,GR2018_Huizen,Gemeenteraad Huizen 2018,0406,Huizen,2018-03-21,Stembureau Wijkcentrum Meentamorfose,0406::SB8,1276 AS,1372,644,3,0,0,0,0,600,45,0,2,0,2,0,645,79,72,68,92,89,81,53,82,24,4
,Huizen,GR2018_Huizen,Gemeenteraad Huizen 2018,0406,Huizen,2018-03-21,Stembureau De Bolder,0406::SB9,1276 BB,1888,860,4,0,0,0,0,792,72,0,0,0,0,0,864,123,146,61,120,89,60,134,85,40,2
,Huizen,GR2018_Huizen,Gemeenteraad Huizen 2018,0406,Huizen,2018-03-21,Stembureau Wijkcentrum Holleblok,0406::SB10,1273 EG,1318,715,1,3,0,0,0,662,57,0,0,0,0,0,719,125,77,75,89,81,99,48,102,6,13
,Huizen,GR2018_Huizen,Gemeenteraad Huizen 2018,0406,Huizen,2018-03-21,Stembureau Schoolgebouw Holleblok,0406::SB11,1273 EG,1208,968,0,2,0,0,0,891,80,0,0,1,0,0,971,186,102,120,131,112,131,75,85,20,6
,Huizen,GR2018_Huizen,Gemeenteraad Huizen 2018,0406,Huizen,2018-03-21,Stembureau Kamperfoelieschool,0406::SB12,1273 LC,1320,537,4,0,0,0,0,500,41,0,0,0,0,0,541,79,50,59,84,69,76,29,79,10,2
,Huizen,GR2018_Huizen,Gemeenteraad Huizen 2018,0406,Huizen,2018-03-21,Stembureau Meentkerk,0406::SB13,1274 RZ,1360,712,0,2,0,0,0,664,50,0,0,0,0,0,714,130,52,92,110,69,93,69,83,9,5
,Huizen,GR2018_Huizen,Gemeenteraad Huizen 2018,0406,Huizen,2018-03-21,Stembureau De Rustmaat,0406::SB14,1273 JS,1870,1047,3,3,0,0,0,957,96,0,0,0,0,0,1053,214,110,124,113,139,129,85,110,18,5
,Huizen,GR2018_Huizen,Gemeenteraad Huizen 2018,0406,Huizen,2018-03-21,Stembureau De Gouden Kraal,0406::SB15,1275 AB,1726,983,4,0,0,1,0,896,92,0,0,1,0,0,988,162,98,110,136,136,125,85,109,13,9
,Huizen,GR2018_Huizen,Gemeenteraad Huizen 2018,0406,Huizen,2018-03-21,Stembureau Wijkcentrum,0406::SB16,1274 NS,1248,570,3,1,0,0,0,546,28,0,0,0,0,0,574,82,38,64,96,78,85,38,78,4,7
,Huizen,GR2018_Huizen,Gemeenteraad Huizen 2018,0406,Huizen,2018-03-21,Stembureau Goede Herderkerk,0406::SB17,1272 JR,1113,890,3,4,0,0,0,791,106,0,0,0,0,0,897,373,139,130,61,38,34,50,48,17,0
,Huizen,GR2018_Huizen,Gemeenteraad Huizen 2018,0406,Huizen,2018-03-21,Stembureau Basisschool De Ark,0406::SB18,1274 KL,1878,713,2,2,0,0,0,665,52,0,0,0,0,0,717,105,83,78,86,84,75,106,81,13,2
,Huizen,GR2018_Huizen,Gemeenteraad Huizen 2018,0406,Huizen,2018-03-21,Stembureau Surfclub Gooimeer,0406::SB19,1271 ER,1472,852,3,2,0,0,0,781,76,0,0,0,0,0,857,195,75,92,141,88,74,50,123,13,1
,Huizen,GR2018_Huizen,Gemeenteraad Huizen 2018,0406,Huizen,2018-03-21,Stembureau De Tweemaster,0406::SB20,1276 GP,1443,888,0,3,0,0,0,802,90,0,0,1,0,0,892,111,98,128,135,125,109,82,85,5,10
,Huizen,GR2018_Huizen,Gemeenteraad Huizen 2018,0406,Huizen,2018-03-21,Stembureau Meentkerk (links),0406::SB21,1274 RZ,1059,608,2,0,0,0,0,573,37,0,0,0,0,0,610,115,44,85,102,56,80,34,76,11,5
,Huizen,GR2018_Huizen,Gemeenteraad Huizen 2018,0406,Huizen,2018-03-21,Stembureau Schoolwoning,0406::SB22,1277 CH,1129,606,1,3,0,0,0,544,67,0,0,1,0,0,611,175,47,77,90,54,54,40,60,6,3
,Huizen,GR2018_Huizen,Gemeenteraad Huizen 2018,0406,Huizen,2018-03-21,Stembureau De Springplank,0406::SB23,1277 AV,801,759,3,2,0,0,0,697,67,0,0,0,0,0,764,233,66,72,104,84,59,69,57,15,0
,Huizen,GR2018_Huizen,Gemeenteraad Huizen 2018,0406,Huizen,2018-03-21,Stembureau Muziekvereniging Prinses Irene,0406::SB24,1271 AA,611,318,0,0,0,0,0,287,31,0,0,0,0,0,318,68,46,37,33,39,19,28,31,16,1
