contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,ChristenUnie-SGP,De Lokale Partij,"PROgressief 21 (D66, Groen Links, PvdA)",VVD
,Nijkerk,GR2018_Nijkerk,Gemeenteraad Nijkerk 2018,0267,Nijkerk,2018-03-21,Stembureau Stadhuis (dependance),0267::SB1,3861 AK,1796,1058,7,3,0,1,0,962,107,0,0,1,0,0,1069,330,252,166,168,142
,Nijkerk,GR2018_Nijkerk,Gemeenteraad Nijkerk 2018,0267,Nijkerk,2018-03-21,Stembureau Woonzorgcentrum De Pol,0267::SB2,3862 JN,1699,1103,2,3,0,0,0,998,110,0,0,0,0,0,1108,336,338,155,119,155
,Nijkerk,GR2018_Nijkerk,Gemeenteraad Nijkerk 2018,0267,Nijkerk,2018-03-21,Stembureau De Schakel,0267::SB3,3862 CX,1966,1086,2,5,0,1,0,993,101,0,0,1,0,0,1094,374,245,169,171,127
,Nijkerk,GR2018_Nijkerk,Gemeenteraad Nijkerk 2018,0267,Nijkerk,2018-03-21,Stembureau Huize Sint Jozef,0267::SB4,3861 CK,1816,955,9,1,0,0,0,886,79,0,0,0,0,0,965,360,182,128,177,108
,Nijkerk,GR2018_Nijkerk,Gemeenteraad Nijkerk 2018,0267,Nijkerk,2018-03-21,Stembureau Oranje- Nassauschool,0267::SB5,3861 CW,1570,818,1,0,0,1,0,727,91,0,1,0,0,0,818,268,151,166,143,90
,Nijkerk,GR2018_Nijkerk,Gemeenteraad Nijkerk 2018,0267,Nijkerk,2018-03-21,Stembureau Daltonschool Corlaer,0267::SB6,3863 AZ,1200,776,3,1,0,0,0,709,71,0,0,0,0,0,780,259,164,103,136,114
,Nijkerk,GR2018_Nijkerk,Gemeenteraad Nijkerk 2018,0267,Nijkerk,2018-03-21,Stembureau Wijkcentrum  Corlaer,0267::SB7,3863 BZ,1397,915,1,0,0,0,0,817,99,0,0,0,0,0,916,317,194,123,147,134
,Nijkerk,GR2018_Nijkerk,Gemeenteraad Nijkerk 2018,0267,Nijkerk,2018-03-21,Stembureau school Holk,0267::SB8,3863 EN,2349,1217,5,2,0,0,0,1097,127,0,0,0,0,0,1224,321,234,195,241,226
,Nijkerk,GR2018_Nijkerk,Gemeenteraad Nijkerk 2018,0267,Nijkerk,2018-03-21,Stembureau school De Hoeksteen,0267::SB9,3863 HS,1390,828,7,1,0,0,0,748,88,0,0,0,0,0,836,221,233,106,137,131
,Nijkerk,GR2018_Nijkerk,Gemeenteraad Nijkerk 2018,0267,Nijkerk,2018-03-21,Stembureau NS-station,0267::SB11,3862 CE,1484,833,6,3,0,0,0,771,69,0,2,0,2,0,840,242,214,119,145,113
