contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Texels Belang,VVD,Partij van de Arbeid (P.v.d.A.),Texel 2010,Democraten 66 (D66),CDA,GROENLINKS,Alternatief,Eiland Belang
,Texel,GR2018_Texel,Gemeenteraad Texel 2018,0448,Texel,2018-03-21,Stembureau Gemeentehuis,0448::SB1,,1839,1202,15,3,0,1,4,1091,126,0,0,1,0,0,1221,281,212,206,52,132,88,181,27,23
,Texel,GR2018_Texel,Gemeenteraad Texel 2018,0448,Texel,2018-03-21,Stembureau Bibliotheek,0448::SB2,,2343,1359,9,0,0,2,0,1233,133,0,2,0,0,0,1366,390,206,240,53,99,146,139,39,47
,Texel,GR2018_Texel,Gemeenteraad Texel 2018,0448,Texel,2018-03-21,Stembureau De Gollards,0448::SB3,,1557,1241,11,4,0,0,0,1165,91,0,0,0,0,0,1256,307,149,225,95,118,135,156,18,38
,Texel,GR2018_Texel,Gemeenteraad Texel 2018,0448,Texel,2018-03-21,Stembureau Het Eierlandsche Huis,0448::SB4,,654,423,3,1,0,0,0,400,27,0,0,0,0,0,427,138,88,45,15,25,39,42,21,10
,Texel,GR2018_Texel,Gemeenteraad Texel 2018,0448,Texel,2018-03-21,Stembureau Verenigingshuis Bethel,0448::SB5,,327,250,0,0,0,0,0,225,25,0,0,0,0,0,250,93,56,15,17,10,18,28,7,6
,Texel,GR2018_Texel,Gemeenteraad Texel 2018,0448,Texel,2018-03-21,Stembureau Dorpshuis De Waldhorn,0448::SB6,,609,448,3,0,0,0,0,410,41,0,0,0,0,0,451,121,83,60,19,43,24,76,10,12
,Texel,GR2018_Texel,Gemeenteraad Texel 2018,0448,Texel,2018-03-21,Stembureau Dorpshuis De Hof,0448::SB7,,1123,676,3,3,0,1,0,612,69,0,1,0,0,0,681,249,134,56,52,50,23,48,41,23
,Texel,GR2018_Texel,Gemeenteraad Texel 2018,0448,Texel,2018-03-21,Stembureau Dorpshuis De Bijenkorf,0448::SB8,,1037,697,6,2,0,0,0,645,60,0,0,0,0,0,705,156,90,101,41,52,113,91,35,18
,Texel,GR2018_Texel,Gemeenteraad Texel 2018,0448,Texel,2018-03-21,Stembureau Dorpshuis 't Skiltje,0448::SB9,,1086,660,9,3,0,0,0,595,77,0,0,0,0,0,672,189,129,99,42,62,47,42,12,38
,Texel,GR2018_Texel,Gemeenteraad Texel 2018,0448,Texel,2018-03-21,Stembureau Dorpshuis De Wielewaal,0448::SB10,,323,239,2,0,0,0,0,214,27,0,0,0,0,0,241,75,56,39,12,8,14,22,7,6
,Texel,GR2018_Texel,Gemeenteraad Texel 2018,0448,Texel,2018-03-21,Stembureau Havenrestaurant Texel,0448::SB11,,258,227,2,3,0,0,0,207,25,0,0,0,0,0,232,61,18,31,17,20,16,57,3,4
