contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Democraten 66 (D66),VVD,ProVeenendaal,CDA,Lokaal Veenendaal,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),GROENLINKS,JEZUS LEEFT,DENK,JouwVeenendaal
,Veenendaal,GR2018_Veenendaal,Gemeenteraad Veenendaal 2018,0345,Veenendaal,2018-03-21,Stembureau Dienstencentrum Duivenwal,0345::SB1,,1645,774,1,3,0,0,0,700,78,0,0,0,0,0,778,149,82,25,98,85,69,96,56,31,41,0,23,19
,Veenendaal,GR2018_Veenendaal,Gemeenteraad Veenendaal 2018,0345,Veenendaal,2018-03-21,Stembureau Voedselbank Veenendaal,0345::SB2,,1641,680,0,12,0,2,0,585,109,0,0,2,0,0,694,105,111,44,56,57,40,38,34,32,33,6,111,13
,Veenendaal,GR2018_Veenendaal,Gemeenteraad Veenendaal 2018,0345,Veenendaal,2018-03-21,Stembureau Hollandia Staete,0345::SB3,,1687,814,6,4,0,0,0,746,78,0,0,0,0,0,824,148,136,33,57,77,64,91,59,25,21,7,84,12
,Veenendaal,GR2018_Veenendaal,Gemeenteraad Veenendaal 2018,0345,Veenendaal,2018-03-21,Stembureau Woon-en Zorgcentrum De Engelenburgh,0345::SB4,,1239,855,1,3,0,0,0,752,107,0,0,0,0,0,859,201,216,38,75,68,84,37,38,26,30,6,20,16
,Veenendaal,GR2018_Veenendaal,Gemeenteraad Veenendaal 2018,0345,Veenendaal,2018-03-21,Stembureau Zaal van Apostolisch Genootschap,0345::SB5,,1519,1124,3,3,0,5,0,994,141,0,0,5,0,0,1135,229,93,72,246,140,115,100,20,27,48,5,6,23
,Veenendaal,GR2018_Veenendaal,Gemeenteraad Veenendaal 2018,0345,Veenendaal,2018-03-21,Stembureau Vergaderzaal Het Trefpunt,0345::SB6,,1541,1140,3,1,0,0,0,990,154,0,0,0,0,0,1144,206,165,51,173,133,110,101,53,28,51,3,32,34
,Veenendaal,GR2018_Veenendaal,Gemeenteraad Veenendaal 2018,0345,Veenendaal,2018-03-21,Stembureau Gebouw Shalom (achter Vredeskerk),0345::SB7,,1612,792,3,3,0,0,0,710,88,0,0,0,0,0,798,175,170,46,130,64,87,37,17,19,24,3,5,15
,Veenendaal,GR2018_Veenendaal,Gemeenteraad Veenendaal 2018,0345,Veenendaal,2018-03-21,Stembureau Gebouw Groenhof,0345::SB8,,1615,921,0,6,0,0,0,817,109,0,1,0,1,0,926,162,103,59,140,114,87,75,50,29,48,5,29,20
,Veenendaal,GR2018_Veenendaal,Gemeenteraad Veenendaal 2018,0345,Veenendaal,2018-03-21,Stembureau Patrimoniumschool,0345::SB9,,1452,974,1,2,0,0,0,867,109,0,1,0,1,0,976,217,120,57,70,123,99,81,73,27,40,3,41,23
,Veenendaal,GR2018_Veenendaal,Gemeenteraad Veenendaal 2018,0345,Veenendaal,2018-03-21,Stembureau School JUUL,0345::SB10,,1277,588,3,11,0,1,0,511,92,0,0,1,0,0,603,59,54,64,37,57,20,51,43,26,18,2,139,18
