contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,ChristenUnie,Algemeen Belang Oldebroek (A.B.O.),Staatkundig Gereformeerde Partij (SGP),CDA,Partij van de Arbeid (P.v.d.A.),VVD,Democraten 66 (D66)
,Oldebroek,GR2018_Oldebroek,Gemeenteraad Oldebroek 2018,0269,Oldebroek,2018-03-21,Stembureau Gemeentehuis,0269::SB1,8096 CP,1766,1329,4,1,0,0,0,1192,142,0,0,0,0,0,1334,448,163,328,202,79,70,39
,Oldebroek,GR2018_Oldebroek,Gemeenteraad Oldebroek 2018,0269,Oldebroek,2018-03-21,Stembureau De Hullen,0269::SB2,8096 AX,1725,969,1,4,0,0,0,846,128,0,0,0,0,0,974,315,84,326,139,45,46,14
,Oldebroek,GR2018_Oldebroek,Gemeenteraad Oldebroek 2018,0269,Oldebroek,2018-03-21,Stembureau De Heerdt,0269::SB3,8097 SE,1645,1121,2,0,0,0,0,955,168,0,0,0,0,0,1123,405,54,437,162,24,28,11
,Oldebroek,GR2018_Oldebroek,Gemeenteraad Oldebroek 2018,0269,Oldebroek,2018-03-21,Stembureau Luctorgebouw,0269::SB4,8096 BR,1342,812,3,2,0,0,0,728,89,0,0,0,0,0,817,329,65,230,105,19,47,17
,Oldebroek,GR2018_Oldebroek,Gemeenteraad Oldebroek 2018,0269,Oldebroek,2018-03-21,Stembureau Grinthuus,0269::SB5,8095 PX,1194,637,2,6,0,0,0,559,86,0,0,0,0,0,645,176,137,171,62,54,25,12
,Oldebroek,GR2018_Oldebroek,Gemeenteraad Oldebroek 2018,0269,Oldebroek,2018-03-21,Stembureau Pauluskerk,0269::SB6,8091 CK,1584,922,4,4,0,0,0,846,93,0,0,9,0,0,939,323,221,57,107,85,92,37
,Oldebroek,GR2018_Oldebroek,Gemeenteraad Oldebroek 2018,0269,Oldebroek,2018-03-21,Stembureau Kruiskerk,0269::SB7,8091 GA,1425,697,3,2,0,0,0,641,61,0,0,0,0,0,702,204,147,79,119,101,25,22
,Oldebroek,GR2018_Oldebroek,Gemeenteraad Oldebroek 2018,0269,Oldebroek,2018-03-21,Stembureau CBS De Meidoorn,0269::SB8,8091 JG,1595,848,2,3,0,0,0,762,91,0,0,0,0,0,853,221,221,91,91,117,63,44
,Oldebroek,GR2018_Oldebroek,Gemeenteraad Oldebroek 2018,0269,Oldebroek,2018-03-21,Stembureau De Uilenhorst,0269::SB9,8096 WD,1779,780,3,1,0,0,0,705,78,0,1,0,1,0,783,267,179,56,92,106,42,38
,Oldebroek,GR2018_Oldebroek,Gemeenteraad Oldebroek 2018,0269,Oldebroek,2018-03-21,Stembureau Vredeskerk,0269::SB10,8091 GR,1331,979,3,0,0,0,0,877,105,0,0,0,0,0,982,347,243,78,112,130,38,31
,Oldebroek,GR2018_Oldebroek,Gemeenteraad Oldebroek 2018,0269,Oldebroek,2018-03-21,Stembureau De Brinkhof,0269::SB11,8091 XS,1560,998,3,2,0,0,0,902,101,0,0,0,0,0,1003,327,215,81,154,112,70,39
,Oldebroek,GR2018_Oldebroek,Gemeenteraad Oldebroek 2018,0269,Oldebroek,2018-03-21,Stembureau De Bouwakker,0269::SB12,8094 AM,1150,658,2,0,0,0,0,592,70,0,0,2,0,0,662,206,147,41,88,73,63,40
,Oldebroek,GR2018_Oldebroek,Gemeenteraad Oldebroek 2018,0269,Oldebroek,2018-03-21,Stembureau Mobiel stembureau 1,0269::SB51,,0,132,0,1,0,0,0,123,10,0,0,0,0,0,133,50,21,24,26,7,1,3
