contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),Inwonersbelang Brielle
,Brielle,GR2018_Brielle,Gemeenteraad Brielle 2018,0501,Brielle,2018-03-21,Stembureau Zalencentrum,0501::SB1,3231 VJ,1387,763,10,0,0,1,0,704,68,0,1,0,0,0,772,199,146,112,120,186
,Brielle,GR2018_Brielle,Gemeenteraad Brielle 2018,0501,Brielle,2018-03-21,Stembureau Stadskantoor,0501::SB2,3231 AP,1830,907,3,2,0,6,0,849,73,3,0,10,0,1,922,245,100,133,131,298
,Brielle,GR2018_Brielle,Gemeenteraad Brielle 2018,0501,Brielle,2018-03-21,Stembureau Scheepvaart en Transportcollege,0501::SB3,3232 AE,971,476,4,1,0,0,0,442,39,0,0,0,0,0,481,90,76,47,64,199
,Brielle,GR2018_Brielle,Gemeenteraad Brielle 2018,0501,Brielle,2018-03-21,Stembureau Wooncentrum Voorne,0501::SB4,,1152,652,5,2,0,1,0,606,52,0,1,0,0,0,658,153,123,61,87,228
,Brielle,GR2018_Brielle,Gemeenteraad Brielle 2018,0501,Brielle,2018-03-21,Stembureau Sportcomplex  Dukdalf,0501::SB5,3232 CV,1429,760,6,1,0,0,0,710,57,0,0,0,0,0,767,126,146,83,90,315
,Brielle,GR2018_Brielle,Gemeenteraad Brielle 2018,0501,Brielle,2018-03-21,Stembureau 't Dijckhuis Vierpolders,0501::SB6,3237 AK,1419,756,4,2,0,0,0,701,61,0,0,0,0,0,762,231,107,65,101,252
,Brielle,GR2018_Brielle,Gemeenteraad Brielle 2018,0501,Brielle,2018-03-21,Stembureau De Gaffelaar,0501::SB7,3238 AD,1551,830,11,4,0,0,0,782,63,0,0,0,0,0,845,182,140,109,84,315
,Brielle,GR2018_Brielle,Gemeenteraad Brielle 2018,0501,Brielle,2018-03-21,Stembureau De Plantage,0501::SB8,3232 LE,1186,617,2,0,0,3,0,559,63,0,0,3,0,0,622,197,125,67,80,148
,Brielle,GR2018_Brielle,Gemeenteraad Brielle 2018,0501,Brielle,2018-03-21,Stembureau Wellantcollege,0501::SB9,3232 VC,1166,469,3,1,0,0,0,436,37,0,0,0,0,0,473,71,93,50,61,194
,Brielle,GR2018_Brielle,Gemeenteraad Brielle 2018,0501,Brielle,2018-03-21,Stembureau Les Rives,0501::SB10,3232 GN,864,469,1,1,0,0,0,434,36,0,1,0,1,0,470,128,75,52,49,165
,Brielle,GR2018_Brielle,Gemeenteraad Brielle 2018,0501,Brielle,2018-03-21,Stembureau Maerlant,0501::SB11,3232 PX,994,470,5,3,0,1,0,420,57,0,1,0,0,0,477,171,63,49,31,156
