contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,EENLokaal,VVD,CDA,Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,50PLUS,PVV (Partij voor de Vrijheid)
,Venlo,GR2018_Venlo,Gemeenteraad Venlo 2018,0983,Venlo,2018-03-21,Stembureau Stadhuis Venlo,0983::SB1,5911 HD,2276,1019,1,7,0,0,0,950,77,0,0,0,0,0,1027,83,263,143,111,80,55,144,64,76
,Venlo,GR2018_Venlo,Gemeenteraad Venlo 2018,0983,Venlo,2018-03-21,Stembureau Huize Beerendonck,0983::SB2,5911 AD,1878,838,11,6,0,0,0,772,83,0,0,0,0,0,855,93,167,125,90,82,64,117,48,52
,Venlo,GR2018_Venlo,Gemeenteraad Venlo 2018,0983,Venlo,2018-03-21,Stembureau Gemeentearchief Venlo,0983::SB3,5914 PV,1894,902,2,2,0,0,0,807,99,0,0,0,0,0,906,130,151,124,84,93,49,142,60,69
,Venlo,GR2018_Venlo,Gemeenteraad Venlo 2018,0983,Venlo,2018-03-21,Stembureau Lokaal Veestraat,0983::SB4,5914 RN,1498,589,2,3,0,0,0,538,56,0,0,0,0,0,594,106,44,78,72,72,31,61,34,91
,Venlo,GR2018_Venlo,Gemeenteraad Venlo 2018,0983,Venlo,2018-03-21,Stembureau Basisschool de Meule,0983::SB5,5914 XS,1635,822,2,2,0,1,0,759,66,0,1,0,0,0,825,92,138,121,103,86,52,79,81,70
,Venlo,GR2018_Venlo,Gemeenteraad Venlo 2018,0983,Venlo,2018-03-21,Stembureau Stichting de Witte Kerk,0983::SB6,5914 PE,1358,592,1,10,0,0,0,521,82,0,0,0,0,0,603,101,53,53,91,80,13,50,39,112
,Venlo,GR2018_Venlo,Gemeenteraad Venlo 2018,0983,Venlo,2018-03-21,Stembureau Gilde Opleidingen,0983::SB7,5913 ES,1445,847,4,0,0,0,0,776,75,0,0,0,0,0,851,73,249,117,77,55,58,93,56,69
,Venlo,GR2018_Venlo,Gemeenteraad Venlo 2018,0983,Venlo,2018-03-21,Stembureau De Bantuin,0983::SB8,5916 SW,1791,1057,5,2,0,0,0,938,126,0,0,0,0,0,1064,97,281,202,79,69,78,112,57,82
,Venlo,GR2018_Venlo,Gemeenteraad Venlo 2018,0983,Venlo,2018-03-21,Stembureau wijkgebouw d'n Dörpel,0983::SB9,5913 CZ,1974,1241,3,5,0,0,0,1140,109,0,0,0,0,0,1249,81,310,169,208,79,102,114,100,78
,Venlo,GR2018_Venlo,Gemeenteraad Venlo 2018,0983,Venlo,2018-03-21,Stembureau Talentencampus Venlo,0983::SB10,5913 GB,1678,899,3,2,0,0,0,827,77,0,0,0,0,0,904,93,216,177,109,40,50,112,56,46
,Venlo,GR2018_Venlo,Gemeenteraad Venlo 2018,0983,Venlo,2018-03-21,Stembureau School aan de Vijver,0983::SB11,5913 TV,1828,1043,5,3,0,0,0,940,111,0,0,0,0,0,1051,94,244,139,143,74,75,140,93,41
,Venlo,GR2018_Venlo,Gemeenteraad Venlo 2018,0983,Venlo,2018-03-21,Stembureau Gemeenschapshuis Maagdenberg,0983::SB12,5915 CP,1403,703,5,3,0,0,0,635,76,0,0,0,0,0,711,88,70,96,96,90,33,83,64,83
,Venlo,GR2018_Venlo,Gemeenteraad Venlo 2018,0983,Venlo,2018-03-21,Stembureau Huis van de Wijk,0983::SB13,5915 ES,1277,422,1,3,0,0,0,382,44,0,0,0,0,0,426,77,28,41,57,69,14,32,44,60
