contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,SP (Socialistische Partij),Democraten 66 (D66),Samenwerking Venray,VVD,Partij van de Arbeid (P.v.d.A.),VENRAY Lokaal
,Venray,GR2018_Venray,Gemeenteraad Venray 2018,0984,Venray,2018-03-21,Stembureau 1. Gemeentehuis,0984::SB1,5801 MB,1872,1200,4,4,0,0,0,1091,117,0,0,0,0,0,1208,312,129,265,142,121,62,169
,Venray,GR2018_Venray,Gemeenteraad Venray 2018,0984,Venray,2018-03-21,Stembureau 2. Vincent van Gogh / Kapel,0984::SB2,5802 AA,1676,887,4,2,0,2,0,791,100,0,2,0,0,0,891,187,107,158,101,105,61,168
,Venray,GR2018_Venray,Gemeenteraad Venray 2018,0984,Venray,2018-03-21,Stembureau 3. De Springplank,0984::SB3,5802 CK,1507,686,3,5,0,0,0,607,87,0,0,0,0,0,694,158,82,83,129,49,36,149
,Venray,GR2018_Venray,Gemeenteraad Venray 2018,0984,Venray,2018-03-21,Stembureau 4. Wijkcentrum Den Hoender,0984::SB4,5801 EN,1664,824,6,6,0,1,0,758,77,0,1,0,0,0,835,206,131,105,90,87,43,162
,Venray,GR2018_Venray,Gemeenteraad Venray 2018,0984,Venray,2018-03-21,Stembureau 5A. Wijkcentrum 't Stekske,0984::SB5,5803 BV,2408,1189,8,8,0,0,0,1075,130,0,0,0,0,0,1205,212,255,149,161,83,60,269
,Venray,GR2018_Venray,Gemeenteraad Venray 2018,0984,Venray,2018-03-21,Stembureau 5B. Wijkcentrum 't Stekske,0984::SB6,5803 BV,2408,969,6,8,0,3,0,876,110,0,0,3,0,0,986,170,193,136,134,74,54,208
,Venray,GR2018_Venray,Gemeenteraad Venray 2018,0984,Venray,2018-03-21,Stembureau 6. D'n Oesterham Oostrum,0984::SB7,5807 BJ,1985,979,5,7,0,1,0,915,75,0,1,0,0,0,990,239,126,133,98,218,54,111
,Venray,GR2018_Venray,Gemeenteraad Venray 2018,0984,Venray,2018-03-21,Stembureau 7. De Linde Oirlo,0984::SB8,5808 AV,987,579,1,1,0,1,0,508,72,0,1,0,0,0,580,312,44,57,19,45,10,92
,Venray,GR2018_Venray,Gemeenteraad Venray 2018,0984,Venray,2018-03-21,Stembureau 8. De Wis Castenray,0984::SB9,5814 AN,652,393,1,0,0,0,0,370,24,0,0,0,0,0,394,304,18,11,7,14,6,33
,Venray,GR2018_Venray,Gemeenteraad Venray 2018,0984,Venray,2018-03-21,Stembureau 9. De Hoefslag Veulen,0984::SB10,5809 AD,427,287,0,0,0,0,0,240,47,0,0,0,0,0,287,87,10,9,120,22,1,38
,Venray,GR2018_Venray,Gemeenteraad Venray 2018,0984,Venray,2018-03-21,Stembureau 10. MFC De Baank Leunen,0984::SB11,5809 AD,1814,1156,4,1,0,0,0,1038,123,0,0,0,0,0,1161,383,120,106,189,116,33,209
,Venray,GR2018_Venray,Gemeenteraad Venray 2018,0984,Venray,2018-03-21,Stembureau 11. MFC De Hei Heide,0984::SB12,5812 AB,403,307,5,0,0,0,0,274,38,0,0,0,0,0,312,178,43,22,18,11,7,28
,Venray,GR2018_Venray,Gemeenteraad Venray 2018,0984,Venray,2018-03-21,Stembureau 12. De Smelehof Ysselsteyn,0984::SB13,5813 BC,1825,1083,6,6,0,1,0,928,166,0,1,0,0,0,1094,711,72,46,46,96,14,98
,Venray,GR2018_Venray,Gemeenteraad Venray 2018,0984,Venray,2018-03-21,Stembureau 13. Partycentrum 't Anker Merselo,0984::SB14,5815 AN,861,540,1,3,0,1,0,498,45,0,1,0,0,0,543,202,49,160,43,32,4,50
,Venray,GR2018_Venray,Gemeenteraad Venray 2018,0984,Venray,2018-03-21,Stembureau 14. De Kleine Loef Vredepeel,0984::SB15,5816 AG,181,112,0,0,0,0,0,105,7,0,0,0,0,0,112,82,2,10,5,7,2,4
,Venray,GR2018_Venray,Gemeenteraad Venray 2018,0984,Venray,2018-03-21,Stembureau 15. 't Pelgrimshuis Smakt,0984::SB16,5817 AD,175,92,0,0,0,0,0,83,9,0,0,0,0,0,92,28,10,12,11,6,18,7
,Venray,GR2018_Venray,Gemeenteraad Venray 2018,0984,Venray,2018-03-21,Stembureau 16. Centrumgebouw Noordsingel,0984::SB17,5801 GJ,2241,939,3,1,0,0,0,826,117,0,0,0,0,0,943,183,92,162,102,137,57,206
