contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),SP (Socialistische Partij),VVD,Ouderen Appèl Eindhoven,CDA,GROENLINKS,'leefbaar eindhoven',Lijst Pim Fortuyn Eindhoven,ChristenUnie,DENK,Forum 0veertig,Stratums Belang,50PLUS,15,Brede Beweging LinksOm (BBL)
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,"Stembureau Stadhuis, Stadhuisplein 1",0772::SB1,,1499,570,6,1,0,0,0,533,44,0,0,0,0,0,577,62,95,33,112,19,46,116,20,8,8,4,4,11,13,5,14
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Basisschool De Driestam,0772::SB2,,1503,454,2,4,3,0,0,423,40,0,0,3,0,0,463,55,57,43,60,15,35,86,10,22,6,18,4,1,18,6,18
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Basisschool Fellenoord,0772::SB3,,1476,642,8,1,0,0,0,621,31,0,0,1,0,0,652,93,82,52,63,20,46,102,18,25,7,68,8,6,29,7,16
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Buurtinfowinkel Woensel-West,0772::SB4,,2000,968,8,12,0,0,0,927,61,0,0,0,0,0,988,169,147,72,96,17,38,216,16,23,11,91,14,1,18,8,31
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau zorgcentrum De Horst Imkerstr 6,0772::SB5,,1694,559,9,2,0,0,0,526,44,0,0,0,0,0,570,44,55,54,68,43,76,57,16,31,16,29,12,3,41,4,10
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Basisschool Atalanta,0772::SB6,,3619,854,8,1,0,0,0,777,86,0,0,0,0,0,863,124,61,93,86,60,72,75,31,29,15,133,16,1,39,9,10
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau B&O gebouw Pieter Poststraat 13,0772::SB7,,2548,628,4,1,0,0,0,586,47,0,0,0,0,0,633,108,61,60,44,30,56,74,11,50,17,63,5,4,28,8,9
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau B&O gebouw Pieter Poststraat 13,0772::SB8,,1760,823,2,3,0,2,0,751,79,0,0,2,0,0,830,117,85,65,113,34,120,85,18,34,62,28,12,4,19,10,17
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Ontmoetingsruimte Pieter Eiffhuis,0772::SB9,,2658,543,6,6,0,2,0,515,38,0,2,0,0,0,553,56,35,47,58,68,106,31,12,36,23,8,4,2,33,16,8
,Eindhoven,GR2018_Eindhoven,Gemeenteraad Eindhoven 2018,0772,Eindhoven,2018-03-21,Stembureau Basisschool Gunterslaer,0772::SB10,,1446,879,7,3,0,1,0,805,85,0,0,1,0,0,890,107,89,56,157,41,148,116,24,42,11,3,11,4,50,12,8
