contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,OoststellingwerfsBelang,Partij van de Arbeid (P.v.d.A.),CDA,VVD,Democraten 66 (D66),ChristenUnie,GROENLINKS,StellingwerfPlus
,Ooststellingwerf,GR2018_Ooststellingwerf,Gemeenteraad Ooststellingwerf 2018,0085,Ooststellingwerf,2018-03-21,Stembureau Rikkingahof Oosterwolde,0085::SB1,8431 MB,1211,687,0,2,0,0,0,640,49,0,0,0,0,0,689,208,123,95,73,63,24,72,29
,Ooststellingwerf,GR2018_Ooststellingwerf,Gemeenteraad Ooststellingwerf 2018,0085,Ooststellingwerf,2018-03-21,Stembureau Openbare Bibliotheek,0085::SB2,8431 LN,1255,607,5,0,0,0,0,572,40,0,0,0,0,0,612,151,135,72,61,41,29,83,35
,Ooststellingwerf,GR2018_Ooststellingwerf,Gemeenteraad Ooststellingwerf 2018,0085,Ooststellingwerf,2018-03-21,Stembureau Dorpshuis Makkinga,0085::SB3,8423 TG,838,481,2,1,0,0,0,449,36,1,0,1,0,0,485,159,86,36,99,34,5,49,13
,Ooststellingwerf,GR2018_Ooststellingwerf,Gemeenteraad Ooststellingwerf 2018,0085,Ooststellingwerf,2018-03-21,Stembureau Kantine dorpsbelang Nijeberkoop,0085::SB4,8422 DH,216,122,0,0,0,0,0,105,17,0,0,0,0,0,122,34,8,24,17,9,5,21,4
,Ooststellingwerf,GR2018_Ooststellingwerf,Gemeenteraad Ooststellingwerf 2018,0085,Ooststellingwerf,2018-03-21,Stembureau MFA MeJander Oldeberkoop,0085::SB5,8421 PE,1249,754,3,0,0,0,0,706,51,0,0,0,0,0,757,127,211,77,144,44,26,103,22
,Ooststellingwerf,GR2018_Ooststellingwerf,Gemeenteraad Ooststellingwerf 2018,0085,Ooststellingwerf,2018-03-21,Stembureau Zaal 't Anker Elsloo,0085::SB6,8424 PJ,504,288,0,0,0,0,0,257,31,0,0,0,0,0,288,121,28,36,48,8,5,27,15
,Ooststellingwerf,GR2018_Ooststellingwerf,Gemeenteraad Ooststellingwerf 2018,0085,Ooststellingwerf,2018-03-21,Stembureau Dorpshuis Langedijke,0085::SB7,8425 SV,338,231,0,0,0,0,0,214,17,0,0,0,0,0,231,65,32,25,47,16,14,26,6
,Ooststellingwerf,GR2018_Ooststellingwerf,Gemeenteraad Ooststellingwerf 2018,0085,Ooststellingwerf,2018-03-21,Stembureau Zaal Appelhof Riemsoord,0085::SB8,8426 EC,1407,778,8,1,0,0,0,713,74,0,0,0,0,0,787,254,104,107,82,48,30,69,84
,Ooststellingwerf,GR2018_Ooststellingwerf,Gemeenteraad Ooststellingwerf 2018,0085,Ooststellingwerf,2018-03-21,Stembureau De Schutse Appelscha,0085::SB9,8426 AG,1087,534,0,3,0,0,0,504,33,0,0,0,0,0,537,165,76,85,54,15,17,40,82
,Ooststellingwerf,GR2018_Ooststellingwerf,Gemeenteraad Ooststellingwerf 2018,0085,Ooststellingwerf,2018-03-21,Stembureau Dorpshuis Fochteloo,0085::SB10,8428 HE,320,224,0,1,0,0,0,202,23,0,0,0,0,0,225,53,23,18,54,12,16,35,13
,Ooststellingwerf,GR2018_Ooststellingwerf,Gemeenteraad Ooststellingwerf 2018,0085,Ooststellingwerf,2018-03-21,Stembureau Pro Rege Donkerbroek,0085::SB11,8435 WV,1451,812,5,0,0,0,0,752,65,0,0,0,0,0,817,308,80,143,99,58,70,40,14
,Ooststellingwerf,GR2018_Ooststellingwerf,Gemeenteraad Ooststellingwerf 2018,0085,Ooststellingwerf,2018-03-21,Stembureau Het Anker Oosterwolde,0085::SB12,8431 AH,1103,578,7,0,0,0,0,544,41,0,0,0,0,0,585,165,88,98,93,42,30,34,28
,Ooststellingwerf,GR2018_Ooststellingwerf,Gemeenteraad Ooststellingwerf 2018,0085,Ooststellingwerf,2018-03-21,Stembureau Dorpshuis Haule,0085::SB13,8432 PL,481,317,1,0,0,0,0,284,34,0,0,0,0,0,318,86,46,36,59,8,42,36,4
,Ooststellingwerf,GR2018_Ooststellingwerf,Gemeenteraad Ooststellingwerf 2018,0085,Ooststellingwerf,2018-03-21,Stembureau MFC Waskemeer,0085::SB14,8434 NC,641,395,0,0,0,0,0,360,35,0,0,0,0,0,395,90,32,108,24,14,67,46,14
,Ooststellingwerf,GR2018_Ooststellingwerf,Gemeenteraad Ooststellingwerf 2018,0085,Ooststellingwerf,2018-03-21,Stembureau Sinnehiem Haulerwijk,0085::SB15,8433 JP,1200,580,3,2,0,0,0,540,45,0,0,0,0,0,585,150,105,82,21,22,143,47,10
,Ooststellingwerf,GR2018_Ooststellingwerf,Gemeenteraad Ooststellingwerf 2018,0085,Ooststellingwerf,2018-03-21,Stembureau De Enter Haulerwijk,0085::SB16,8433 KV,1380,839,7,2,0,0,0,773,75,0,0,0,0,0,848,275,106,110,57,34,184,54,19
,Ooststellingwerf,GR2018_Ooststellingwerf,Gemeenteraad Ooststellingwerf 2018,0085,Ooststellingwerf,2018-03-21,Stembureau Dorpshuis Ravenswoud,0085::SB17,8427 RS,346,198,0,0,0,0,0,190,8,0,0,0,0,0,198,68,25,19,11,11,9,34,21
,Ooststellingwerf,GR2018_Ooststellingwerf,Gemeenteraad Ooststellingwerf 2018,0085,Ooststellingwerf,2018-03-21,Stembureau De Miente Oosterwolde,0085::SB18,8431 EJ,2127,964,8,3,0,0,0,927,48,0,0,0,0,0,975,348,165,118,94,60,39,80,60
,Ooststellingwerf,GR2018_Ooststellingwerf,Gemeenteraad Ooststellingwerf 2018,0085,Ooststellingwerf,2018-03-21,Stembureau Gemeentehuis Oosterwolde,0085::SB19,8431 LE,1027,459,3,2,0,0,0,425,39,0,0,0,0,0,464,123,65,59,84,34,27,40,27
,Ooststellingwerf,GR2018_Ooststellingwerf,Gemeenteraad Ooststellingwerf 2018,0085,Ooststellingwerf,2018-03-21,Stembureau Stellinghaven Oosterwolde,0085::SB20,8431 HW,994,548,9,0,0,0,0,519,38,0,0,0,0,0,557,211,86,68,36,35,23,55,34
,Ooststellingwerf,GR2018_Ooststellingwerf,Gemeenteraad Ooststellingwerf 2018,0085,Ooststellingwerf,2018-03-21,Stembureau CBS De Mandebrink,0085::SB21,8426 BZ,1407,706,0,0,0,0,0,653,53,0,0,0,0,0,706,176,84,115,76,34,43,91,87
