contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,GROENLINKS,Democraten 66 (D66),WaterlandNatuurlijk,Partij van de Arbeid (P.v.d.A.)
,Waterland,GR2018_Waterland,Gemeenteraad Waterland 2018,0852,Waterland,2018-03-21,Stembureau Ned. Herv. Weeshuis,0852::SB1,,1604,1109,6,10,0,0,0,1008,120,0,0,3,0,0,1128,201,280,187,129,136,176
,Waterland,GR2018_Waterland,Gemeenteraad Waterland 2018,0852,Waterland,2018-03-21,Stembureau zorgcentra Evean Swaensborch,0852::SB2,,1483,812,10,5,0,0,0,738,89,0,0,0,0,0,827,222,177,83,88,169,73
,Waterland,GR2018_Waterland,Gemeenteraad Waterland 2018,0852,Waterland,2018-03-21,Stembureau openbare basisschool De Fuut,0852::SB3,,950,621,2,3,0,0,0,566,60,0,0,0,0,0,626,66,175,91,65,124,100
,Waterland,GR2018_Waterland,Gemeenteraad Waterland 2018,0852,Waterland,2018-03-21,Stembureau Gemeentehuis,0852::SB4,,1372,838,13,3,0,0,0,770,84,0,0,0,0,0,854,157,191,132,93,176,89
,Waterland,GR2018_Waterland,Gemeenteraad Waterland 2018,0852,Waterland,2018-03-21,Stembureau Sociaal Cultureelcentrum De Bolder,0852::SB5,,1196,886,4,1,0,0,0,804,87,0,0,0,0,0,891,113,209,159,125,139,141
,Waterland,GR2018_Waterland,Gemeenteraad Waterland 2018,0852,Waterland,2018-03-21,Stembureau Karmac Bibliotheek,0852::SB6,,1310,915,9,3,0,0,0,842,84,0,1,0,0,0,926,171,244,116,86,192,106
,Waterland,GR2018_Waterland,Gemeenteraad Waterland 2018,0852,Waterland,2018-03-21,Stembureau Het Hart van Katwoude,0852::SB7,,226,154,0,1,0,0,0,132,23,0,0,0,0,0,155,40,35,50,10,13,6
,Waterland,GR2018_Waterland,Gemeenteraad Waterland 2018,0852,Waterland,2018-03-21,Stembureau Dorpshuis Het Trefpunt,0852::SB8,,1488,1063,2,4,0,0,0,956,113,0,0,0,0,0,1069,692,64,104,23,67,113
,Waterland,GR2018_Waterland,Gemeenteraad Waterland 2018,0852,Waterland,2018-03-21,Stembureau Karmac bibliotheek,0852::SB9,,919,681,6,3,0,0,0,602,89,0,0,1,0,0,691,49,177,189,154,61,51
,Waterland,GR2018_Waterland,Gemeenteraad Waterland 2018,0852,Waterland,2018-03-21,Stembureau wijksteunpunt Broek in Waterland,0852::SB10,,1141,783,2,3,0,0,0,695,93,0,0,0,0,0,788,88,182,162,146,151,54
,Waterland,GR2018_Waterland,Gemeenteraad Waterland 2018,0852,Waterland,2018-03-21,Stembureau obs De Overhaal,0852::SB11,,344,261,1,0,0,0,0,230,32,0,0,0,0,0,262,36,43,87,43,32,20
,Waterland,GR2018_Waterland,Gemeenteraad Waterland 2018,0852,Waterland,2018-03-21,Stembureau Dorpshuis Ilpendam,0852::SB12,,1424,998,4,6,0,0,0,918,90,0,0,0,0,0,1008,218,150,173,75,267,115
,Waterland,GR2018_Waterland,Gemeenteraad Waterland 2018,0852,Waterland,2018-03-21,Stembureau Dorpshuis De Nieuwe Boet,0852::SB13,,337,205,5,2,0,0,0,183,29,0,0,0,0,0,212,35,41,60,19,36,14
