contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Gemeentebelangen,VVD,CDA,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),ChristenUnie,GROENLINKS
,De Wolden,GR2018_DeWolden,Gemeenteraad De Wolden 2018,1690,De Wolden,2018-03-21,Stembureau Gemeentehuis Zuidwolde,1690::SB1,7921 GD,1416,1071,5,8,0,0,0,981,103,0,0,0,0,0,1084,380,223,117,103,61,103,84
,De Wolden,GR2018_DeWolden,Gemeenteraad De Wolden 2018,1690,De Wolden,2018-03-21,Stembureau Ontmoetingscentrum De Boerhoorn,1690::SB2,7921 GB,905,612,2,1,0,0,0,572,43,0,0,0,0,0,615,237,95,100,65,32,39,44
,De Wolden,GR2018_DeWolden,Gemeenteraad De Wolden 2018,1690,De Wolden,2018-03-21,Stembureau Zorgcentrum Tonckenshuys,1690::SB3,7921 VR,1490,799,3,2,0,0,0,733,71,0,0,0,0,0,804,289,122,106,88,54,87,53
,De Wolden,GR2018_DeWolden,Gemeenteraad De Wolden 2018,1690,De Wolden,2018-03-21,Stembureau Dorpshuis 't Markehuus,1690::SB4,7924 PP,484,319,2,4,0,0,0,300,25,0,0,0,0,0,325,119,94,20,21,13,17,35
,De Wolden,GR2018_DeWolden,Gemeenteraad De Wolden 2018,1690,De Wolden,2018-03-21,Stembureau Dorpshuis Buddingehof,1690::SB5,7961 AM,1046,693,1,1,0,0,0,640,55,0,0,0,0,0,695,254,137,118,72,47,31,34
,De Wolden,GR2018_DeWolden,Gemeenteraad De Wolden 2018,1690,De Wolden,2018-03-21,Stembureau Dorpshuis De Kolonie,1690::SB6,7961 NH,744,596,1,1,0,0,0,550,48,0,0,0,0,0,598,183,121,107,41,51,35,58
,De Wolden,GR2018_DeWolden,Gemeenteraad De Wolden 2018,1690,De Wolden,2018-03-21,Stembureau Streekcentrum De Snikke,1690::SB7,7924 RD,548,331,2,1,0,0,0,313,21,0,0,0,0,0,334,131,59,50,18,20,12,41
,De Wolden,GR2018_DeWolden,Gemeenteraad De Wolden 2018,1690,De Wolden,2018-03-21,Stembureau Dorpshuis Linde,1690::SB8,7925 PB,451,289,0,1,0,0,0,260,30,0,0,0,0,0,290,99,57,64,14,22,17,16
,De Wolden,GR2018_DeWolden,Gemeenteraad De Wolden 2018,1690,De Wolden,2018-03-21,Stembureau Dorpshuis 't Drogterhuus,1690::SB9,7705 PH,420,227,0,0,0,0,0,202,25,0,0,0,0,0,227,83,37,45,17,15,15,15
,De Wolden,GR2018_DeWolden,Gemeenteraad De Wolden 2018,1690,De Wolden,2018-03-21,Stembureau Dorpshuis 't Neie Punt,1690::SB10,7963 CM,1467,982,6,4,0,0,0,908,84,0,0,0,0,0,992,364,235,60,120,63,32,108
