contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Lokaal,SP (Socialistische Partij),Democraten 66 (D66),Progressief Bernheze,VVD,Politieke Partij Blanco
,Bernheze,GR2018_Bernheze,Gemeenteraad Bernheze 2018,1721,Bernheze,2018-03-21,"Stembureau Gemeentehuis Bernheze, De Misse 6, Heesch",1721::SB1,5384 BZ,1530,1029,9,5,0,0,0,964,79,0,0,0,0,0,1043,204,144,223,158,147,138,15
,Bernheze,GR2018_Bernheze,Gemeenteraad Bernheze 2018,1721,Bernheze,2018-03-21,"Stembureau Zorgcentrum Heelwijk, Mozartlaan 2, Heesch",1721::SB2,5384 CG,2020,975,4,3,0,0,0,892,90,0,0,0,0,0,982,217,145,215,129,94,171,4
,Bernheze,GR2018_Bernheze,Gemeenteraad Bernheze 2018,1721,Bernheze,2018-03-21,"Stembureau Basisschool De Kiem, De Ploeg 101, Heesch",1721::SB3,5384 HL,1530,760,4,1,0,0,0,691,74,0,0,0,0,0,765,73,142,188,89,135,117,16
,Bernheze,GR2018_Bernheze,Gemeenteraad Bernheze 2018,1721,Bernheze,2018-03-21,"Stembureau Sporthal 't Vijfeiken, 't Vijfeiken 53, Heesch",1721::SB4,5384 ER,1756,874,1,2,0,0,0,793,84,0,0,0,0,0,877,152,124,194,141,108,142,13
,Bernheze,GR2018_Bernheze,Gemeenteraad Bernheze 2018,1721,Bernheze,2018-03-21,"Stembureau Het Hooghuis, Schoonstraat 34, Heesch",1721::SB5,5384 AP,1726,663,4,5,0,0,0,601,71,0,0,0,0,0,672,140,125,130,110,52,101,5
,Bernheze,GR2018_Bernheze,Gemeenteraad Bernheze 2018,1721,Bernheze,2018-03-21,"Stembureau Brandweerkazerne Heesch, De La Sallestraat 1, Heesch",1721::SB6,5384 NK,1753,1024,2,6,0,0,0,916,116,0,0,0,0,0,1032,243,186,141,167,82,193,12
,Bernheze,GR2018_Bernheze,Gemeenteraad Bernheze 2018,1721,Bernheze,2018-03-21,"Stembureau Gemeenschapshuis De Wis, Schaapsdijk 27, Loosbroek",1721::SB7,5472 PD,1311,775,2,1,0,0,0,696,82,0,0,0,0,0,778,322,83,54,136,36,66,78
,Bernheze,GR2018_Bernheze,Gemeenteraad Bernheze 2018,1721,Bernheze,2018-03-21,"Stembureau Cultureel Centrum Nesterlé, Parkstraat 2, Nistelrode",1721::SB8,5388 HS,1680,887,6,3,0,0,0,797,99,0,0,0,0,0,896,148,495,72,54,32,75,11
,Bernheze,GR2018_Bernheze,Gemeenteraad Bernheze 2018,1721,Bernheze,2018-03-21,"Stembureau Zorgcentrum Laarstede, Laar 40, Nistelrode",1721::SB9,5388 HH,1546,692,0,4,0,0,0,622,74,0,0,0,0,0,696,150,321,92,38,35,53,3
,Bernheze,GR2018_Bernheze,Gemeenteraad Bernheze 2018,1721,Bernheze,2018-03-21,"Stembureau Sporthal De Overbeek, De Hoef 23 a, Nistelrode",1721::SB10,5388 EL,1698,976,4,3,0,0,0,882,101,0,0,0,0,0,983,157,520,98,76,44,69,12
,Bernheze,GR2018_Bernheze,Gemeenteraad Bernheze 2018,1721,Bernheze,2018-03-21,"Stembureau Gemeenschapshuis De Stuik, Schoolstraat 14, Vorstenbosch",1721::SB11,5476 KK,1635,924,2,1,0,0,0,811,116,0,0,0,0,0,927,507,57,44,82,99,32,103
,Bernheze,GR2018_Bernheze,Gemeenteraad Bernheze 2018,1721,Bernheze,2018-03-21,"Stembureau Cultureel Centrum Servaes, Raadhuisplein 24, Heeswijk-Dinther",1721::SB12,5473 GC,1482,888,3,4,0,0,0,802,93,0,0,0,0,0,895,152,113,140,105,58,35,285
,Bernheze,GR2018_Bernheze,Gemeenteraad Bernheze 2018,1721,Bernheze,2018-03-21,"Stembureau Basisschool 't Palet, Steen- en Stokstraat 2, Heeswijk-Dinther",1721::SB13,5473 RN,1608,835,8,3,0,0,0,756,90,0,0,0,0,0,846,158,133,115,97,67,50,215
,Bernheze,GR2018_Bernheze,Gemeenteraad Bernheze 2018,1721,Bernheze,2018-03-21,"Stembureau Zorgcentrum Cunera/De Bongerd, Zijlstraat 1, Heeswijk-Dinther",1721::SB14,5473 CJ,1661,792,3,1,0,0,0,715,81,0,0,0,0,0,796,165,98,125,95,91,45,173
,Bernheze,GR2018_Bernheze,Gemeenteraad Bernheze 2018,1721,Bernheze,2018-03-21,"Stembureau Willibrordcentrum, Hoofdstraat 78, Heeswijk-Dinther",1721::SB15,5473 AS,1255,788,2,2,0,0,0,720,72,0,0,0,0,0,792,182,84,146,93,79,38,166
