contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),VVD,SP (Socialistische Partij),P.v.d.A./Europese Sociaaldemocraten,ChristenUnie-SGP,GROENLINKS,Partij voor de Dieren,50PLUS,JEZUS LEEFT,DENK,De Groenen,Forum voor Democratie,vandeRegio & Piratenpartij,Volt Nederland,uncounted_geen briefstembiljetten,uncounted_te veel briefstembiljetten
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Duinhage Florence,0518::SB101,2566 AW,842,696,1,0,0,0,3,614,80,,0,0,0,0,0,697,59,62,25,143,16,100,8,85,56,27,0,1,0,91,2,21,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Dalton Den Haag,0518::SB102,2555 GA,1322,871,1,1,0,0,0,776,97,,0,0,0,0,0,873,93,45,24,173,11,181,28,124,55,24,0,0,2,93,1,17,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Inspecteur S. de Vriesschool,0518::SB103,2555 MA,955,377,1,2,0,0,0,349,31,,0,0,0,0,0,380,18,29,14,69,14,62,12,29,29,20,0,0,0,77,0,4,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Haags Centrum voor Onderwijsbegeleiding,0518::SB104,2554 EM,547,482,1,3,0,0,0,427,59,,0,0,0,0,0,486,33,42,17,131,5,81,12,34,31,15,0,1,0,77,1,2,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau WoonZorgPark Loosduinen,0518::SB106,2552 BR,3610,1687,5,5,0,1,2,1515,179,,0,1,0,0,0,1696,93,175,95,223,49,301,63,106,90,95,6,12,2,358,3,16,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Parnassia,0518::SB107,2553 RH,653,403,1,3,0,0,2,359,46,,0,0,0,0,0,407,23,39,16,72,10,82,32,51,25,4,3,5,2,34,0,5,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau HFCC Racing,0518::SB110,2544 EK,1662,221,0,1,0,0,1,199,22,,0,0,0,0,0,222,14,17,14,28,8,25,3,18,12,16,1,3,0,54,1,7,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Parnassiagroep/Reakt,0518::SB111,2544 EZ,473,96,0,0,0,0,0,84,12,,0,0,0,0,0,96,9,3,5,7,9,17,3,15,9,1,2,2,0,11,0,3,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Koos Meindertsschool,0518::SB112,2552 HW,1338,368,0,0,0,0,1,332,35,,0,0,0,0,0,368,14,31,21,67,11,70,9,33,26,17,1,0,0,63,0,5,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Koos Meindertsschool,0518::SB113,2552 HW,927,458,3,0,0,1,0,400,60,,0,1,0,0,0,460,24,31,19,76,7,91,13,38,23,27,0,8,2,91,2,6,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau WZH Nieuw Berkendael,0518::SB114,2552 TX,1749,448,0,0,0,0,0,393,55,,0,0,0,0,0,448,11,25,41,63,13,85,13,29,20,31,1,10,0,96,3,7,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Florence Woonzorgcentrum Houthaghe,0518::SB117,2552 SB,1858,717,3,2,0,0,3,638,82,,1,0,1,0,0,723,42,62,69,89,24,97,31,60,43,46,3,9,0,139,0,3,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Verpleeghuis Houtwijk,0518::SB118,2552 ZV,1243,685,1,1,0,1,0,617,71,,0,0,1,0,0,688,47,72,29,100,26,159,24,61,36,39,1,3,2,70,2,14,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Tuincentrum Onings,0518::SB122,2555 JL,1840,917,1,4,0,0,0,838,86,,2,0,2,0,0,924,83,67,28,159,18,175,23,118,75,43,0,4,2,102,2,18,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Wijkcentrum De Geest,0518::SB125,2551 ZC,1552,500,1,4,0,0,0,445,60,,0,0,0,0,0,505,21,30,41,34,31,95,16,38,30,30,2,9,0,112,2,9,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Florence WZC Wijndaelercentrum,0518::SB126,2551 GM,1374,510,0,0,0,0,0,466,44,,0,0,0,0,0,510,21,47,39,69,13,114,13,31,31,31,0,0,0,93,1,7,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Cardia Woonzorgcentrum Tabitha,0518::SB127,2555 KZ,1378,948,3,4,0,0,2,872,81,,0,0,0,0,0,955,71,91,51,173,29,156,32,61,54,45,1,1,2,169,2,10,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Serviceflat Dekkershaghe,0518::SB131,2551 GA,832,632,0,5,0,0,2,584,51,,0,0,0,0,0,637,31,50,46,103,20,113,16,44,46,31,1,1,1,119,0,10,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Centrum Bokkefort,0518::SB132,2552 KW,515,451,1,3,0,0,1,450,61,,0,0,0,0,0,512,17,33,40,41,23,102,9,48,34,39,0,17,1,40,2,5,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Middin AC Waldeck,0518::SB134,2551 WK,2080,333,1,1,0,1,1,302,33,,0,0,1,0,0,336,24,27,26,21,10,64,9,28,34,18,3,1,1,61,0,6,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Wijkcentrum Het Eiland,0518::SB136,2553 VK,2035,535,5,1,0,0,1,489,51,,0,0,0,0,0,541,26,45,48,55,22,88,12,42,29,38,0,6,3,117,1,3,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau HV & CV Quick,0518::SB138,2566 BZ,1303,519,0,1,0,0,0,450,70,,0,0,0,0,0,520,48,47,8,176,5,82,11,51,27,9,0,0,1,44,1,9,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Scoutinggroep Ferguson,0518::SB139,2555 NB,858,363,0,0,0,0,0,325,38,,0,0,0,0,0,363,48,21,5,88,7,56,2,42,21,11,0,1,0,53,0,8,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Hofstad Lyceum,0518::SB140,2555 HA,2113,766,1,3,0,0,0,689,81,,0,0,0,0,0,770,86,53,25,145,16,157,9,91,47,32,1,1,0,81,3,19,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Honk- en softbalclub Storks,0518::SB141,2554 BW,537,135,0,0,0,0,12,104,19,,0,0,0,0,0,135,6,10,5,49,0,16,4,16,5,7,0,0,0,16,0,1,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau SV Loosduinen,0518::SB142,2553 EC,836,270,0,2,0,0,0,226,46,,0,0,0,0,0,272,25,28,3,87,4,46,11,15,3,10,0,2,0,33,0,3,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stichting de Madelief,0518::SB148,2553 ED,815,305,0,8,0,0,0,253,60,,0,0,0,0,0,313,45,20,9,95,3,27,4,36,13,13,0,1,0,37,0,2,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau OBS De la Reyschool,0518::SB202,2571 GH,2490,571,0,6,0,4,0,495,86,,0,0,4,0,0,581,29,20,35,27,31,127,14,85,20,14,3,99,1,61,1,4,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau OBS De Gelderlandschool,0518::SB204,2573 BA,2185,521,1,1,0,0,0,454,69,,0,0,0,0,0,523,19,28,45,38,26,82,21,63,36,26,0,45,1,80,3,8,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Middin Steinmetz de Compaan,0518::SB206,2574 VS,2184,588,0,7,0,0,0,525,71,,1,0,1,0,0,596,25,27,61,36,41,102,20,67,35,34,1,20,0,108,2,9,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau OBS Het Galjoen,0518::SB209,2525 ZV,2148,459,1,1,0,1,1,358,103,,0,0,1,0,0,462,27,7,16,15,39,103,9,36,13,18,3,128,0,32,0,13,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Musicon,0518::SB211,2574 AL,2283,647,3,2,0,1,2,577,74,,0,0,1,0,0,653,49,27,36,57,22,112,34,95,43,24,0,16,0,109,3,20,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau OBS De la Reyschool Voorthuizenstraat,0518::SB212,2573 AH,2050,403,0,2,0,0,0,347,58,,0,0,0,0,0,405,31,13,27,36,15,64,15,78,35,14,8,13,1,46,0,7,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Sportzaal Andre Castens,0518::SB213,2546 XE,1981,619,3,1,0,3,0,549,77,,0,0,3,0,0,626,37,36,70,60,25,95,20,75,31,36,0,9,4,117,1,3,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau CBS De Ark,0518::SB215,2546 SP,2942,827,4,7,0,6,1,728,115,,0,0,6,0,0,844,60,44,50,85,23,149,29,76,58,40,1,15,3,177,1,16,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Tamarschool,0518::SB217,2545 NL,1755,322,1,3,0,1,1,287,39,,0,0,1,0,0,327,13,13,27,19,16,59,40,25,13,13,2,19,0,58,1,4,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau WoonZorgPark Swaenesteijn,0518::SB219,2547 JG,2137,929,2,7,0,0,4,846,88,,0,0,0,0,0,938,67,70,54,104,41,191,38,104,58,54,1,2,2,129,0,14,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau WoonZorgPark Swaenehove,0518::SB221,2547 KX,1811,723,3,2,0,1,0,640,89,,0,0,1,0,0,729,46,55,51,84,30,124,22,64,52,45,0,2,2,138,1,7,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Wijkcentrum Bouwlust,0518::SB225,2544 VS,1728,411,0,9,0,3,0,357,66,,0,0,3,0,0,423,20,15,26,25,24,89,9,30,24,18,2,71,0,49,0,9,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau RKBS De Zuidwester,0518::SB227,2544 ME,2101,396,1,3,0,0,0,342,58,,0,0,0,0,0,400,14,23,36,33,21,93,8,20,18,24,1,45,2,49,2,7,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Verpleeghuis De Lozerhof,0518::SB228,2544 RP,2229,467,1,2,0,0,0,407,63,,0,0,0,0,0,470,16,31,55,32,22,81,10,29,24,21,3,34,0,104,1,4,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Florence Expertisecentrum Gulden Huis,0518::SB229,2542 AA,1906,392,0,2,0,0,0,346,48,,0,0,0,0,0,394,21,28,38,29,32,98,8,20,16,20,0,25,0,46,2,9,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Centrum Carel van den Oever,0518::SB231,2542 TP,1163,229,0,2,0,0,1,199,31,,0,0,0,0,0,231,9,20,19,13,17,44,9,24,19,10,3,20,0,21,0,1,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau SBO De Springplank,0518::SB232,2542 XH,2065,519,2,5,0,0,1,451,74,,0,0,0,0,0,526,37,23,40,58,14,100,22,36,18,24,1,55,1,78,2,10,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau PartyCentrum Ons Huis,0518::SB233,2531 XE,2127,321,0,4,0,1,0,285,39,,0,1,0,0,0,324,17,9,20,28,18,59,26,26,16,15,0,33,0,49,2,3,,
,'s-Gravenhage,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Blokpoelschool,0518::SB234,2543 VS,2375,490,2,1,0,0,0,420,73,,0,0,0,0,0,493,22,19,32,46,22,103,6,41,10,17,1,87,1,75,2,6,,
