contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Piratenpartij,Partij voor Mens en Spirit (MenS),Nederland Lokaal,Libertarische Partij (LP),Democratisch Politiek Keerpunt DPK,50PLUS,Liberaal Democratische Partij (LibDem),Anti Europa Partij,SOPN,Partij van de Toekomst (PvdT),Politieke Partij NXD
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Stadhuis,0363::SB1,,600,1148,0,6,194,394,33,14,123,230,79,4,2,36,6,0,14,4,0,11,1,0,3,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Stadhuis,0363::SB2,,691,1121,2,2,156,407,43,8,116,233,102,0,1,40,6,0,0,0,0,6,0,1,1,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Universiteitsbibliotheek Amsterdam,0363::SB3,,1074,1404,2,3,378,366,13,22,78,350,107,7,3,61,5,2,0,4,0,3,1,0,4,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Leger des Heils,0363::SB4,,1235,874,4,1,195,247,29,10,65,203,54,25,5,28,5,0,0,0,0,7,0,0,1,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau School De Witte Olifant,0363::SB6,,1287,1275,2,6,182,443,34,11,126,266,133,3,2,45,7,6,0,0,0,16,0,0,0,1,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gymlokaal,0363::SB8,,1103,866,1,1,113,300,30,12,94,175,92,2,0,30,8,0,0,1,0,8,0,0,1,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gymlokaal,0363::SB9,,1064,712,1,3,108,248,9,5,84,130,78,2,0,34,3,0,0,1,0,4,2,0,1,0,3
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Burghtschool,0363::SB10,,839,735,2,0,222,193,11,8,29,198,38,2,0,22,0,3,0,1,0,7,1,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Burghtschool,0363::SB11,,787,684,0,2,197,187,13,11,46,165,32,3,0,23,3,2,0,0,0,2,0,0,0,0,0
Amsterdam,Amsterdam,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Theo Thijssenschool,0363::SB12,,1186,1089,4,3,149,405,29,12,128,182,83,4,1,62,12,11,0,0,0,10,0,0,1,0,0
