contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Piratenpartij,Partij voor Mens en Spirit (MenS),Nederland Lokaal,Libertarische Partij (LP),Democratisch Politiek Keerpunt DPK,50PLUS,Liberaal Democratische Partij (LibDem),Anti Europa Partij,SOPN,Partij van de Toekomst (PvdT)
Zwolle,Hardenberg,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gramsbergen; Vm. Gemeentehuis,0160::SB14,,1616,1261,0,0,308,317,93,256,79,47,11,121,14,4,1,2,0,0,0,8,0,0,0,0
Zwolle,Hardenberg,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gramsbergen; Welgelegen,0160::SB15,,1138,955,0,1,218,251,62,230,64,29,6,56,12,12,2,1,0,0,0,9,0,0,2,1
Zwolle,Hardenberg,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau De Krim; Dorpshuis,0160::SB16,,1525,1158,0,4,231,327,116,197,119,40,6,70,16,4,2,3,0,0,0,25,0,1,0,1
Zwolle,Hardenberg,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Ane; Voormalige school,0160::SB17,,615,511,0,0,168,72,26,154,19,19,5,32,3,4,0,1,1,0,0,5,0,0,2,0
Zwolle,Hardenberg,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Kloosterhaar; 't Haarschut,0160::SB18,,1168,828,5,2,158,270,120,98,108,16,4,21,3,7,1,2,1,0,3,16,0,0,0,0
Zwolle,Hardenberg,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Hardenberg; 't Uilenest,0160::SB19,,1093,900,0,0,147,226,66,167,57,41,10,149,14,9,3,2,0,0,0,8,0,1,0,0
Zwolle,Hardenberg,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Heemse; de Esch,0160::SB20,,1626,1202,1,0,202,177,65,265,58,49,7,330,17,11,4,2,0,0,0,13,0,0,2,0
Zwolle,Hardenberg,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Heemse; Clara Feyoena,0160::SB21,,1581,1426,4,2,175,250,63,200,98,46,14,467,71,15,4,0,0,0,3,17,2,0,1,0
Zwolle,Hardenberg,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Marslanden; De Matrix,0160::SB22,,1876,1642,4,2,513,266,89,252,96,55,13,300,33,12,2,0,2,0,0,8,0,0,0,1
Zwolle,Hardenberg,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Radewijk; De Heugte,0160::SB23,,509,430,0,0,110,89,22,123,33,17,6,14,2,8,0,0,0,0,0,6,0,0,0,0
