contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterbelang Parkstad,Waterbelang Westelijke Mijnstreek,Water Natuurlijk,Waterbelang Heuvelland,Waterbelang Maastricht,Waterbelang Midden-Limburg,VVD,50PLUS
Roer en Overmaas,Roermond,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Stadhuis,0957::SB1,6041 EM,846,622,57,10,0,0,0,625,64,0,0,0,0,0,0,689,16,8,141,5,5,357,62,28
Roer en Overmaas,Roermond,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Verzorgingscentrum 'RCG',0957::SB2,6041 GC,1480,453,33,10,0,1,0,467,28,0,0,1,0,0,0,495,12,8,125,10,3,234,41,20
Roer en Overmaas,Roermond,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Theaterhotel De Oranjerie,0957::SB3,6041 JA,1445,622,47,8,0,0,0,630,47,0,0,0,0,0,0,677,17,12,143,5,5,364,44,32
Roer en Overmaas,Roermond,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Basisschool 'De Steenen Brug',0957::SB4,6041 LV,1304,641,45,11,6,0,0,641,62,0,0,0,6,0,0,703,14,4,177,3,5,353,66,19
Roer en Overmaas,Roermond,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Stichting 'Swalm en Roer',0957::SB5,6041 NB,1610,677,42,20,0,3,0,661,81,0,0,0,3,0,0,742,14,4,125,4,8,390,107,25
Roer en Overmaas,Roermond,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Basisschool Willem de Zwijger,0957::SB6,6042 BL,1638,518,32,7,0,1,0,518,40,0,0,0,1,0,0,558,5,3,191,4,4,259,32,20
Roer en Overmaas,Roermond,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Wijkhuis 'de Terp',0957::SB7,6043 RW,1533,272,24,7,0,0,0,277,26,0,0,0,0,0,0,303,9,1,68,3,10,160,5,16
Roer en Overmaas,Roermond,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Zalencentrum 'De Velderie',0957::SB8,6043 BG,1312,369,44,7,0,4,0,368,56,0,0,0,4,0,0,424,15,6,75,6,12,214,20,21
Roer en Overmaas,Roermond,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Zorgcentrum 'Roncalli',0957::SB9,6042 BC,1296,397,38,6,0,1,0,405,37,0,0,0,1,0,0,442,16,7,69,5,8,238,19,35
Roer en Overmaas,Roermond,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Basisschool 'de Kasteeltuin',0957::SB10,6043 XM,1181,360,22,6,0,0,0,354,33,0,0,1,0,1,0,387,13,3,81,4,4,209,23,23
Roer en Overmaas,Roermond,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Sporthal Donderberg,0957::SB11,6043 JH,1536,290,25,1,0,0,0,282,34,0,0,0,0,0,0,316,16,9,50,7,17,161,11,19
Roer en Overmaas,Roermond,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau BS Vincent van Gogh,0957::SB12,6044 SX,1895,442,30,6,0,0,0,446,32,0,0,0,0,0,0,478,8,6,74,4,7,297,21,25
Roer en Overmaas,Roermond,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Gemeenschapshuis 't Sjoolpaad',0957::SB13,6045 AL,1522,584,43,8,0,0,0,575,60,0,0,0,0,0,0,635,14,3,188,9,4,313,26,27
Roer en Overmaas,Roermond,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Stichting Camillus,0957::SB14,6045 CK,980,284,11,3,0,0,0,270,29,0,1,0,1,0,0,299,11,3,76,3,6,155,21,9
Roer en Overmaas,Roermond,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Wijkaccommodatie 'Het Trefpunt',0957::SB15,6045 EJ,1089,313,25,2,0,0,0,298,42,0,0,0,0,0,0,340,17,8,58,4,9,181,7,29
Roer en Overmaas,Roermond,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Wijkaccommodatie 'De Kameleon',0957::SB16,6045 VA,1042,275,20,0,0,0,0,265,30,0,0,0,0,0,0,295,11,6,44,1,1,186,6,20
Roer en Overmaas,Roermond,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Zaal de Ster,0957::SB17,6042 JK,1137,607,27,10,0,0,0,581,63,0,0,0,0,0,0,644,8,8,139,4,4,381,25,38
Roer en Overmaas,Roermond,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Basisschool 'De Balans',0957::SB18,6043 RV,1582,386,15,2,0,0,0,371,32,0,0,0,0,0,0,403,18,4,83,5,4,217,23,32
Roer en Overmaas,Roermond,AB2015_RoerenOvermaas,Algemeen bestuur van het waterschap Roer en Overmaas 2015,,Roer en Overmaas,2015-03-18,Stembureau Wijkgebouw Tegelarijveld,0957::SB19,6042 XW,1181,332,21,5,0,0,0,324,34,0,0,0,0,0,0,358,9,5,85,3,2,181,12,35
